Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-24500	-24750	21884	46879087	2320	10.60	3975056	8.48	1.2503	
-24950	-24450	-24700	21884	46879087	2415	11.04	3974961	8.48	1.3015	
-24900	-24400	-24650	21884	46879087	2565	11.72	3974811	8.48	1.3824	
-24850	-24350	-24600	21884	46879087	2672	12.21	3974704	8.48	1.4401	
-24800	-24300	-24550	21884	46879087	2759	12.61	3974617	8.48	1.4870	
-24750	-24250	-24500	21884	46879087	2783	12.72	3974593	8.48	1.4999	
-24700	-24200	-24450	21884	46879087	2830	12.93	3974546	8.48	1.5253	
-24650	-24150	-24400	21884	46879087	2830	12.93	3974546	8.48	1.5253	
-24600	-24100	-24350	21884	46879087	2762	12.62	3974614	8.48	1.4886	
-24550	-24050	-24300	21884	46879087	2687	12.28	3974689	8.48	1.4482	
-24500	-24000	-24250	21884	46879087	2574	11.76	3974802	8.48	1.3872	
-24450	-23950	-24200	21884	46879087	2464	11.26	3974912	8.48	1.3279	
-24400	-23900	-24150	21884	46879087	2368	10.82	3975008	8.48	1.2761	
-24350	-23850	-24100	21884	46879087	2392	10.93	3974984	8.48	1.2891	
-24300	-23800	-24050	21884	46879087	2511	11.47	3974865	8.48	1.3532	
-24250	-23750	-24000	21884	46879087	2738	12.51	3974638	8.48	1.4757	
-24200	-23700	-23950	21884	46879087	2971	13.58	3974405	8.48	1.6013	
-24150	-23650	-23900	21884	46879087	3151	14.40	3974225	8.48	1.6984	
-24100	-23600	-23850	21884	46879087	3302	15.09	3974074	8.48	1.7799	
-24050	-23550	-23800	21884	46879087	3444	15.74	3973932	8.48	1.8565	
-24000	-23500	-23750	21884	46879087	3621	16.55	3973755	8.48	1.9520	
-23950	-23450	-23700	21884	46879087	3790	17.32	3973586	8.48	2.0432	
-23900	-23400	-23650	21884	46879087	3836	17.53	3973540	8.48	2.0680	
-23850	-23350	-23600	21884	46879087	3772	17.24	3973604	8.48	2.0335	
-23800	-23300	-23550	21884	46879087	3601	16.45	3973775	8.48	1.9412	
-23750	-23250	-23500	21884	46879087	3401	15.54	3973975	8.48	1.8333	
-23700	-23200	-23450	21884	46879087	3186	14.56	3974190	8.48	1.7173	
-23650	-23150	-23400	21884	46879087	3006	13.74	3974370	8.48	1.6202	
-23600	-23100	-23350	21884	46879087	2828	12.92	3974548	8.48	1.5242	
-23550	-23050	-23300	21884	46879087	2697	12.32	3974679	8.48	1.4536	
-23500	-23000	-23250	21884	46879087	2522	11.52	3974854	8.48	1.3592	
-23450	-22950	-23200	21884	46879087	2444	11.17	3974932	8.48	1.3171	
-23400	-22900	-23150	21884	46879087	2499	11.42	3974877	8.48	1.3468	
-23350	-22850	-23100	21884	46879087	2639	12.06	3974737	8.48	1.4223	
-23300	-22800	-23050	21884	46879087	2804	12.81	3974572	8.48	1.5113	
-23250	-22750	-23000	21884	46879087	2959	13.52	3974417	8.48	1.5949	
-23200	-22700	-22950	21884	46879087	3147	14.38	3974229	8.48	1.6963	
-23150	-22650	-22900	21884	46879087	3340	15.26	3974036	8.48	1.8004	
-23100	-22600	-22850	21884	46879087	3517	16.07	3973859	8.48	1.8959	
-23050	-22550	-22800	21884	46879087	3617	16.53	3973759	8.48	1.9498	
-23000	-22500	-22750	21884	46879087	3792	17.33	3973584	8.48	2.0443	
-22950	-22450	-22700	21884	46879087	3838	17.54	3973538	8.48	2.0691	
-22900	-22400	-22650	21884	46879087	3697	16.89	3973679	8.48	1.9930	
-22850	-22350	-22600	21884	46879087	3472	15.87	3973904	8.48	1.8716	
-22800	-22300	-22550	21884	46879087	3316	15.15	3974060	8.48	1.7874	
-22750	-22250	-22500	21884	46879087	3143	14.36	3974233	8.48	1.6941	
-22700	-22200	-22450	21884	46879087	2920	13.34	3974456	8.48	1.5738	
-22650	-22150	-22400	21884	46879087	2645	12.09	3974731	8.48	1.4255	
