Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-23000	-24000	86384	46814587	53185	61.57	15950584	34.07	1.8070	
-24800	-22800	-23800	86384	46814587	52454	60.72	15951315	34.07	1.7821	
-24600	-22600	-23600	86384	46814587	51569	59.70	15952200	34.08	1.7519	
-24400	-22400	-23400	86384	46814587	51293	59.38	15952476	34.08	1.7425	
-24200	-22200	-23200	86384	46814587	50851	58.87	15952918	34.08	1.7275	
-24000	-22000	-23000	86384	46814587	50451	58.40	15953318	34.08	1.7138	
-23800	-21800	-22800	86384	46814587	49661	57.49	15954108	34.08	1.6869	
-23600	-21600	-22600	86384	46814587	50088	57.98	15953681	34.08	1.7015	
-23400	-21400	-22400	86384	46814587	50475	58.43	15953294	34.08	1.7146	
-23200	-21200	-22200	86384	46814587	50679	58.67	15953090	34.08	1.7216	
-23000	-21000	-22000	86384	46814587	51212	59.28	15952557	34.08	1.7398	
-22800	-20800	-21800	86384	46814587	51807	59.97	15951962	34.07	1.7600	
-22600	-20600	-21600	86384	46814587	51144	59.21	15952625	34.08	1.7374	
-22400	-20400	-21400	86384	46814587	50279	58.20	15953490	34.08	1.7080	
-22200	-20200	-21200	86384	46814587	49927	57.80	15953842	34.08	1.6960	
-22000	-20000	-21000	86384	46814587	49891	57.75	15953878	34.08	1.6947	
-21800	-19800	-20800	86384	46814587	50114	58.01	15953655	34.08	1.7023	
-21600	-19600	-20600	86384	46814587	49979	57.86	15953790	34.08	1.6977	
-21400	-19400	-20400	86384	46814587	49944	57.82	15953825	34.08	1.6965	
-21200	-19200	-20200	86384	46814587	49999	57.88	15953770	34.08	1.6984	
-21000	-19000	-20000	86384	46814587	50595	58.57	15953174	34.08	1.7187	
-20800	-18800	-19800	86384	46814587	51197	59.27	15952572	34.08	1.7392	
-20600	-18600	-19600	86384	46814587	52537	60.82	15951232	34.07	1.7849	
-20400	-18400	-19400	86384	46814587	53289	61.69	15950480	34.07	1.8106	
-20200	-18200	-19200	86384	46814587	53202	61.59	15950567	34.07	1.8076	
-20000	-18000	-19000	86384	46814587	52452	60.72	15951317	34.07	1.7820	
-19800	-17800	-18800	86384	46814587	51310	59.40	15952459	34.08	1.7431	
-19600	-17600	-18600	86384	46814587	49909	57.78	15953860	34.08	1.6954	
-19400	-17400	-18400	86384	46814587	48585	56.24	15955184	34.08	1.6502	
-19200	-17200	-18200	86384	46814587	47581	55.08	15956188	34.08	1.6160	
-19000	-17000	-18000	86384	46814587	46310	53.61	15957459	34.09	1.5727	
-18800	-16800	-17800	86384	46814587	45517	52.69	15958252	34.09	1.5457	
