Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-24500	-24750	21884	46879087	774	3.54	1903148	4.06	0.8712	
-24950	-24450	-24700	21884	46879087	807	3.69	1903115	4.06	0.9084	
-24900	-24400	-24650	21884	46879087	900	4.11	1903022	4.06	1.0131	
-24850	-24350	-24600	21884	46879087	905	4.14	1903017	4.06	1.0187	
-24800	-24300	-24550	21884	46879087	947	4.33	1902975	4.06	1.0660	
-24750	-24250	-24500	21884	46879087	967	4.42	1902955	4.06	1.0886	
-24700	-24200	-24450	21884	46879087	996	4.55	1902926	4.06	1.1212	
-24650	-24150	-24400	21884	46879087	1190	5.44	1902732	4.06	1.3397	
-24600	-24100	-24350	21884	46879087	1221	5.58	1902701	4.06	1.3747	
-24550	-24050	-24300	21884	46879087	1272	5.81	1902650	4.06	1.4321	
-24500	-24000	-24250	21884	46879087	1236	5.65	1902686	4.06	1.3916	
-24450	-23950	-24200	21884	46879087	1155	5.28	1902767	4.06	1.3003	
-24400	-23900	-24150	21884	46879087	1127	5.15	1902795	4.06	1.2688	
-24350	-23850	-24100	21884	46879087	1157	5.29	1902765	4.06	1.3026	
-24300	-23800	-24050	21884	46879087	1199	5.48	1902723	4.06	1.3499	
-24250	-23750	-24000	21884	46879087	1192	5.45	1902730	4.06	1.3420	
-24200	-23700	-23950	21884	46879087	1204	5.50	1902718	4.06	1.3555	
-24150	-23650	-23900	21884	46879087	1079	4.93	1902843	4.06	1.2147	
-24100	-23600	-23850	21884	46879087	1102	5.04	1902820	4.06	1.2406	
-24050	-23550	-23800	21884	46879087	1079	4.93	1902843	4.06	1.2147	
-24000	-23500	-23750	21884	46879087	1016	4.64	1902906	4.06	1.1437	
-23950	-23450	-23700	21884	46879087	1130	5.16	1902792	4.06	1.2722	
-23900	-23400	-23650	21884	46879087	1290	5.89	1902632	4.06	1.4524	
-23850	-23350	-23600	21884	46879087	1420	6.49	1902502	4.06	1.5989	
-23800	-23300	-23550	21884	46879087	1407	6.43	1902515	4.06	1.5842	
-23750	-23250	-23500	21884	46879087	1377	6.29	1902545	4.06	1.5504	
-23700	-23200	-23450	21884	46879087	1452	6.63	1902470	4.06	1.6349	
-23650	-23150	-23400	21884	46879087	1599	7.31	1902323	4.06	1.8006	
-23600	-23100	-23350	21884	46879087	1692	7.73	1902230	4.06	1.9054	
-23550	-23050	-23300	21884	46879087	1858	8.49	1902064	4.06	2.0925	
-23500	-23000	-23250	21884	46879087	1893	8.65	1902029	4.06	2.1320	
-23450	-22950	-23200	21884	46879087	1889	8.63	1902033	4.06	2.1275	
-23400	-22900	-23150	21884	46879087	1709	7.81	1902213	4.06	1.9246	
-23350	-22850	-23100	21884	46879087	1654	7.56	1902268	4.06	1.8626	
-23300	-22800	-23050	21884	46879087	1634	7.47	1902288	4.06	1.8400	
-23250	-22750	-23000	21884	46879087	1686	7.70	1902236	4.06	1.8987	
-23200	-22700	-22950	21884	46879087	1635	7.47	1902287	4.06	1.8412	
-23150	-22650	-22900	21884	46879087	1493	6.82	1902429	4.06	1.6811	
-23100	-22600	-22850	21884	46879087	1419	6.48	1902503	4.06	1.5978	
-23050	-22550	-22800	21884	46879087	1260	5.76	1902662	4.06	1.4186	
-23000	-22500	-22750	21884	46879087	1343	6.14	1902579	4.06	1.5121	
-22950	-22450	-22700	21884	46879087	1342	6.13	1902580	4.06	1.5110	
-22900	-22400	-22650	21884	46879087	1385	6.33	1902537	4.06	1.5594	
-22850	-22350	-22600	21884	46879087	1308	5.98	1902614	4.06	1.4727	
-22800	-22300	-22550	21884	46879087	1281	5.85	1902641	4.06	1.4423	
-22750	-22250	-22500	21884	46879087	1300	5.94	1902622	4.06	1.4637	
-22700	-22200	-22450	21884	46879087	1290	5.89	1902632	4.06	1.4524	
