Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-24500	-24750	21884	46879087	1748	7.99	3118402	6.65	1.2008	
-24950	-24450	-24700	21884	46879087	1928	8.81	3118222	6.65	1.3245	
-24900	-24400	-24650	21884	46879087	2128	9.72	3118022	6.65	1.4620	
-24850	-24350	-24600	21884	46879087	2295	10.49	3117855	6.65	1.5768	
-24800	-24300	-24550	21884	46879087	2445	11.17	3117705	6.65	1.6799	
-24750	-24250	-24500	21884	46879087	2644	12.08	3117506	6.65	1.8168	
-24700	-24200	-24450	21884	46879087	2820	12.89	3117330	6.65	1.9378	
-24650	-24150	-24400	21884	46879087	2936	13.42	3117214	6.65	2.0176	
-24600	-24100	-24350	21884	46879087	2916	13.32	3117234	6.65	2.0039	
-24550	-24050	-24300	21884	46879087	2816	12.87	3117334	6.65	1.9351	
-24500	-24000	-24250	21884	46879087	2817	12.87	3117333	6.65	1.9358	
-24450	-23950	-24200	21884	46879087	2837	12.96	3117313	6.65	1.9495	
-24400	-23900	-24150	21884	46879087	2837	12.96	3117313	6.65	1.9495	
-24350	-23850	-24100	21884	46879087	2859	13.06	3117291	6.65	1.9647	
-24300	-23800	-24050	21884	46879087	2859	13.06	3117291	6.65	1.9647	
-24250	-23750	-24000	21884	46879087	2810	12.84	3117340	6.65	1.9310	
-24200	-23700	-23950	21884	46879087	2730	12.47	3117420	6.65	1.8759	
-24150	-23650	-23900	21884	46879087	2630	12.02	3117520	6.65	1.8072	
-24100	-23600	-23850	21884	46879087	2554	11.67	3117596	6.65	1.7549	
-24050	-23550	-23800	21884	46879087	2504	11.44	3117646	6.65	1.7205	
-24000	-23500	-23750	21884	46879087	2360	10.78	3117790	6.65	1.6215	
-23950	-23450	-23700	21884	46879087	2221	10.15	3117929	6.65	1.5259	
-23900	-23400	-23650	21884	46879087	2084	9.52	3118066	6.65	1.4317	
-23850	-23350	-23600	21884	46879087	1995	9.12	3118155	6.65	1.3706	
-23800	-23300	-23550	21884	46879087	1945	8.89	3118205	6.65	1.3362	
-23750	-23250	-23500	21884	46879087	1846	8.44	3118304	6.65	1.2681	
-23700	-23200	-23450	21884	46879087	1776	8.12	3118374	6.65	1.2200	
-23650	-23150	-23400	21884	46879087	1734	7.92	3118416	6.65	1.1912	
-23600	-23100	-23350	21884	46879087	1734	7.92	3118416	6.65	1.1912	
-23550	-23050	-23300	21884	46879087	1778	8.12	3118372	6.65	1.2214	
-23500	-23000	-23250	21884	46879087	1877	8.58	3118273	6.65	1.2894	
-23450	-22950	-23200	21884	46879087	1966	8.98	3118184	6.65	1.3506	
-23400	-22900	-23150	21884	46879087	2053	9.38	3118097	6.65	1.4104	
-23350	-22850	-23100	21884	46879087	2138	9.77	3118012	6.65	1.4689	
-23300	-22800	-23050	21884	46879087	2238	10.23	3117912	6.65	1.5376	
-23250	-22750	-23000	21884	46879087	2387	10.91	3117763	6.65	1.6401	
-23200	-22700	-22950	21884	46879087	2538	11.60	3117612	6.65	1.7439	
-23150	-22650	-22900	21884	46879087	2730	12.47	3117420	6.65	1.8759	
-23100	-22600	-22850	21884	46879087	2929	13.38	3117221	6.65	2.0128	
-23050	-22550	-22800	21884	46879087	3077	14.06	3117073	6.65	2.1146	
-23000	-22500	-22750	21884	46879087	3177	14.52	3116973	6.65	2.1834	
-22950	-22450	-22700	21884	46879087	3277	14.97	3116873	6.65	2.2522	
-22900	-22400	-22650	21884	46879087	3386	15.47	3116764	6.65	2.3272	
-22850	-22350	-22600	21884	46879087	3438	15.71	3116712	6.65	2.3630	
-22800	-22300	-22550	21884	46879087	3438	15.71	3116712	6.65	2.3630	
-22750	-22250	-22500	21884	46879087	3438	15.71	3116712	6.65	2.3630	
-22700	-22200	-22450	21884	46879087	3478	15.89	3116672	6.65	2.3905	
-22650	-22150	-22400	21884	46879087	3429	15.67	3116721	6.65	2.3568	
-22600	-22100	-22350	21884	46879087	3368	15.39	3116782	6.65	2.3148	
-22550	-22050	-22300	21884	46879087	3326	15.20	3116824	6.65	2.2859	
-22500	-22000	-22250	21884	46879087	3326	15.20	3116824	6.65	2.2859	
-22450	-21950	-22200	21884	46879087	3326	15.20	3116824	6.65	2.2859	
-22400	-21900	-22150	21884	46879087	3355	15.33	3116795	6.65	2.3059	
