
Run	Copy_number	Feature	Average_distance_to_nearest_feature	Standard_deviation	#_of_times_shuffled_average_was_below_real_average
0	2x	DNAseI_hypersensitive_site	1313.4	2058.8	.
1	2x	DNAseI_hypersensitive_site	1857.3	3245.6	0
2	2x	DNAseI_hypersensitive_site	3711.7	10188.9	0
3	2x	DNAseI_hypersensitive_site	11719.5	38971.9	0
4	2x	DNAseI_hypersensitive_site	16204.6	49224.9	0
5	2x	DNAseI_hypersensitive_site	6758.3	27703.2	0
6	2x	DNAseI_hypersensitive_site	7734.1	21783.6	0
7	2x	DNAseI_hypersensitive_site	3933.2	9604.5	0
8	2x	DNAseI_hypersensitive_site	3835.3	8593.3	0
9	2x	DNAseI_hypersensitive_site	5328.5	21957.5	0
10	2x	DNAseI_hypersensitive_site	7309.5	19551.0	0
11	2x	DNAseI_hypersensitive_site	2763.3	8159.9	0
12	2x	DNAseI_hypersensitive_site	3547.3	10320.8	0
13	2x	DNAseI_hypersensitive_site	5543.9	13135.6	0
14	2x	DNAseI_hypersensitive_site	6338.0	26119.1	0
15	2x	DNAseI_hypersensitive_site	5679.0	13731.5	0
16	2x	DNAseI_hypersensitive_site	8497.7	34845.7	0
17	2x	DNAseI_hypersensitive_site	12019.1	25851.4	0
18	2x	DNAseI_hypersensitive_site	8492.4	31341.8	0
19	2x	DNAseI_hypersensitive_site	12055.2	41919.9	0
20	2x	DNAseI_hypersensitive_site	6259.9	29023.9	0
21	2x	DNAseI_hypersensitive_site	5167.5	21485.9	0
22	2x	DNAseI_hypersensitive_site	10900.9	39111.8	0
23	2x	DNAseI_hypersensitive_site	12294.1	41146.0	0
24	2x	DNAseI_hypersensitive_site	7591.9	39411.2	0
25	2x	DNAseI_hypersensitive_site	4543.2	11416.2	0
26	2x	DNAseI_hypersensitive_site	5108.7	21713.2	0
27	2x	DNAseI_hypersensitive_site	2908.1	6785.4	0
28	2x	DNAseI_hypersensitive_site	5844.4	19405.0	0
29	2x	DNAseI_hypersensitive_site	2248.1	5093.1	0
30	2x	DNAseI_hypersensitive_site	4701.3	16132.9	0
31	2x	DNAseI_hypersensitive_site	8297.0	27123.9	0
32	2x	DNAseI_hypersensitive_site	3630.0	8398.2	0
33	2x	DNAseI_hypersensitive_site	8216.6	26416.4	0
34	2x	DNAseI_hypersensitive_site	5884.5	18751.8	0
35	2x	DNAseI_hypersensitive_site	3874.2	17203.8	0
36	2x	DNAseI_hypersensitive_site	11616.9	39949.2	0
37	2x	DNAseI_hypersensitive_site	3331.8	7907.7	0
38	2x	DNAseI_hypersensitive_site	6494.0	32786.5	0
39	2x	DNAseI_hypersensitive_site	3950.8	11549.0	0
40	2x	DNAseI_hypersensitive_site	9186.4	25843.2	0
41	2x	DNAseI_hypersensitive_site	9291.7	35315.0	0
42	2x	DNAseI_hypersensitive_site	17046.0	47711.9	0
43	2x	DNAseI_hypersensitive_site	4272.8	16210.7	0
44	2x	DNAseI_hypersensitive_site	5629.0	24520.4	0
45	2x	DNAseI_hypersensitive_site	10397.1	35157.5	0
46	2x	DNAseI_hypersensitive_site	2420.1	3761.1	0
47	2x	DNAseI_hypersensitive_site	5472.6	23983.3	0
48	2x	DNAseI_hypersensitive_site	7989.5	30650.3	0
49	2x	DNAseI_hypersensitive_site	6017.7	22630.6	0
50	2x	DNAseI_hypersensitive_site	3924.4	11945.3	0
51	2x	DNAseI_hypersensitive_site	9396.1	32743.0	0
52	2x	DNAseI_hypersensitive_site	2119.2	3712.9	0
53	2x	DNAseI_hypersensitive_site	8989.1	26573.6	0
54	2x	DNAseI_hypersensitive_site	3280.5	5614.7	0
55	2x	DNAseI_hypersensitive_site	5356.2	16684.3	0
56	2x	DNAseI_hypersensitive_site	3713.5	8101.9	0
57	2x	DNAseI_hypersensitive_site	4927.0	17429.1	0
58	2x	DNAseI_hypersensitive_site	4456.2	12825.6	0
59	2x	DNAseI_hypersensitive_site	7673.3	22072.6	0
60	2x	DNAseI_hypersensitive_site	8185.2	36313.4	0
61	2x	DNAseI_hypersensitive_site	2012.3	4600.4	0
62	2x	DNAseI_hypersensitive_site	12592.6	37960.7	0
63	2x	DNAseI_hypersensitive_site	4437.3	8636.3	0
64	2x	DNAseI_hypersensitive_site	3738.5	13395.3	0
65	2x	DNAseI_hypersensitive_site	2686.7	5534.3	0
66	2x	DNAseI_hypersensitive_site	15374.8	50923.5	0
67	2x	DNAseI_hypersensitive_site	7191.1	17498.1	0
68	2x	DNAseI_hypersensitive_site	2009.6	4293.6	0
69	2x	DNAseI_hypersensitive_site	2429.4	4150.7	0
70	2x	DNAseI_hypersensitive_site	7244.0	20431.6	0
71	2x	DNAseI_hypersensitive_site	10933.1	39340.4	0
72	2x	DNAseI_hypersensitive_site	6460.6	24398.1	0
73	2x	DNAseI_hypersensitive_site	5790.7	18367.1	0
74	2x	DNAseI_hypersensitive_site	14189.1	42511.4	0
75	2x	DNAseI_hypersensitive_site	9032.9	28111.2	0
76	2x	DNAseI_hypersensitive_site	2798.7	5843.9	0
77	2x	DNAseI_hypersensitive_site	4165.1	16038.4	0
78	2x	DNAseI_hypersensitive_site	8433.1	33306.5	0
79	2x	DNAseI_hypersensitive_site	5006.8	20912.8	0
80	2x	DNAseI_hypersensitive_site	3725.0	8990.2	0
81	2x	DNAseI_hypersensitive_site	2246.6	6104.2	0
82	2x	DNAseI_hypersensitive_site	3102.2	8512.2	0
83	2x	DNAseI_hypersensitive_site	9800.9	36608.2	0
84	2x	DNAseI_hypersensitive_site	7913.9	21667.5	0
85	2x	DNAseI_hypersensitive_site	2320.2	5078.7	0
86	2x	DNAseI_hypersensitive_site	5826.5	13942.8	0
87	2x	DNAseI_hypersensitive_site	6599.9	30006.7	0
88	2x	DNAseI_hypersensitive_site	2566.9	7489.4	0
89	2x	DNAseI_hypersensitive_site	2665.1	5700.0	0
90	2x	DNAseI_hypersensitive_site	9436.6	38253.0	0
91	2x	DNAseI_hypersensitive_site	3421.2	9735.8	0
92	2x	DNAseI_hypersensitive_site	6753.7	30690.6	0
93	2x	DNAseI_hypersensitive_site	6583.7	17192.0	0
94	2x	DNAseI_hypersensitive_site	7856.2	33004.4	0
95	2x	DNAseI_hypersensitive_site	11021.5	26017.7	0
96	2x	DNAseI_hypersensitive_site	3294.9	11026.2	0
97	2x	DNAseI_hypersensitive_site	2917.9	6635.9	0
98	2x	DNAseI_hypersensitive_site	3791.3	15512.6	0
99	2x	DNAseI_hypersensitive_site	6538.0	31575.8	0
100	2x	DNAseI_hypersensitive_site	8431.2	24980.8	0
101	2x	DNAseI_hypersensitive_site	3673.4	14107.1	0
102	2x	DNAseI_hypersensitive_site	2323.0	5556.9	0
103	2x	DNAseI_hypersensitive_site	5327.1	12631.7	0
104	2x	DNAseI_hypersensitive_site	15968.7	48685.3	0
105	2x	DNAseI_hypersensitive_site	2273.4	6377.7	0
106	2x	DNAseI_hypersensitive_site	6389.5	18640.6	0
107	2x	DNAseI_hypersensitive_site	4456.2	20161.2	0
108	2x	DNAseI_hypersensitive_site	9185.1	38855.1	0
109	2x	DNAseI_hypersensitive_site	11465.1	36508.3	0
110	2x	DNAseI_hypersensitive_site	5787.9	10856.1	0
111	2x	DNAseI_hypersensitive_site	2419.7	3227.5	0
112	2x	DNAseI_hypersensitive_site	8642.1	28275.4	0
113	2x	DNAseI_hypersensitive_site	4842.1	11941.0	0
114	2x	DNAseI_hypersensitive_site	6899.3	22008.1	0
115	2x	DNAseI_hypersensitive_site	8476.1	27853.0	0
116	2x	DNAseI_hypersensitive_site	11127.7	36255.0	0
117	2x	DNAseI_hypersensitive_site	3514.2	9516.2	0
118	2x	DNAseI_hypersensitive_site	4603.7	19309.7	0
119	2x	DNAseI_hypersensitive_site	4991.0	19104.5	0
120	2x	DNAseI_hypersensitive_site	2419.3	6123.7	0
121	2x	DNAseI_hypersensitive_site	5074.0	13447.0	0
122	2x	DNAseI_hypersensitive_site	8250.1	21962.1	0
123	2x	DNAseI_hypersensitive_site	9126.0	33669.8	0
124	2x	DNAseI_hypersensitive_site	13330.7	36800.9	0
125	2x	DNAseI_hypersensitive_site	10116.0	23326.0	0
126	2x	DNAseI_hypersensitive_site	3887.3	8165.8	0
127	2x	DNAseI_hypersensitive_site	6846.0	24385.2	0
128	2x	DNAseI_hypersensitive_site	1260.9	2554.0	1
129	2x	DNAseI_hypersensitive_site	3541.9	6201.8	1
130	2x	DNAseI_hypersensitive_site	5385.6	10465.0	1
131	2x	DNAseI_hypersensitive_site	3573.4	9663.0	1
132	2x	DNAseI_hypersensitive_site	6455.3	17781.8	1
133	2x	DNAseI_hypersensitive_site	5163.2	13899.2	1
134	2x	DNAseI_hypersensitive_site	9835.2	34620.1	1
135	2x	DNAseI_hypersensitive_site	1189.2	1595.6	2
136	2x	DNAseI_hypersensitive_site	8469.9	33562.4	2
137	2x	DNAseI_hypersensitive_site	8788.5	33169.5	2
138	2x	DNAseI_hypersensitive_site	3759.4	9253.6	2
139	2x	DNAseI_hypersensitive_site	5121.7	13026.5	2
140	2x	DNAseI_hypersensitive_site	3440.8	8853.1	2
141	2x	DNAseI_hypersensitive_site	12369.0	39002.4	2
142	2x	DNAseI_hypersensitive_site	2967.9	5776.4	2
143	2x	DNAseI_hypersensitive_site	2043.4	5543.3	2
144	2x	DNAseI_hypersensitive_site	4907.8	12290.3	2
145	2x	DNAseI_hypersensitive_site	7860.8	14666.4	2
146	2x	DNAseI_hypersensitive_site	1986.3	2398.7	2
147	2x	DNAseI_hypersensitive_site	7967.1	22991.1	2
148	2x	DNAseI_hypersensitive_site	7765.8	26237.8	2
149	2x	DNAseI_hypersensitive_site	6959.4	21789.7	2
150	2x	DNAseI_hypersensitive_site	7517.4	21867.3	2
151	2x	DNAseI_hypersensitive_site	6008.7	31499.7	2
152	2x	DNAseI_hypersensitive_site	8390.4	33381.9	2
153	2x	DNAseI_hypersensitive_site	7564.2	30148.2	2
154	2x	DNAseI_hypersensitive_site	8305.4	27905.1	2
155	2x	DNAseI_hypersensitive_site	10663.3	27532.5	2
156	2x	DNAseI_hypersensitive_site	14369.8	48363.5	2
157	2x	DNAseI_hypersensitive_site	5174.0	11265.1	2
158	2x	DNAseI_hypersensitive_site	6704.3	17467.0	2
159	2x	DNAseI_hypersensitive_site	2084.2	5546.5	2
160	2x	DNAseI_hypersensitive_site	12563.1	44483.2	2
161	2x	DNAseI_hypersensitive_site	11899.2	40492.0	2
162	2x	DNAseI_hypersensitive_site	11090.4	41426.1	2
163	2x	DNAseI_hypersensitive_site	4240.5	10388.6	2
164	2x	DNAseI_hypersensitive_site	2617.4	4756.9	2
165	2x	DNAseI_hypersensitive_site	3421.8	10753.7	2
166	2x	DNAseI_hypersensitive_site	1656.8	2561.7	2
167	2x	DNAseI_hypersensitive_site	2170.0	5525.2	2
168	2x	DNAseI_hypersensitive_site	8950.5	39299.4	2
169	2x	DNAseI_hypersensitive_site	6770.7	18024.4	2
170	2x	DNAseI_hypersensitive_site	11830.9	31909.7	2
171	2x	DNAseI_hypersensitive_site	1253.0	1400.6	3
172	2x	DNAseI_hypersensitive_site	10002.8	41797.4	3
173	2x	DNAseI_hypersensitive_site	2755.5	6977.0	3
174	2x	DNAseI_hypersensitive_site	9799.3	39198.5	3
175	2x	DNAseI_hypersensitive_site	5750.8	15082.6	3
176	2x	DNAseI_hypersensitive_site	7121.3	22440.0	3
177	2x	DNAseI_hypersensitive_site	6427.3	21710.2	3
178	2x	DNAseI_hypersensitive_site	8289.4	23841.1	3
179	2x	DNAseI_hypersensitive_site	3257.8	9790.4	3
180	2x	DNAseI_hypersensitive_site	13812.4	44386.6	3
181	2x	DNAseI_hypersensitive_site	2133.2	7043.4	3
182	2x	DNAseI_hypersensitive_site	2775.6	7782.6	3
183	2x	DNAseI_hypersensitive_site	15508.6	53426.2	3
184	2x	DNAseI_hypersensitive_site	5694.1	23946.5	3
185	2x	DNAseI_hypersensitive_site	6282.5	18204.6	3
186	2x	DNAseI_hypersensitive_site	7928.4	24355.9	3
187	2x	DNAseI_hypersensitive_site	1560.0	1703.7	3
188	2x	DNAseI_hypersensitive_site	3414.4	10134.4	3
189	2x	DNAseI_hypersensitive_site	1351.9	1576.2	3
190	2x	DNAseI_hypersensitive_site	5821.8	21268.2	3
191	2x	DNAseI_hypersensitive_site	7064.2	20671.4	3
192	2x	DNAseI_hypersensitive_site	2739.2	6422.6	3
193	2x	DNAseI_hypersensitive_site	4436.0	8620.6	3
194	2x	DNAseI_hypersensitive_site	4463.6	13819.2	3
195	2x	DNAseI_hypersensitive_site	8180.8	30270.6	3
196	2x	DNAseI_hypersensitive_site	6705.4	17577.9	3
197	2x	DNAseI_hypersensitive_site	10021.8	38710.9	3
198	2x	DNAseI_hypersensitive_site	3588.7	13610.0	3
199	2x	DNAseI_hypersensitive_site	6248.9	17965.9	3
200	2x	DNAseI_hypersensitive_site	4018.6	9471.1	3
201	2x	DNAseI_hypersensitive_site	13407.6	50083.4	3
202	2x	DNAseI_hypersensitive_site	4097.9	10406.2	3
203	2x	DNAseI_hypersensitive_site	3213.4	8129.3	3
204	2x	DNAseI_hypersensitive_site	2983.4	9663.7	3
205	2x	DNAseI_hypersensitive_site	4914.2	11187.5	3
206	2x	DNAseI_hypersensitive_site	4315.1	12838.0	3
207	2x	DNAseI_hypersensitive_site	4836.0	12348.7	3
208	2x	DNAseI_hypersensitive_site	6621.6	27100.2	3
209	2x	DNAseI_hypersensitive_site	2798.8	11089.0	3
210	2x	DNAseI_hypersensitive_site	4891.5	18813.2	3
211	2x	DNAseI_hypersensitive_site	4480.2	19487.1	3
212	2x	DNAseI_hypersensitive_site	3099.1	9110.4	3
213	2x	DNAseI_hypersensitive_site	3412.6	8317.0	3
214	2x	DNAseI_hypersensitive_site	7261.4	20998.6	3
215	2x	DNAseI_hypersensitive_site	5304.0	17177.6	3
216	2x	DNAseI_hypersensitive_site	4508.0	14701.8	3
217	2x	DNAseI_hypersensitive_site	4584.0	15996.8	3
218	2x	DNAseI_hypersensitive_site	9773.6	36053.3	3
219	2x	DNAseI_hypersensitive_site	6099.9	25311.5	3
220	2x	DNAseI_hypersensitive_site	6681.4	29359.8	3
221	2x	DNAseI_hypersensitive_site	7408.2	19073.4	3
222	2x	DNAseI_hypersensitive_site	4644.6	13712.0	3
223	2x	DNAseI_hypersensitive_site	20081.9	57328.2	3
224	2x	DNAseI_hypersensitive_site	8317.0	36434.1	3
225	2x	DNAseI_hypersensitive_site	4808.2	18433.9	3
226	2x	DNAseI_hypersensitive_site	4460.0	11039.9	3
227	2x	DNAseI_hypersensitive_site	8199.1	39836.1	3
228	2x	DNAseI_hypersensitive_site	9043.5	40056.1	3
229	2x	DNAseI_hypersensitive_site	10841.1	35096.6	3
230	2x	DNAseI_hypersensitive_site	5511.0	14700.1	3
231	2x	DNAseI_hypersensitive_site	20959.6	63270.8	3
232	2x	DNAseI_hypersensitive_site	5990.4	16111.5	3
233	2x	DNAseI_hypersensitive_site	4434.2	22185.2	3
234	2x	DNAseI_hypersensitive_site	2223.8	5684.7	3
235	2x	DNAseI_hypersensitive_site	8548.3	26187.3	3
236	2x	DNAseI_hypersensitive_site	10522.9	29486.5	3
237	2x	DNAseI_hypersensitive_site	8145.7	24540.9	3
238	2x	DNAseI_hypersensitive_site	5221.3	15396.5	3
239	2x	DNAseI_hypersensitive_site	8865.3	25589.6	3
240	2x	DNAseI_hypersensitive_site	3068.7	9468.6	3
241	2x	DNAseI_hypersensitive_site	5601.2	22628.3	3
242	2x	DNAseI_hypersensitive_site	10416.7	35591.8	3
243	2x	DNAseI_hypersensitive_site	14476.4	37802.7	3
244	2x	DNAseI_hypersensitive_site	3996.9	14503.1	3
245	2x	DNAseI_hypersensitive_site	2678.8	7849.4	3
246	2x	DNAseI_hypersensitive_site	2021.1	5897.1	3
247	2x	DNAseI_hypersensitive_site	8302.1	26329.2	3
248	2x	DNAseI_hypersensitive_site	9506.1	30847.0	3
249	2x	DNAseI_hypersensitive_site	2778.8	7832.6	3
250	2x	DNAseI_hypersensitive_site	13846.0	41237.1	3
