
Run	Copy_number	Feature	Average_distance_to_nearest_feature	Standard_deviation	#_of_times_shuffled_average_was_below_real_average
0	2x	gene	597.6	1935.7	.
1	2x	gene	1093.3	2793.0	0
2	2x	gene	1401.4	6528.1	0
3	2x	gene	2620.4	9200.5	0
4	2x	gene	1303.2	4038.9	0
5	2x	gene	7134.0	25517.9	0
6	2x	gene	3781.7	15568.3	0
7	2x	gene	2228.0	10166.6	0
8	2x	gene	2418.7	7876.1	0
9	2x	gene	6093.5	21992.4	0
10	2x	gene	6213.5	24904.2	0
11	2x	gene	1597.7	3876.3	0
12	2x	gene	5033.3	15455.5	0
13	2x	gene	7464.9	23947.8	0
14	2x	gene	2687.7	10947.6	0
15	2x	gene	2790.6	9260.4	0
16	2x	gene	2215.0	6436.7	0
17	2x	gene	1008.3	2893.0	0
18	2x	gene	3286.2	9293.4	0
19	2x	gene	6739.5	19222.3	0
20	2x	gene	1025.8	1962.1	0
21	2x	gene	2444.8	8223.4	0
22	2x	gene	7219.3	22693.2	0
23	2x	gene	2106.8	10444.9	0
24	2x	gene	2607.4	10812.8	0
25	2x	gene	1859.1	5406.3	0
26	2x	gene	958.5	2619.4	0
27	2x	gene	3082.7	9080.8	0
28	2x	gene	1907.3	5398.1	0
29	2x	gene	3440.5	12437.0	0
30	2x	gene	9363.2	30402.2	0
31	2x	gene	4888.2	17775.9	0
32	2x	gene	3483.4	14350.1	0
33	2x	gene	756.0	2487.8	0
34	2x	gene	5185.9	24055.4	0
35	2x	gene	1258.3	4090.5	0
36	2x	gene	3389.2	12543.2	0
37	2x	gene	7903.1	33297.0	0
38	2x	gene	4027.8	23139.7	0
39	2x	gene	2167.5	6473.6	0
40	2x	gene	2092.2	6491.6	0
41	2x	gene	528.0	1370.6	1
42	2x	gene	1689.9	6296.8	1
43	2x	gene	3365.9	6364.6	1
44	2x	gene	4185.8	12152.2	1
45	2x	gene	387.6	703.6	2
46	2x	gene	4564.5	11581.3	2
47	2x	gene	3296.8	10341.3	2
48	2x	gene	1678.6	5028.3	2
49	2x	gene	1934.1	6067.5	2
50	2x	gene	4579.8	16148.0	2
51	2x	gene	2952.9	8693.1	2
52	2x	gene	7462.1	22035.3	2
53	2x	gene	8358.2	23292.6	2
54	2x	gene	3702.6	10905.1	2
55	2x	gene	795.0	2177.0	2
56	2x	gene	4631.2	12085.4	2
57	2x	gene	4121.6	14908.6	2
58	2x	gene	5821.8	18136.6	2
59	2x	gene	4230.7	17068.1	2
60	2x	gene	434.0	852.9	3
61	2x	gene	1115.2	4415.7	3
62	2x	gene	3611.4	19033.6	3
63	2x	gene	4281.0	17674.0	3
64	2x	gene	585.4	1560.4	4
65	2x	gene	869.3	2006.8	4
66	2x	gene	1363.2	4796.8	4
67	2x	gene	3207.0	16829.9	4
68	2x	gene	1926.7	8283.4	4
69	2x	gene	4396.3	15041.5	4
70	2x	gene	4382.5	19810.5	4
71	2x	gene	4564.6	14166.7	4
72	2x	gene	3575.2	9690.5	4
73	2x	gene	4197.4	11545.3	4
74	2x	gene	4862.9	24503.8	4
75	2x	gene	3483.2	8903.6	4
76	2x	gene	2244.3	7671.1	4
77	2x	gene	5279.6	15957.4	4
78	2x	gene	6246.9	26476.0	4
79	2x	gene	2338.3	8176.4	4
80	2x	gene	2122.5	5533.8	4
81	2x	gene	2321.1	9373.1	4
82	2x	gene	2807.9	6547.5	4
83	2x	gene	573.0	1347.1	5
84	2x	gene	2049.1	7549.0	5
85	2x	gene	5184.6	21978.0	5
86	2x	gene	4753.4	17709.9	5
87	2x	gene	4381.7	19216.4	5
88	2x	gene	2483.9	7178.3	5
89	2x	gene	1080.1	3028.5	5
90	2x	gene	1415.2	4213.1	5
91	2x	gene	7432.8	22640.8	5
92	2x	gene	1145.8	3459.6	5
93	2x	gene	3671.7	14259.8	5
94	2x	gene	3465.0	12778.6	5
95	2x	gene	1719.8	6537.4	5
96	2x	gene	2796.7	12493.6	5
97	2x	gene	4906.4	16234.4	5
98	2x	gene	2639.5	12091.2	5
99	2x	gene	3634.5	13777.4	5
100	2x	gene	4815.1	13868.0	5
101	2x	gene	3014.1	14376.4	5
102	2x	gene	4524.1	14506.6	5
103	2x	gene	1046.3	3443.8	5
104	2x	gene	2422.3	10778.4	5
105	2x	gene	6027.0	18851.9	5
106	2x	gene	2547.2	7497.5	5
107	2x	gene	2817.7	7260.2	5
108	2x	gene	1758.4	4670.0	5
109	2x	gene	2511.2	7622.4	5
110	2x	gene	7576.9	23361.4	5
111	2x	gene	1930.2	5758.9	5
112	2x	gene	4243.6	15123.3	5
113	2x	gene	4360.7	22271.6	5
114	2x	gene	4605.3	23736.2	5
115	2x	gene	3295.0	9870.5	5
116	2x	gene	2708.9	9464.0	5
117	2x	gene	4072.0	23411.1	5
118	2x	gene	2542.7	13691.7	5
119	2x	gene	2344.3	7377.5	5
120	2x	gene	3584.7	11707.8	5
121	2x	gene	1842.1	7324.4	5
122	2x	gene	4849.3	15338.8	5
123	2x	gene	3707.9	15194.3	5
124	2x	gene	2431.7	10502.8	5
125	2x	gene	3346.9	8872.8	5
126	2x	gene	1416.8	3648.9	5
127	2x	gene	2455.3	7186.8	5
128	2x	gene	796.6	3363.1	5
129	2x	gene	1569.1	5146.7	5
130	2x	gene	6190.0	22883.9	5
131	2x	gene	7091.4	26895.3	5
132	2x	gene	4542.2	14109.5	5
133	2x	gene	2604.0	6578.7	5
