Run	Real_ratio	Bp	Feature	Breakpoint_region_bp	Non_breakpoint_region_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Shuffled_ratio	Above	Same	Below
0	1.8700	100	DNA_replication_origin	4600	30395652	300	6.52	1060090	3.49	1.8700	0	0	0	
0	1.8836	100	DNAseI_hypersensitive_site	4600	30395652	1135	24.67	3981667	13.10	1.8836	0	0	0	
0	1.0195	100	gene	4600	30395652	2472	53.74	16021985	52.71	1.0195	0	0	0	
0	1.1000	100	open_chromatin_state_1	4600	30395652	575	12.50	3453925	11.36	1.1000	0	0	0	
0	2.3983	100	open_chromatin_state_2	4600	30395652	1125	24.46	3099525	10.20	2.3983	0	0	0	
0	0.7004	100	open_chromatin_state_3	4600	30395652	331	7.20	3122519	10.27	0.7004	0	0	0	
0	0.9681	100	open_chromatin_state_4	4600	30395652	700	15.22	4777700	15.72	0.9681	0	0	0	
0	0.8966	100	open_chromatin_state_5	4600	30395652	600	13.04	4421850	14.55	0.8966	0	0	0	
0	0.7982	100	open_chromatin_state_6	4600	30395652	400	8.70	3311370	10.89	0.7982	0	0	0	
0	0.7790	100	open_chromatin_state_7	4600	30395652	369	8.02	3130131	10.30	0.7790	0	0	0	
0	1.1013	100	open_chromatin_state_8	4600	30395652	400	8.70	2400050	7.90	1.1013	0	0	0	
0	0.2468	100	open_chromatin_state_9	4600	30395652	100	2.17	2677100	8.81	0.2468	0	0	0	
0	0.0000	100	pseudogene	4600	30395652	0	0.00	225503	0.74	0.0000	0	0	0	
0	0.6901	100	satellite	4600	30395652	199	4.33	1905380	6.27	0.6901	0	0	0	
0	0.7153	100	transposable_element	4600	30395652	549	11.93	5071781	16.69	0.7153	0	0	0	
1	1.8700	100	DNA_replication_origin	4600	30395652	100	2.17	1060290	3.49	0.6232	0	0	1	*****
1	1.8836	100	DNAseI_hypersensitive_site	4600	30395652	519	11.28	3982283	13.10	0.8612	0	0	1	*****
1	1.0195	100	gene	4600	30395652	2112	45.91	16022345	52.71	0.8710	0	0	1	*****
1	1.1000	100	open_chromatin_state_1	4600	30395652	227	4.93	3454273	11.36	0.4342	0	0	1	*****
1	2.3983	100	open_chromatin_state_2	4600	30395652	435	9.46	3100215	10.20	0.9272	0	0	1	*****
1	0.7004	100	open_chromatin_state_3	4600	30395652	511	11.11	3122339	10.27	1.0814	1	0	0	*****
1	0.9681	100	open_chromatin_state_4	4600	30395652	800	17.39	4777600	15.72	1.1065	1	0	0	*****
1	0.8966	100	open_chromatin_state_5	4600	30395652	700	15.22	4421750	14.55	1.0461	1	0	0	*****
1	0.7982	100	open_chromatin_state_6	4600	30395652	700	15.22	3311070	10.89	1.3970	1	0	0	*****
1	0.7790	100	open_chromatin_state_7	4600	30395652	127	2.76	3130373	10.30	0.2681	0	0	1	
1	1.1013	100	open_chromatin_state_8	4600	30395652	436	9.48	2400014	7.90	1.2004	1	0	0	
1	0.2468	100	open_chromatin_state_9	4600	30395652	664	14.43	2676536	8.81	1.6393	1	0	0	*****
1	0.0000	100	pseudogene	4600	30395652	100	2.17	225403	0.74	2.9315	1	0	0	
1	0.6901	100	satellite	4600	30395652	142	3.09	1905437	6.27	0.4924	0	0	1	
1	0.7153	100	transposable_element	4600	30395652	768	16.70	5071562	16.69	1.0006	1	0	0	*****
2	1.8700	100	DNA_replication_origin	4600	30395652	0	0.00	1060390	3.49	0.0000	0	0	2	*****
2	1.8836	100	DNAseI_hypersensitive_site	4600	30395652	1250	27.17	3981552	13.10	2.0745	1	0	1	
2	1.0195	100	gene	4600	30395652	2437	52.98	16022020	52.71	1.0051	0	0	2	*****
2	1.1000	100	open_chromatin_state_1	4600	30395652	915	19.89	3453585	11.36	1.7507	1	0	1	
2	2.3983	100	open_chromatin_state_2	4600	30395652	605	13.15	3100045	10.20	1.2896	0	0	2	*****
2	0.7004	100	open_chromatin_state_3	4600	30395652	325	7.07	3122525	10.27	0.6878	1	0	1	
2	0.9681	100	open_chromatin_state_4	4600	30395652	710	15.43	4777690	15.72	0.9820	2	0	0	*****
2	0.8966	100	open_chromatin_state_5	4600	30395652	890	19.35	4421560	14.55	1.3301	2	0	0	*****
2	0.7982	100	open_chromatin_state_6	4600	30395652	80	1.74	3311690	10.90	0.1596	1	0	1	
2	0.7790	100	open_chromatin_state_7	4600	30395652	475	10.33	3130025	10.30	1.0028	1	0	1	
2	1.1013	100	open_chromatin_state_8	4600	30395652	300	6.52	2400150	7.90	0.8259	1	0	1	
2	0.2468	100	open_chromatin_state_9	4600	30395652	300	6.52	2676900	8.81	0.7405	2	0	0	*****
2	0.0000	100	pseudogene	4600	30395652	70	1.52	225433	0.74	2.0518	2	0	0	
