Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-24500	-24750	23000	46877027	500	2.17	225003	0.48	4.5291	
-24950	-24450	-24700	23000	46877027	500	2.17	225003	0.48	4.5291	
-24900	-24400	-24650	23000	46877027	500	2.17	225003	0.48	4.5291	
-24850	-24350	-24600	23000	46877027	500	2.17	225003	0.48	4.5291	
-24800	-24300	-24550	23000	46877027	500	2.17	225003	0.48	4.5291	
-24750	-24250	-24500	23000	46877027	500	2.17	225003	0.48	4.5291	
-24700	-24200	-24450	23000	46877027	500	2.17	225003	0.48	4.5291	
-24650	-24150	-24400	23000	46877027	500	2.17	225003	0.48	4.5291	
-24600	-24100	-24350	23000	46877027	500	2.17	225003	0.48	4.5291	
-24550	-24050	-24300	23000	46877027	500	2.17	225003	0.48	4.5291	
-24500	-24000	-24250	23000	46877027	500	2.17	225003	0.48	4.5291	
-24450	-23950	-24200	23000	46877027	500	2.17	225003	0.48	4.5291	
-24400	-23900	-24150	23000	46877027	500	2.17	225003	0.48	4.5291	
-24350	-23850	-24100	23000	46877027	500	2.17	225003	0.48	4.5291	
-24300	-23800	-24050	23000	46877027	500	2.17	225003	0.48	4.5291	
-24250	-23750	-24000	23000	46877027	500	2.17	225003	0.48	4.5291	
-24200	-23700	-23950	23000	46877027	500	2.17	225003	0.48	4.5291	
-24150	-23650	-23900	23000	46877027	500	2.17	225003	0.48	4.5291	
-24100	-23600	-23850	23000	46877027	500	2.17	225003	0.48	4.5291	
-24050	-23550	-23800	23000	46877027	500	2.17	225003	0.48	4.5291	
-24000	-23500	-23750	23000	46877027	500	2.17	225003	0.48	4.5291	
-23950	-23450	-23700	23000	46877027	500	2.17	225003	0.48	4.5291	
-23900	-23400	-23650	23000	46877027	500	2.17	225003	0.48	4.5291	
-23850	-23350	-23600	23000	46877027	500	2.17	225003	0.48	4.5291	
-23800	-23300	-23550	23000	46877027	500	2.17	225003	0.48	4.5291	
-23750	-23250	-23500	23000	46877027	500	2.17	225003	0.48	4.5291	
-23700	-23200	-23450	23000	46877027	500	2.17	225003	0.48	4.5291	
-23650	-23150	-23400	23000	46877027	500	2.17	225003	0.48	4.5291	
-23600	-23100	-23350	23000	46877027	500	2.17	225003	0.48	4.5291	
-23550	-23050	-23300	23000	46877027	500	2.17	225003	0.48	4.5291	
-23500	-23000	-23250	23000	46877027	500	2.17	225003	0.48	4.5291	
-23450	-22950	-23200	23000	46877027	500	2.17	225003	0.48	4.5291	
-23400	-22900	-23150	23000	46877027	500	2.17	225003	0.48	4.5291	
-23350	-22850	-23100	23000	46877027	500	2.17	225003	0.48	4.5291	
-23300	-22800	-23050	23000	46877027	500	2.17	225003	0.48	4.5291	
-23250	-22750	-23000	23000	46877027	500	2.17	225003	0.48	4.5291	
-23200	-22700	-22950	23000	46877027	500	2.17	225003	0.48	4.5291	
-23150	-22650	-22900	23000	46877027	500	2.17	225003	0.48	4.5291	
-23100	-22600	-22850	23000	46877027	500	2.17	225003	0.48	4.5291	
-23050	-22550	-22800	23000	46877027	500	2.17	225003	0.48	4.5291	
-23000	-22500	-22750	23000	46877027	500	2.17	225003	0.48	4.5291	
-22950	-22450	-22700	23000	46877027	500	2.17	225003	0.48	4.5291	
-22900	-22400	-22650	23000	46877027	500	2.17	225003	0.48	4.5291	
-22850	-22350	-22600	23000	46877027	500	2.17	225003	0.48	4.5291	
-22800	-22300	-22550	23000	46877027	500	2.17	225003	0.48	4.5291	
-22750	-22250	-22500	23000	46877027	500	2.17	225003	0.48	4.5291	
-22700	-22200	-22450	23000	46877027	500	2.17	225003	0.48	4.5291	
-22650	-22150	-22400	23000	46877027	500	2.17	225003	0.48	4.5291	
-22600	-22100	-22350	23000	46877027	500	2.17	225003	0.48	4.5291	
-22550	-22050	-22300	23000	46877027	500	2.17	225003	0.48	4.5291	
-22500	-22000	-22250	23000	46877027	500	2.17	225003	0.48	4.5291	
-22450	-21950	-22200	23000	46877027	500	2.17	225003	0.48	4.5291	
-22400	-21900	-22150	23000	46877027	500	2.17	225003	0.48	4.5291	
-22350	-21850	-22100	23000	46877027	500	2.17	225003	0.48	4.5291	
-22300	-21800	-22050	23000	46877027	500	2.17	225003	0.48	4.5291	
-22250	-21750	-22000	23000	46877027	500	2.17	225003	0.48	4.5291	
-22200	-21700	-21950	23000	46877027	500	2.17	225003	0.48	4.5291	
-22150	-21650	-21900	23000	46877027	500	2.17	225003	0.48	4.5291	
-22100	-21600	-21850	23000	46877027	500	2.17	225003	0.48	4.5291	
-22050	-21550	-21800	23000	46877027	500	2.17	225003	0.48	4.5291	
-22000	-21500	-21750	23000	46877027	500	2.17	225003	0.48	4.5291	
-21950	-21450	-21700	23000	46877027	500	2.17	225003	0.48	4.5291	
-21900	-21400	-21650	23000	46877027	500	2.17	225003	0.48	4.5291	
-21850	-21350	-21600	23000	46877027	500	2.17	225003	0.48	4.5291	
-21800	-21300	-21550	23000	46877027	500	2.17	225003	0.48	4.5291	
-21750	-21250	-21500	23000	46877027	500	2.17	225003	0.48	4.5291	
-21700	-21200	-21450	23000	46877027	500	2.17	225003	0.48	4.5291	
-21650	-21150	-21400	23000	46877027	500	2.17	225003	0.48	4.5291	
-21600	-21100	-21350	23000	46877027	500	2.17	225003	0.48	4.5291	
-21550	-21050	-21300	23000	46877027	500	2.17	225003	0.48	4.5291	
-21500	-21000	-21250	23000	46877027	487	2.12	225016	0.48	4.4111	
-21450	-20950	-21200	23000	46877027	437	1.90	225066	0.48	3.9573	
-21400	-20900	-21150	23000	46877027	387	1.68	225116	0.48	3.5038	
-21350	-20850	-21100	23000	46877027	337	1.47	225166	0.48	3.0504	
-21300	-20800	-21050	23000	46877027	287	1.25	225216	0.48	2.5973	
-21250	-20750	-21000	23000	46877027	246	1.07	225257	0.48	2.2258	
-21200	-20700	-20950	23000	46877027	246	1.07	225257	0.48	2.2258	
-21150	-20650	-20900	23000	46877027	246	1.07	225257	0.48	2.2258	
-21100	-20600	-20850	23000	46877027	246	1.07	225257	0.48	2.2258	
-21050	-20550	-20800	23000	46877027	246	1.07	225257	0.48	2.2258	
-21000	-20500	-20750	23000	46877027	259	1.13	225244	0.48	2.3436	
-20950	-20450	-20700	23000	46877027	309	1.34	225194	0.48	2.7966	
-20900	-20400	-20650	23000	46877027	359	1.56	225144	0.48	3.2499	
-20850	-20350	-20600	23000	46877027	409	1.78	225094	0.48	3.7033	
-20800	-20300	-20550	23000	46877027	459	2.00	225044	0.48	4.1570	
-20750	-20250	-20500	23000	46877027	500	2.17	225003	0.48	4.5291	
-20700	-20200	-20450	23000	46877027	500	2.17	225003	0.48	4.5291	
-20650	-20150	-20400	23000	46877027	500	2.17	225003	0.48	4.5291	
-20600	-20100	-20350	23000	46877027	500	2.17	225003	0.48	4.5291	
-20550	-20050	-20300	23000	46877027	500	2.17	225003	0.48	4.5291	
-20500	-20000	-20250	22932	46877095	500	2.18	225003	0.48	4.5426	
-20450	-19950	-20200	22832	46877195	500	2.19	225003	0.48	4.5625	
-20400	-19900	-20150	22732	46877295	500	2.20	225003	0.48	4.5825	
-20350	-19850	-20100	22632	46877395	500	2.21	225003	0.48	4.6028	
-20300	-19800	-20050	22532	46877495	485	2.15	225018	0.48	4.4842	
-20250	-19750	-20000	22568	46877459	458	2.03	225045	0.48	4.2273	
-20200	-19700	-19950	22668	46877359	458	2.02	225045	0.48	4.2087	
-20150	-19650	-19900	22768	46877259	458	2.01	225045	0.48	4.1902	
-20100	-19600	-19850	22868	46877159	458	2.00	225045	0.48	4.1719	
-20050	-19550	-19800	22968	46877059	458	1.99	225045	0.48	4.1537	
-20000	-19500	-19750	23000	46877027	458	1.99	225045	0.48	4.1479	
-19950	-19450	-19700	23000	46877027	458	1.99	225045	0.48	4.1479	
-19900	-19400	-19650	23000	46877027	458	1.99	225045	0.48	4.1479	
-19850	-19350	-19600	23000	46877027	458	1.99	225045	0.48	4.1479	
-19800	-19300	-19550	23000	46877027	473	2.06	225030	0.48	4.2840	
-19750	-19250	-19500	23000	46877027	500	2.17	225003	0.48	4.5291	
-19700	-19200	-19450	23000	46877027	500	2.17	225003	0.48	4.5291	
-19650	-19150	-19400	23000	46877027	500	2.17	225003	0.48	4.5291	
-19600	-19100	-19350	23000	46877027	500	2.17	225003	0.48	4.5291	
-19550	-19050	-19300	23000	46877027	500	2.17	225003	0.48	4.5291	
-19500	-19000	-19250	23000	46877027	500	2.17	225003	0.48	4.5291	
-19450	-18950	-19200	23000	46877027	500	2.17	225003	0.48	4.5291	
-19400	-18900	-19150	23000	46877027	500	2.17	225003	0.48	4.5291	
-19350	-18850	-19100	23000	46877027	500	2.17	225003	0.48	4.5291	
-19300	-18800	-19050	23000	46877027	500	2.17	225003	0.48	4.5291	
-19250	-18750	-19000	23000	46877027	500	2.17	225003	0.48	4.5291	
-19200	-18700	-18950	23000	46877027	500	2.17	225003	0.48	4.5291	
-19150	-18650	-18900	23000	46877027	500	2.17	225003	0.48	4.5291	
-19100	-18600	-18850	23000	46877027	500	2.17	225003	0.48	4.5291	
-19050	-18550	-18800	23000	46877027	500	2.17	225003	0.48	4.5291	
-19000	-18500	-18750	23000	46877027	500	2.17	225003	0.48	4.5291	
-18950	-18450	-18700	23000	46877027	500	2.17	225003	0.48	4.5291	
-18900	-18400	-18650	23000	46877027	500	2.17	225003	0.48	4.5291	
-18850	-18350	-18600	23000	46877027	500	2.17	225003	0.48	4.5291	
-18800	-18300	-18550	23000	46877027	500	2.17	225003	0.48	4.5291	
-18750	-18250	-18500	23000	46877027	500	2.17	225003	0.48	4.5291	
-18700	-18200	-18450	23000	46877027	500	2.17	225003	0.48	4.5291	
-18650	-18150	-18400	23000	46877027	500	2.17	225003	0.48	4.5291	
-18600	-18100	-18350	23000	46877027	500	2.17	225003	0.48	4.5291	
-18550	-18050	-18300	23000	46877027	500	2.17	225003	0.48	4.5291	
-18500	-18000	-18250	23000	46877027	500	2.17	225003	0.48	4.5291	
-18450	-17950	-18200	23000	46877027	500	2.17	225003	0.48	4.5291	
-18400	-17900	-18150	23000	46877027	500	2.17	225003	0.48	4.5291	
-18350	-17850	-18100	23000	46877027	500	2.17	225003	0.48	4.5291	
-18300	-17800	-18050	23000	46877027	500	2.17	225003	0.48	4.5291	
-18250	-17750	-18000	23000	46877027	500	2.17	225003	0.48	4.5291	
-18200	-17700	-17950	23000	46877027	500	2.17	225003	0.48	4.5291	
-18150	-17650	-17900	23000	46877027	500	2.17	225003	0.48	4.5291	
-18100	-17600	-17850	23000	46877027	500	2.17	225003	0.48	4.5291	
-18050	-17550	-17800	23000	46877027	500	2.17	225003	0.48	4.5291	
-18000	-17500	-17750	23000	46877027	500	2.17	225003	0.48	4.5291	
-17950	-17450	-17700	23000	46877027	500	2.17	225003	0.48	4.5291	
-17900	-17400	-17650	23000	46877027	500	2.17	225003	0.48	4.5291	
-17850	-17350	-17600	23000	46877027	538	2.34	224965	0.48	4.8742	
-17800	-17300	-17550	23000	46877027	588	2.56	224915	0.48	5.3283	
-17750	-17250	-17500	23000	46877027	638	2.77	224865	0.48	5.7827	
-17700	-17200	-17450	23000	46877027	688	2.99	224815	0.48	6.2373	
-17650	-17150	-17400	23000	46877027	738	3.21	224765	0.48	6.6921	
-17600	-17100	-17350	23000	46877027	788	3.43	224715	0.48	7.1470	
-17550	-17050	-17300	23000	46877027	838	3.64	224665	0.48	7.6022	
-17500	-17000	-17250	23000	46877027	888	3.86	224615	0.48	8.0576	
-17450	-16950	-17200	23000	46877027	938	4.08	224565	0.48	8.5132	
-17400	-16900	-17150	23000	46877027	988	4.30	224515	0.48	8.9690	
-17350	-16850	-17100	23000	46877027	1038	4.51	224465	0.48	9.4250	
-17300	-16800	-17050	23000	46877027	1088	4.73	224415	0.48	9.8812	
-17250	-16750	-17000	23000	46877027	1119	4.87	224384	0.48	10.1641	
-17200	-16700	-16950	23000	46877027	1119	4.87	224384	0.48	10.1641	
-17150	-16650	-16900	23000	46877027	1119	4.87	224384	0.48	10.1641	
-17100	-16600	-16850	23000	46877027	1119	4.87	224384	0.48	10.1641	
-17050	-16550	-16800	23000	46877027	1119	4.87	224384	0.48	10.1641	
-17000	-16500	-16750	23000	46877027	1119	4.87	224384	0.48	10.1641	
-16950	-16450	-16700	23000	46877027	1119	4.87	224384	0.48	10.1641	
-16900	-16400	-16650	23000	46877027	1075	4.67	224428	0.48	9.7626	
-16850	-16350	-16600	23000	46877027	987	4.29	224516	0.48	8.9599	
-16800	-16300	-16550	23000	46877027	887	3.86	224616	0.48	8.0485	
-16750	-16250	-16500	23000	46877027	806	3.50	224697	0.48	7.3109	
-16700	-16200	-16450	23000	46877027	756	3.29	224747	0.48	6.8558	
-16650	-16150	-16400	23000	46877027	706	3.07	224797	0.48	6.4010	
-16600	-16100	-16350	23000	46877027	656	2.85	224847	0.48	5.9463	
-16550	-16050	-16300	23000	46877027	606	2.63	224897	0.48	5.4919	
-16500	-16000	-16250	23000	46877027	556	2.42	224947	0.48	5.0376	
-16450	-15950	-16200	23000	46877027	483	2.10	225020	0.48	4.3748	
-16400	-15900	-16150	23000	46877027	427	1.86	225076	0.48	3.8666	
-16350	-15850	-16100	23000	46877027	377	1.64	225126	0.48	3.4131	
-16300	-15800	-16050	23000	46877027	327	1.42	225176	0.48	2.9598	
-16250	-15750	-16000	23000	46877027	277	1.20	225226	0.48	2.5066	
-16200	-15700	-15950	23000	46877027	227	0.99	225276	0.48	2.0537	
-16150	-15650	-15900	23000	46877027	177	0.77	225326	0.48	1.6010	
-16100	-15600	-15850	23000	46877027	127	0.55	225376	0.48	1.1485	
-16050	-15550	-15800	23000	46877027	77	0.33	225426	0.48	0.6962	
-16000	-15500	-15750	23000	46877027	27	0.12	225476	0.48	0.2441	
-15950	-15450	-15700	23000	46877027	0	0.00	225503	0.48	0.0000	
-15900	-15400	-15650	23000	46877027	0	0.00	225503	0.48	0.0000	
-15850	-15350	-15600	23000	46877027	0	0.00	225503	0.48	0.0000	
-15800	-15300	-15550	23000	46877027	0	0.00	225503	0.48	0.0000	
-15750	-15250	-15500	23000	46877027	0	0.00	225503	0.48	0.0000	
-15700	-15200	-15450	23000	46877027	0	0.00	225503	0.48	0.0000	
-15650	-15150	-15400	23000	46877027	0	0.00	225503	0.48	0.0000	
-15600	-15100	-15350	23000	46877027	0	0.00	225503	0.48	0.0000	
-15550	-15050	-15300	23000	46877027	0	0.00	225503	0.48	0.0000	
-15500	-15000	-15250	23000	46877027	0	0.00	225503	0.48	0.0000	
-15450	-14950	-15200	23000	46877027	0	0.00	225503	0.48	0.0000	
-15400	-14900	-15150	23000	46877027	0	0.00	225503	0.48	0.0000	
-15350	-14850	-15100	23000	46877027	0	0.00	225503	0.48	0.0000	
-15300	-14800	-15050	23000	46877027	0	0.00	225503	0.48	0.0000	
-15250	-14750	-15000	23000	46877027	0	0.00	225503	0.48	0.0000	
-15200	-14700	-14950	23000	46877027	0	0.00	225503	0.48	0.0000	
-15150	-14650	-14900	23000	46877027	0	0.00	225503	0.48	0.0000	
-15100	-14600	-14850	23000	46877027	0	0.00	225503	0.48	0.0000	
-15050	-14550	-14800	23000	46877027	0	0.00	225503	0.48	0.0000	
-15000	-14500	-14750	23000	46877027	0	0.00	225503	0.48	0.0000	
-14950	-14450	-14700	23000	46877027	0	0.00	225503	0.48	0.0000	
-14900	-14400	-14650	23000	46877027	0	0.00	225503	0.48	0.0000	
-14850	-14350	-14600	23000	46877027	0	0.00	225503	0.48	0.0000	
-14800	-14300	-14550	23000	46877027	0	0.00	225503	0.48	0.0000	
-14750	-14250	-14500	23000	46877027	0	0.00	225503	0.48	0.0000	
-14700	-14200	-14450	23000	46877027	0	0.00	225503	0.48	0.0000	
-14650	-14150	-14400	23000	46877027	0	0.00	225503	0.48	0.0000	
-14600	-14100	-14350	23000	46877027	0	0.00	225503	0.48	0.0000	
-14550	-14050	-14300	23000	46877027	0	0.00	225503	0.48	0.0000	
-14500	-14000	-14250	23000	46877027	0	0.00	225503	0.48	0.0000	
-14450	-13950	-14200	23000	46877027	0	0.00	225503	0.48	0.0000	
-14400	-13900	-14150	23000	46877027	0	0.00	225503	0.48	0.0000	
-14350	-13850	-14100	23000	46877027	0	0.00	225503	0.48	0.0000	
-14300	-13800	-14050	23000	46877027	0	0.00	225503	0.48	0.0000	
