Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-23000	-24000	88000	46812971	2000	2.27	1058390	2.26	1.0052	
-24800	-22800	-23800	88000	46812971	2000	2.27	1058390	2.26	1.0052	
-24600	-22600	-23600	88000	46812971	2000	2.27	1058390	2.26	1.0052	
-24400	-22400	-23400	88000	46812971	2000	2.27	1058390	2.26	1.0052	
-24200	-22200	-23200	88000	46812971	2000	2.27	1058390	2.26	1.0052	
-24000	-22000	-23000	88000	46812971	2000	2.27	1058390	2.26	1.0052	
-23800	-21800	-22800	88000	46812971	2000	2.27	1058390	2.26	1.0052	
-23600	-21600	-22600	88000	46812971	2000	2.27	1058390	2.26	1.0052	
-23400	-21400	-22400	88000	46812971	2000	2.27	1058390	2.26	1.0052	
-23200	-21200	-22200	88000	46812971	1859	2.11	1058531	2.26	0.9342	
-23000	-21000	-22000	88000	46812971	1659	1.89	1058731	2.26	0.8336	
-22800	-20800	-21800	88000	46812971	1459	1.66	1058931	2.26	0.7329	
-22600	-20600	-21600	88000	46812971	1259	1.43	1059131	2.26	0.6324	
-22400	-20400	-21400	88000	46812971	1059	1.20	1059331	2.26	0.5318	
-22200	-20200	-21200	88000	46812971	859	0.98	1059531	2.26	0.4313	
-22000	-20000	-21000	87932	46813039	659	0.75	1059731	2.26	0.3311	
-21800	-19800	-20800	87532	46813439	459	0.52	1059931	2.26	0.2316	
-21600	-19600	-20600	87132	46813839	259	0.30	1060131	2.26	0.1313	
-21400	-19400	-20400	86732	46814239	59	0.07	1060331	2.26	0.0300	
-21200	-19200	-20200	86332	46814639	0	0.00	1060390	2.27	0.0000	
-21000	-19000	-20000	86068	46814903	0	0.00	1060390	2.27	0.0000	
-20800	-18800	-19800	86468	46814503	0	0.00	1060390	2.27	0.0000	
-20600	-18600	-19600	86868	46814103	0	0.00	1060390	2.27	0.0000	
-20400	-18400	-19400	87268	46813703	0	0.00	1060390	2.27	0.0000	
-20200	-18200	-19200	87668	46813303	0	0.00	1060390	2.27	0.0000	
-20000	-18000	-19000	88000	46812971	0	0.00	1060390	2.27	0.0000	
-19800	-17800	-18800	88000	46812971	0	0.00	1060390	2.27	0.0000	
-19600	-17600	-18600	88000	46812971	0	0.00	1060390	2.27	0.0000	
-19400	-17400	-18400	88000	46812971	168	0.19	1060222	2.26	0.0843	
-19200	-17200	-18200	88000	46812971	368	0.42	1060022	2.26	0.1847	
-19000	-17000	-18000	88000	46812971	725	0.82	1059665	2.26	0.3640	
-18800	-16800	-17800	88000	46812971	1125	1.28	1059265	2.26	0.5650	
-18600	-16600	-17600	88000	46812971	1525	1.73	1058865	2.26	0.7661	
-18400	-16400	-17400	88000	46812971	1925	2.19	1058465	2.26	0.9675	
-18200	-16200	-17200	88000	46812971	2325	2.64	1058065	2.26	1.1689	
-18000	-16000	-17000	88000	46812971	2725	3.10	1057665	2.26	1.3706	
-17800	-15800	-16800	88000	46812971	3318	3.77	1057072	2.26	1.6698	
-17600	-15600	-16600	88000	46812971	3918	4.45	1056472	2.26	1.9728	
-17400	-15400	-16400	88000	46812971	4209	4.78	1056181	2.26	2.1199	
