Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-23000	-24000	88000	46812971	10877	12.36	5060368	10.81	1.1434	
-24800	-22800	-23800	88000	46812971	10617	12.06	5060628	10.81	1.1160	
-24600	-22600	-23600	88000	46812971	10378	11.79	5060867	10.81	1.0909	
-24400	-22400	-23400	88000	46812971	10195	11.59	5061050	10.81	1.0716	
-24200	-22200	-23200	88000	46812971	10550	11.99	5060695	10.81	1.1090	
-24000	-22000	-23000	88000	46812971	10843	12.32	5060402	10.81	1.1399	
-23800	-21800	-22800	88000	46812971	11144	12.66	5060101	10.81	1.1716	
-23600	-21600	-22600	88000	46812971	11226	12.76	5060019	10.81	1.1802	
-23400	-21400	-22400	88000	46812971	11096	12.61	5060149	10.81	1.1665	
-23200	-21200	-22200	88000	46812971	10539	11.98	5060706	10.81	1.1078	
-23000	-21000	-22000	88000	46812971	9952	11.31	5061293	10.81	1.0460	
-22800	-20800	-21800	88000	46812971	9202	10.46	5062043	10.81	0.9670	
-22600	-20600	-21600	88000	46812971	8544	9.71	5062701	10.81	0.8978	
-22400	-20400	-21400	88000	46812971	8118	9.22	5063127	10.82	0.8529	
-22200	-20200	-21200	88000	46812971	7228	8.21	5064017	10.82	0.7593	
-22000	-20000	-21000	87932	46813039	6860	7.80	5064385	10.82	0.7211	
-21800	-19800	-20800	87532	46813439	6533	7.46	5064712	10.82	0.6899	
-21600	-19600	-20600	87132	46813839	6351	7.29	5064894	10.82	0.6737	
-21400	-19400	-20400	86732	46814239	6355	7.33	5064890	10.82	0.6772	
-21200	-19200	-20200	86332	46814639	6279	7.27	5064966	10.82	0.6722	
-21000	-19000	-20000	86068	46814903	6362	7.39	5064883	10.82	0.6832	
-20800	-18800	-19800	86468	46814503	7028	8.13	5064217	10.82	0.7514	
-20600	-18600	-19600	86868	46814103	7470	8.60	5063775	10.82	0.7950	
-20400	-18400	-19400	87268	46813703	7997	9.16	5063248	10.82	0.8473	
-20200	-18200	-19200	87668	46813303	8732	9.96	5062513	10.81	0.9210	
-20000	-18000	-19000	88000	46812971	9156	10.40	5062089	10.81	0.9622	
-19800	-17800	-18800	88000	46812971	9471	10.76	5061774	10.81	0.9954	
-19600	-17600	-18600	88000	46812971	9779	11.11	5061466	10.81	1.0278	
-19400	-17400	-18400	88000	46812971	10095	11.47	5061150	10.81	1.0611	
-19200	-17200	-18200	88000	46812971	10717	12.18	5060528	10.81	1.1266	
-19000	-17000	-18000	88000	46812971	11314	12.86	5059931	10.81	1.1895	
-18800	-16800	-17800	88000	46812971	11586	13.17	5059659	10.81	1.2181	
-18600	-16600	-17600	88000	46812971	11581	13.16	5059664	10.81	1.2176	
-18400	-16400	-17400	88000	46812971	11254	12.79	5059991	10.81	1.1832	
-18200	-16200	-17200	88000	46812971	10734	12.20	5060511	10.81	1.1284	
-18000	-16000	-17000	88000	46812971	10057	11.43	5061188	10.81	1.0571	
-17800	-15800	-16800	88000	46812971	9200	10.45	5062045	10.81	0.9668	
-17600	-15600	-16600	88000	46812971	8514	9.68	5062731	10.81	0.8946	
-17400	-15400	-16400	88000	46812971	8003	9.09	5063242	10.82	0.8408	
-17200	-15200	-16200	88000	46812971	7196	8.18	5064049	10.82	0.7559	
-17000	-15000	-16000	88000	46812971	6405	7.28	5064840	10.82	0.6727	
-16800	-14800	-15800	88000	46812971	5874	6.68	5065371	10.82	0.6169	
-16600	-14600	-15600	88000	46812971	6322	7.18	5064923	10.82	0.6640	
-16400	-14400	-15400	88000	46812971	7408	8.42	5063837	10.82	0.7782	
-16200	-14200	-15200	88000	46812971	8485	9.64	5062760	10.81	0.8916	
-16000	-14000	-15000	88000	46812971	9512	10.81	5061733	10.81	0.9997	
-15800	-13800	-14800	88000	46812971	10816	12.29	5060429	10.81	1.1370	
-15600	-13600	-14600	88000	46812971	11840	13.45	5059405	10.81	1.2449	
-15400	-13400	-14400	88000	46812971	12536	14.25	5058709	10.81	1.3183	
-15200	-13200	-14200	88000	46812971	13064	14.85	5058181	10.81	1.3739	
-15000	-13000	-14000	88000	46812971	13616	15.47	5057629	10.80	1.4321	
-14800	-12800	-13800	88000	46812971	14019	15.93	5057226	10.80	1.4746	
-14600	-12600	-13600	88000	46812971	13737	15.61	5057508	10.80	1.4449	
-14400	-12400	-13400	88000	46812971	12786	14.53	5058459	10.81	1.3446	
-14200	-12200	-13200	88000	46812971	12041	13.68	5059204	10.81	1.2661	
-14000	-12000	-13000	88000	46812971	11232	12.76	5060013	10.81	1.1808	
-13800	-11800	-12800	88000	46812971	10398	11.82	5060847	10.81	1.0930	
-13600	-11600	-12600	88000	46812971	9869	11.21	5061376	10.81	1.0373	
-13400	-11400	-12400	88000	46812971	9764	11.10	5061481	10.81	1.0262	
-13200	-11200	-12200	88000	46812971	9931	11.29	5061314	10.81	1.0438	
-13000	-11000	-12000	87931	46813040	9881	11.24	5061364	10.81	1.0393	
-12800	-10800	-11800	87531	46813440	9873	11.28	5061372	10.81	1.0433	
-12600	-10600	-11600	87131	46813840	9980	11.45	5061265	10.81	1.0594	
-12400	-10400	-11400	86731	46814240	10136	11.69	5061109	10.81	1.0810	
-12200	-10200	-11200	86331	46814640	9983	11.56	5061262	10.81	1.0696	
-12000	-10000	-11000	86069	46814902	10158	11.80	5061087	10.81	1.0917	
-11800	-9800	-10800	86469	46814502	10262	11.87	5060983	10.81	1.0978	
-11600	-9600	-10600	86869	46814102	10215	11.76	5061030	10.81	1.0877	
-11400	-9400	-10400	87269	46813702	9935	11.38	5061310	10.81	1.0530	
-11200	-9200	-10200	87669	46813302	9709	11.07	5061536	10.81	1.0243	
-11000	-9000	-10000	88000	46812971	9607	10.92	5061638	10.81	1.0097	
-10800	-8800	-9800	88000	46812971	9415	10.70	5061830	10.81	0.9895	
-10600	-8600	-9600	88000	46812971	9362	10.64	5061883	10.81	0.9839	
-10400	-8400	-9400	88000	46812971	9701	11.02	5061544	10.81	1.0196	
-10200	-8200	-9200	88000	46812971	10284	11.69	5060961	10.81	1.0810	
-10000	-8000	-9000	88000	46812971	10841	12.32	5060404	10.81	1.1396	
-9800	-7800	-8800	88000	46812971	11474	13.04	5059771	10.81	1.2063	
-9600	-7600	-8600	88000	46812971	12375	14.06	5058870	10.81	1.3013	
-9400	-7400	-8400	88000	46812971	13114	14.90	5058131	10.80	1.3792	
-9200	-7200	-8200	88000	46812971	13624	15.48	5057621	10.80	1.4330	
-9000	-7000	-8000	88000	46812971	13918	15.82	5057327	10.80	1.4640	
-8800	-6800	-7800	88000	46812971	14252	16.20	5056993	10.80	1.4992	
-8600	-6600	-7600	88000	46812971	14206	16.14	5057039	10.80	1.4944	
-8400	-6400	-7400	87776	46813195	13552	15.44	5057693	10.80	1.4290	
-8200	-6200	-7200	87376	46813595	12739	14.58	5058506	10.81	1.3493	
-8000	-6000	-7000	86976	46813995	12051	13.86	5059194	10.81	1.2821	
-7800	-5800	-6800	86576	46814395	11412	13.18	5059833	10.81	1.2196	
-7600	-5600	-6600	86176	46814795	10511	12.20	5060734	10.81	1.1283	
-7400	-5400	-6400	86224	46814747	10220	11.85	5061025	10.81	1.0964	
-7200	-5200	-6200	86624	46814347	10441	12.05	5060804	10.81	1.1150	
-7000	-5000	-6000	87024	46813947	10723	12.32	5060522	10.81	1.1399	
-6800	-4800	-5800	87424	46813547	10790	12.34	5060455	10.81	1.1418	
-6600	-4600	-5600	87824	46813147	11246	12.81	5059999	10.81	1.1847	
-6400	-4400	-5400	88000	46812971	11424	12.98	5059821	10.81	1.2011	
-6200	-4200	-5200	88000	46812971	11702	13.30	5059543	10.81	1.2304	
-6000	-4000	-5000	88000	46812971	11694	13.29	5059551	10.81	1.2295	
-5800	-3800	-4800	88000	46812971	11403	12.96	5059842	10.81	1.1989	
-5600	-3600	-4600	88000	46812971	11082	12.59	5060163	10.81	1.1650	
-5400	-3400	-4400	88000	46812971	10682	12.14	5060563	10.81	1.1229	
-5200	-3200	-4200	88000	46812971	10282	11.68	5060963	10.81	1.0808	
-5000	-3000	-4000	88000	46812971	9741	11.07	5061504	10.81	1.0238	
