Run	Copy_number	Feature	Average_distance_to_nearest_feature	Standard_deviation	#_of_times_shuffled_average_was_below_real_average
0	3x	satellite	356.4	449.5	.
1	3x	satellite	736.8	2399.6	0
2	3x	satellite	290.0	349.5	1
3	3x	satellite	226.0	245.8	2
4	3x	satellite	488.8	1438.2	2
5	3x	satellite	667.8	2365.9	2
6	3x	satellite	257.7	246.5	3
7	3x	satellite	214.7	214.7	4
8	3x	satellite	274.8	283.3	5
9	3x	satellite	270.3	294.1	6
10	3x	satellite	344.4	391.1	7
11	3x	satellite	370.0	340.9	7
12	3x	satellite	288.9	345.9	8
13	3x	satellite	436.9	429.3	8
14	3x	satellite	242.1	298.7	9
15	3x	satellite	343.6	400.8	10
16	3x	satellite	176.6	189.3	11
17	3x	satellite	253.8	292.5	12
18	3x	satellite	321.7	358.3	13
19	3x	satellite	360.0	465.6	13
20	3x	satellite	231.2	258.2	14
21	3x	satellite	285.0	338.9	15
22	3x	satellite	645.0	2519.6	15
23	3x	satellite	846.9	2368.9	15
24	3x	satellite	315.7	345.9	16
25	3x	satellite	498.8	870.8	16
26	3x	satellite	334.0	405.5	17
27	3x	satellite	606.1	1999.0	17
28	3x	satellite	363.1	339.8	17
29	3x	satellite	388.9	459.2	17
30	3x	satellite	415.4	541.7	17
31	3x	satellite	375.3	450.9	17
32	3x	satellite	284.6	362.1	18
33	3x	satellite	386.4	378.2	18
34	3x	satellite	304.1	302.8	19
35	3x	satellite	332.9	306.8	20
36	3x	satellite	521.3	1131.7	20
37	3x	satellite	284.8	326.9	21
38	3x	satellite	326.5	497.8	22
39	3x	satellite	248.4	285.7	23
40	3x	satellite	282.2	337.9	24
41	3x	satellite	351.5	366.7	25
42	3x	satellite	314.9	296.5	26
43	3x	satellite	229.6	222.5	27
44	3x	satellite	353.3	424.7	28
45	3x	satellite	246.9	347.6	29
46	3x	satellite	252.8	234.1	30
47	3x	satellite	364.9	449.4	30
48	3x	satellite	776.7	2781.6	30
49	3x	satellite	365.9	823.7	30
50	3x	satellite	735.0	2014.1	30
51	3x	satellite	353.3	321.6	31
52	3x	satellite	255.6	254.7	32
53	3x	satellite	264.8	256.4	33
54	3x	satellite	427.3	463.4	33
55	3x	satellite	260.4	281.6	34
56	3x	satellite	250.0	273.6	35
57	3x	satellite	407.6	430.1	35
58	3x	satellite	337.3	402.4	36
59	3x	satellite	300.9	470.1	37
60	3x	satellite	374.1	416.8	37
61	3x	satellite	546.3	1928.5	37
62	3x	satellite	251.4	284.0	38
63	3x	satellite	409.2	586.5	38
64	3x	satellite	496.9	1091.6	38
65	3x	satellite	443.8	1306.6	38
66	3x	satellite	308.4	394.8	39
67	3x	satellite	330.8	447.0	40
68	3x	satellite	263.6	321.9	41
69	3x	satellite	298.6	394.9	42
70	3x	satellite	259.6	271.6	43
71	3x	satellite	267.8	324.2	44
72	3x	satellite	287.5	384.7	45
73	3x	satellite	267.1	312.7	46
74	3x	satellite	707.1	2651.7	46
75	3x	satellite	1163.4	3943.9	46
76	3x	satellite	430.4	463.3	46
77	3x	satellite	346.5	737.1	47
78	3x	satellite	372.2	393.0	47
79	3x	satellite	317.6	343.0	48
80	3x	satellite	289.3	349.2	49
81	3x	satellite	267.7	293.1	50
82	3x	satellite	343.3	363.0	51
83	3x	satellite	346.0	387.4	52
84	3x	satellite	378.4	373.3	52
85	3x	satellite	290.3	371.1	53
86	3x	satellite	348.3	370.5	54
87	3x	satellite	264.4	263.6	55
88	3x	satellite	291.3	269.2	56
89	3x	satellite	331.6	397.7	57
90	3x	satellite	360.1	335.0	57
91	3x	satellite	435.6	498.6	57
92	3x	satellite	408.5	421.1	57
93	3x	satellite	557.5	2273.1	57
94	3x	satellite	289.8	263.4	58
95	3x	satellite	246.8	233.3	59
96	3x	satellite	315.3	417.2	60
97	3x	satellite	313.4	356.8	61
98	3x	satellite	279.1	447.0	62
99	3x	satellite	372.2	510.9	62
100	3x	satellite	264.8	245.6	63
101	3x	satellite	282.2	329.6	64
102	3x	satellite	251.5	334.2	65
103	3x	satellite	279.0	379.4	66
104	3x	satellite	289.8	370.4	67
105	3x	satellite	310.6	350.3	68
106	3x	satellite	382.3	354.3	68
107	3x	satellite	392.2	1324.7	68
108	3x	satellite	336.8	381.4	69
109	3x	satellite	266.9	302.6	70
110	3x	satellite	339.7	346.8	71
111	3x	satellite	306.6	399.9	72
112	3x	satellite	239.9	298.9	73
113	3x	satellite	500.9	1650.2	73
114	3x	satellite	216.0	266.3	74
115	3x	satellite	319.5	358.3	75
116	3x	satellite	767.3	2150.4	75
117	3x	satellite	228.1	269.0	76
118	3x	satellite	300.6	284.8	77
119	3x	satellite	374.5	379.3	77
120	3x	satellite	670.8	2425.7	77
121	3x	satellite	294.3	314.2	78
122	3x	satellite	263.6	267.3	79
123	3x	satellite	294.7	330.9	80
124	3x	satellite	470.3	727.5	80
125	3x	satellite	340.7	556.9	81
126	3x	satellite	306.9	352.4	82
127	3x	satellite	345.2	430.4	83
128	3x	satellite	331.8	321.2	84
129	3x	satellite	322.6	363.5	85
130	3x	satellite	256.1	441.3	86
131	3x	satellite	322.6	420.9	87
132	3x	satellite	857.8	2712.6	87
133	3x	satellite	272.9	311.9	88
134	3x	satellite	423.7	553.7	88
135	3x	satellite	352.9	468.6	89
136	3x	satellite	252.2	331.0	90
137	3x	satellite	223.3	233.0	91
138	3x	satellite	737.8	1696.9	91
139	3x	satellite	209.8	235.1	92
140	3x	satellite	318.0	328.7	93
141	3x	satellite	310.5	379.0	94
142	3x	satellite	741.6	2852.0	94
143	3x	satellite	534.5	1944.4	94
144	3x	satellite	284.3	295.6	95
145	3x	satellite	268.6	367.7	96
146	3x	satellite	725.0	2471.6	96
147	3x	satellite	392.8	423.1	96
148	3x	satellite	444.1	596.9	96
149	3x	satellite	279.4	289.8	97
150	3x	satellite	275.9	258.2	98
151	3x	satellite	789.1	1749.8	98
152	3x	satellite	643.5	2659.8	98
153	3x	satellite	468.4	1836.7	98
154	3x	satellite	184.4	195.5	99
155	3x	satellite	489.7	1208.2	99
156	3x	satellite	337.7	369.6	100
157	3x	satellite	312.6	280.0	101
158	3x	satellite	308.6	336.8	102
159	3x	satellite	366.4	473.6	102
160	3x	satellite	294.8	331.1	103
161	3x	satellite	409.6	757.6	103
162	3x	satellite	384.2	431.0	103
163	3x	satellite	279.7	271.0	104
164	3x	satellite	589.3	1946.8	104
165	3x	satellite	493.9	1043.1	104
166	3x	satellite	353.5	415.7	105
167	3x	satellite	293.6	313.6	106
168	3x	satellite	307.4	332.6	107
169	3x	satellite	284.8	330.4	108
170	3x	satellite	382.8	320.1	108
171	3x	satellite	696.8	2883.4	108
172	3x	satellite	264.0	332.8	109
173	3x	satellite	297.8	319.1	110
174	3x	satellite	361.4	524.6	110
175	3x	satellite	770.5	2479.7	110
176	3x	satellite	523.5	1536.7	110
177	3x	satellite	264.4	353.2	111
178	3x	satellite	560.6	1582.9	111
179	3x	satellite	561.8	1926.6	111
180	3x	satellite	473.5	1570.5	111
181	3x	satellite	276.0	375.5	112
182	3x	satellite	296.7	310.6	113
183	3x	satellite	567.0	1938.2	113
184	3x	satellite	322.7	342.6	114
185	3x	satellite	337.1	462.7	115
186	3x	satellite	456.5	675.0	115
187	3x	satellite	376.8	370.0	115
188	3x	satellite	387.3	483.2	115
189	3x	satellite	205.9	258.0	116
190	3x	satellite	352.5	405.8	117
191	3x	satellite	322.3	397.3	118
192	3x	satellite	245.9	289.5	119
193	3x	satellite	230.7	260.1	120
194	3x	satellite	256.7	306.6	121
195	3x	satellite	308.7	391.4	122
196	3x	satellite	329.0	297.4	123
197	3x	satellite	329.6	400.5	124
198	3x	satellite	296.0	361.2	125
199	3x	satellite	305.5	313.5	126
200	3x	satellite	347.2	424.6	127
201	3x	satellite	355.4	392.7	128
202	3x	satellite	311.7	405.5	129
203	3x	satellite	180.3	180.3	130
204	3x	satellite	520.8	1615.9	130
205	3x	satellite	266.4	312.4	131
206	3x	satellite	351.3	369.9	132
207	3x	satellite	580.2	1266.4	132
208	3x	satellite	327.8	433.6	133
209	3x	satellite	309.7	299.5	134
210	3x	satellite	334.6	415.7	135
211	3x	satellite	494.4	1723.1	135
212	3x	satellite	267.1	304.4	136
213	3x	satellite	352.4	714.9	137
214	3x	satellite	272.6	300.5	138
215	3x	satellite	279.7	360.4	139
216	3x	satellite	371.7	347.8	139
217	3x	satellite	222.4	290.9	140
218	3x	satellite	335.1	387.0	141
219	3x	satellite	285.4	332.3	142
220	3x	satellite	395.1	470.4	142
221	3x	satellite	342.3	762.7	143
222	3x	satellite	287.0	300.4	144
223	3x	satellite	270.9	287.3	145
224	3x	satellite	608.7	2464.6	145
225	3x	satellite	319.1	311.5	146
226	3x	satellite	336.1	419.0	147
227	3x	satellite	368.1	454.1	147
228	3x	satellite	505.8	1441.5	147
229	3x	satellite	435.1	571.7	147
230	3x	satellite	340.1	370.0	148
231	3x	satellite	300.4	323.1	149
232	3x	satellite	301.8	313.1	150
233	3x	satellite	341.4	432.3	151
234	3x	satellite	303.9	285.2	152
235	3x	satellite	316.3	345.2	153
236	3x	satellite	237.0	230.2	154
237	3x	satellite	361.3	428.9	154
238	3x	satellite	302.1	306.8	155
239	3x	satellite	214.8	227.2	156
240	3x	satellite	293.2	363.8	157
241	3x	satellite	232.4	303.4	158
242	3x	satellite	289.3	306.6	159
243	3x	satellite	526.1	1849.7	159
244	3x	satellite	424.8	597.1	159
245	3x	satellite	244.7	287.8	160
246	3x	satellite	278.7	371.3	161
247	3x	satellite	523.9	831.6	161
248	3x	satellite	312.3	352.5	162
249	3x	satellite	261.8	255.8	163
250	3x	satellite	288.8	284.5	164
251	3x	satellite	290.2	271.0	165
252	3x	satellite	325.5	453.2	166
253	3x	satellite	318.1	347.4	167
254	3x	satellite	294.3	332.6	168
255	3x	satellite	300.3	404.6	169
256	3x	satellite	599.4	1641.9	169
257	3x	satellite	1100.2	3652.6	169
258	3x	satellite	280.1	305.5	170
259	3x	satellite	339.2	467.1	171
260	3x	satellite	355.9	520.9	172
261	3x	satellite	319.6	431.0	173
262	3x	satellite	320.4	435.0	174
263	3x	satellite	267.2	291.9	175
264	3x	satellite	630.0	2014.0	175
265	3x	satellite	351.5	428.9	176
266	3x	satellite	241.3	228.1	177
267	3x	satellite	220.7	236.9	178
268	3x	satellite	337.5	371.8	179
269	3x	satellite	356.7	383.1	179
270	3x	satellite	601.5	2135.8	179
271	3x	satellite	404.3	422.8	179
272	3x	satellite	342.3	368.5	180
273	3x	satellite	336.4	476.8	181
274	3x	satellite	276.1	271.3	182
275	3x	satellite	285.3	304.1	183
276	3x	satellite	207.6	265.9	184
277	3x	satellite	279.7	256.2	185
278	3x	satellite	282.7	340.7	186
279	3x	satellite	228.6	231.9	187
280	3x	satellite	322.8	293.2	188
281	3x	satellite	300.4	300.4	189
282	3x	satellite	351.5	408.2	190
283	3x	satellite	288.6	398.0	191
284	3x	satellite	1005.3	3410.3	191
285	3x	satellite	364.1	402.7	191
286	3x	satellite	311.5	303.8	192
287	3x	satellite	253.6	276.0	193
288	3x	satellite	418.1	1245.8	193
289	3x	satellite	374.9	503.5	193
290	3x	satellite	285.7	456.7	194
291	3x	satellite	408.8	486.9	194
292	3x	satellite	310.7	348.7	195
293	3x	satellite	336.5	337.5	196
294	3x	satellite	1202.7	4152.4	196
295	3x	satellite	385.5	431.9	196
296	3x	satellite	335.8	477.2	197
297	3x	satellite	483.7	1360.8	197
298	3x	satellite	605.3	1386.4	197
299	3x	satellite	269.2	268.4	198
300	3x	satellite	230.2	306.6	199
301	3x	satellite	261.2	296.5	200
302	3x	satellite	314.0	369.1	201
303	3x	satellite	251.7	293.9	202
304	3x	satellite	287.2	285.3	203
305	3x	satellite	314.6	294.2	204
306	3x	satellite	719.4	2970.8	204
307	3x	satellite	663.5	1971.3	204
308	3x	satellite	308.7	374.0	205
309	3x	satellite	285.0	318.3	206
310	3x	satellite	313.1	291.3	207
311	3x	satellite	249.4	278.7	208
312	3x	satellite	344.2	402.8	209
313	3x	satellite	232.7	280.0	210
314	3x	satellite	349.5	424.0	211
315	3x	satellite	639.9	1603.0	211
316	3x	satellite	335.4	410.6	212
317	3x	satellite	299.0	439.7	213
318	3x	satellite	271.3	300.1	214
319	3x	satellite	416.5	555.4	214
320	3x	satellite	279.0	403.4	215
321	3x	satellite	287.0	319.3	216
322	3x	satellite	233.7	303.3	217
323	3x	satellite	340.4	358.3	218
324	3x	satellite	271.0	248.3	219
325	3x	satellite	315.8	376.2	220
326	3x	satellite	288.4	334.0	221
327	3x	satellite	442.2	404.3	221
328	3x	satellite	280.4	323.9	222
329	3x	satellite	254.2	303.2	223
330	3x	satellite	297.6	412.2	224
331	3x	satellite	297.7	490.2	225
332	3x	satellite	288.4	275.3	226
333	3x	satellite	216.2	298.3	227
334	3x	satellite	259.2	312.6	228
335	3x	satellite	319.3	350.1	229
336	3x	satellite	303.5	335.8	230
337	3x	satellite	380.9	405.0	230
338	3x	satellite	332.0	383.2	231
339	3x	satellite	226.5	249.6	232
340	3x	satellite	1026.9	3573.4	232
341	3x	satellite	329.5	351.3	233
342	3x	satellite	422.1	376.5	233
343	3x	satellite	273.0	303.3	234
344	3x	satellite	290.5	267.0	235
345	3x	satellite	561.7	1886.9	235
346	3x	satellite	582.9	2199.9	235
347	3x	satellite	402.9	469.4	235
348	3x	satellite	245.4	237.1	236
349	3x	satellite	207.7	227.3	237
350	3x	satellite	270.2	376.4	238
351	3x	satellite	654.0	1981.7	238
352	3x	satellite	388.8	394.2	238
353	3x	satellite	325.8	397.8	239
354	3x	satellite	245.0	353.8	240
355	3x	satellite	238.5	260.6	241
356	3x	satellite	325.7	361.6	242
357	3x	satellite	245.6	262.1	243
358	3x	satellite	236.4	259.0	244
359	3x	satellite	221.0	211.8	245
360	3x	satellite	354.6	463.4	246
361	3x	satellite	790.3	2498.0	246
362	3x	satellite	378.0	469.6	246
363	3x	satellite	327.8	321.3	247
364	3x	satellite	264.3	244.1	248
365	3x	satellite	366.5	473.5	248
366	3x	satellite	260.2	322.6	249
367	3x	satellite	253.0	229.2	250
368	3x	satellite	325.8	345.3	251
369	3x	satellite	321.8	356.6	252
370	3x	satellite	487.4	1495.4	252
371	3x	satellite	391.9	393.1	252
372	3x	satellite	567.2	1189.5	252
373	3x	satellite	252.1	294.8	253
374	3x	satellite	161.1	162.9	254
375	3x	satellite	293.5	359.6	255
376	3x	satellite	231.0	302.9	256
377	3x	satellite	292.0	327.3	257
378	3x	satellite	360.1	398.1	257
379	3x	satellite	236.6	260.3	258
380	3x	satellite	283.6	305.6	259
381	3x	satellite	309.8	314.3	260
382	3x	satellite	353.6	529.7	261
383	3x	satellite	242.0	287.4	262
384	3x	satellite	281.5	297.0	263
385	3x	satellite	336.5	365.4	264
386	3x	satellite	264.5	256.5	265
387	3x	satellite	833.7	3005.2	265
388	3x	satellite	260.6	382.6	266
389	3x	satellite	291.8	310.7	267
390	3x	satellite	278.2	326.1	268
391	3x	satellite	512.0	1771.6	268
392	3x	satellite	256.5	289.3	269
393	3x	satellite	277.3	288.8	270
394	3x	satellite	248.7	262.0	271
395	3x	satellite	339.3	286.9	272
396	3x	satellite	275.6	373.9	273
397	3x	satellite	267.0	251.5	274
398	3x	satellite	356.1	482.6	275
399	3x	satellite	294.6	350.9	276
400	3x	satellite	616.1	2152.1	276
401	3x	satellite	328.1	422.3	277
402	3x	satellite	342.8	382.4	278
403	3x	satellite	298.8	420.3	279
404	3x	satellite	596.5	1989.2	279
