
Run	Copy_number	Feature	Average_distance_to_nearest_feature	Standard_deviation	#_of_times_shuffled_average_was_below_real_average
0	3x	open_chromatin_state_1	3058.0	3832.7	.
1	3x	open_chromatin_state_1	14805.7	41841.1	0
2	3x	open_chromatin_state_1	19668.6	66142.3	0
3	3x	open_chromatin_state_1	18699.2	85855.3	0
4	3x	open_chromatin_state_1	15461.9	74096.9	0
5	3x	open_chromatin_state_1	15322.8	76386.4	0
6	3x	open_chromatin_state_1	15192.7	57021.2	0
7	3x	open_chromatin_state_1	18051.9	95390.9	0
8	3x	open_chromatin_state_1	15361.4	55860.1	0
9	3x	open_chromatin_state_1	12600.9	35305.0	0
10	3x	open_chromatin_state_1	27093.2	85601.4	0
11	3x	open_chromatin_state_1	12980.3	52978.3	0
12	3x	open_chromatin_state_1	22828.5	88963.3	0
13	3x	open_chromatin_state_1	4332.8	5319.3	0
14	3x	open_chromatin_state_1	28499.1	99720.1	0
15	3x	open_chromatin_state_1	8303.7	18545.8	0
16	3x	open_chromatin_state_1	7021.6	14468.7	0
17	3x	open_chromatin_state_1	33451.9	122171.6	0
18	3x	open_chromatin_state_1	9730.8	20843.6	0
19	3x	open_chromatin_state_1	6656.0	23341.3	0
20	3x	open_chromatin_state_1	9217.7	22470.2	0
21	3x	open_chromatin_state_1	26443.8	106165.5	0
22	3x	open_chromatin_state_1	28500.9	98687.0	0
23	3x	open_chromatin_state_1	23228.4	80934.2	0
24	3x	open_chromatin_state_1	3394.7	4288.5	0
25	3x	open_chromatin_state_1	7093.6	11270.8	0
26	3x	open_chromatin_state_1	12397.6	35165.0	0
27	3x	open_chromatin_state_1	15063.7	49883.3	0
28	3x	open_chromatin_state_1	23094.2	92137.8	0
29	3x	open_chromatin_state_1	8666.6	42829.2	0
30	3x	open_chromatin_state_1	10066.8	34593.8	0
31	3x	open_chromatin_state_1	26167.5	70155.4	0
32	3x	open_chromatin_state_1	11040.8	40326.5	0
33	3x	open_chromatin_state_1	11763.6	55289.8	0
34	3x	open_chromatin_state_1	8945.7	15534.0	0
35	3x	open_chromatin_state_1	4263.1	4923.5	0
36	3x	open_chromatin_state_1	22205.9	64587.1	0
37	3x	open_chromatin_state_1	45122.4	125472.9	0
38	3x	open_chromatin_state_1	16709.3	90205.8	0
39	3x	open_chromatin_state_1	8724.2	17654.9	0
40	3x	open_chromatin_state_1	36002.9	110359.5	0
41	3x	open_chromatin_state_1	15328.0	78149.4	0
42	3x	open_chromatin_state_1	19659.5	79551.3	0
43	3x	open_chromatin_state_1	6499.1	9819.8	0
44	3x	open_chromatin_state_1	23654.7	80089.7	0
45	3x	open_chromatin_state_1	9903.5	38971.8	0
46	3x	open_chromatin_state_1	7652.7	14930.0	0
47	3x	open_chromatin_state_1	35037.9	126763.4	0
48	3x	open_chromatin_state_1	12613.1	46114.0	0
49	3x	open_chromatin_state_1	29360.1	116282.8	0
50	3x	open_chromatin_state_1	19247.5	55242.0	0
51	3x	open_chromatin_state_1	22319.1	88721.3	0
52	3x	open_chromatin_state_1	5040.0	12741.9	0
53	3x	open_chromatin_state_1	30126.8	103427.2	0
54	3x	open_chromatin_state_1	3455.8	6485.3	0
55	3x	open_chromatin_state_1	41407.7	134459.6	0
56	3x	open_chromatin_state_1	43417.0	119949.0	0
57	3x	open_chromatin_state_1	16973.1	81381.6	0
58	3x	open_chromatin_state_1	44372.6	131426.7	0
59	3x	open_chromatin_state_1	19510.6	79194.3	0
60	3x	open_chromatin_state_1	41661.0	130722.0	0
61	3x	open_chromatin_state_1	3856.7	5035.8	0
62	3x	open_chromatin_state_1	8062.4	18799.1	0
63	3x	open_chromatin_state_1	16375.8	56672.3	0
64	3x	open_chromatin_state_1	22165.0	71870.9	0
65	3x	open_chromatin_state_1	13892.6	52443.3	0
66	3x	open_chromatin_state_1	19816.3	68222.3	0
67	3x	open_chromatin_state_1	11062.6	37269.1	0
68	3x	open_chromatin_state_1	12420.1	30861.8	0
69	3x	open_chromatin_state_1	19098.3	95018.1	0
70	3x	open_chromatin_state_1	27119.4	94504.7	0
71	3x	open_chromatin_state_1	25225.5	90905.7	0
72	3x	open_chromatin_state_1	13797.8	58620.1	0
73	3x	open_chromatin_state_1	24260.6	93676.8	0
74	3x	open_chromatin_state_1	14773.4	42928.1	0
75	3x	open_chromatin_state_1	11104.9	31471.5	0
76	3x	open_chromatin_state_1	7714.2	14180.5	0
77	3x	open_chromatin_state_1	5851.0	8122.0	0
78	3x	open_chromatin_state_1	29335.9	89676.1	0
79	3x	open_chromatin_state_1	17977.9	94101.2	0
80	3x	open_chromatin_state_1	8436.9	32998.7	0
81	3x	open_chromatin_state_1	12614.3	40142.8	0
82	3x	open_chromatin_state_1	23233.5	74403.9	0
83	3x	open_chromatin_state_1	3787.9	5470.9	0
84	3x	open_chromatin_state_1	20958.0	76676.8	0
85	3x	open_chromatin_state_1	13532.4	69637.7	0
86	3x	open_chromatin_state_1	22749.6	93945.8	0
87	3x	open_chromatin_state_1	5456.9	11558.9	0
88	3x	open_chromatin_state_1	23456.2	80334.6	0
89	3x	open_chromatin_state_1	16123.8	60544.2	0
90	3x	open_chromatin_state_1	36204.7	113494.7	0
91	3x	open_chromatin_state_1	25960.5	107599.0	0
92	3x	open_chromatin_state_1	22604.3	86289.5	0
93	3x	open_chromatin_state_1	21602.9	99653.3	0
94	3x	open_chromatin_state_1	21825.5	79732.1	0
95	3x	open_chromatin_state_1	33761.2	118627.7	0
96	3x	open_chromatin_state_1	5885.1	7457.9	0
97	3x	open_chromatin_state_1	4407.5	7187.2	0
98	3x	open_chromatin_state_1	24894.4	100352.4	0
99	3x	open_chromatin_state_1	43313.6	121164.6	0
100	3x	open_chromatin_state_1	31923.8	119254.0	0
101	3x	open_chromatin_state_1	37929.7	122172.0	0
102	3x	open_chromatin_state_1	15774.1	51878.3	0
103	3x	open_chromatin_state_1	25253.4	97958.3	0
104	3x	open_chromatin_state_1	25463.0	82528.7	0
105	3x	open_chromatin_state_1	21687.4	65186.3	0
106	3x	open_chromatin_state_1	19845.3	76293.8	0
107	3x	open_chromatin_state_1	7452.7	14837.7	0
108	3x	open_chromatin_state_1	30582.0	95374.7	0
109	3x	open_chromatin_state_1	30983.9	108377.0	0
110	3x	open_chromatin_state_1	43053.1	119367.3	0
111	3x	open_chromatin_state_1	34059.6	113769.6	0
112	3x	open_chromatin_state_1	18368.5	85798.8	0
113	3x	open_chromatin_state_1	13300.6	49195.2	0
114	3x	open_chromatin_state_1	3478.3	4685.4	0
115	3x	open_chromatin_state_1	29967.6	109767.6	0
116	3x	open_chromatin_state_1	23527.3	82706.3	0
117	3x	open_chromatin_state_1	31619.9	102707.2	0
118	3x	open_chromatin_state_1	16767.8	60200.7	0
119	3x	open_chromatin_state_1	42107.8	134511.8	0
120	3x	open_chromatin_state_1	21635.0	101082.0	0
121	3x	open_chromatin_state_1	10434.1	36056.8	0
122	3x	open_chromatin_state_1	13104.2	34580.3	0
123	3x	open_chromatin_state_1	38497.4	121806.3	0
124	3x	open_chromatin_state_1	24529.4	101602.2	0
125	3x	open_chromatin_state_1	16549.7	48894.6	0
126	3x	open_chromatin_state_1	8071.3	19345.5	0
127	3x	open_chromatin_state_1	3765.5	5469.7	0
128	3x	open_chromatin_state_1	43363.5	132979.9	0
129	3x	open_chromatin_state_1	9507.2	17505.3	0
130	3x	open_chromatin_state_1	18189.7	55612.4	0
131	3x	open_chromatin_state_1	10534.2	21177.1	0
132	3x	open_chromatin_state_1	17278.2	87582.2	0
133	3x	open_chromatin_state_1	20552.6	80856.3	0
134	3x	open_chromatin_state_1	13455.8	41017.4	0
135	3x	open_chromatin_state_1	18506.0	93266.2	0
136	3x	open_chromatin_state_1	24087.3	96036.3	0
137	3x	open_chromatin_state_1	17837.3	56062.5	0
138	3x	open_chromatin_state_1	18516.4	63607.9	0
139	3x	open_chromatin_state_1	19818.2	90540.6	0
140	3x	open_chromatin_state_1	42880.3	127862.4	0
141	3x	open_chromatin_state_1	42726.8	137626.4	0
142	3x	open_chromatin_state_1	4755.0	10053.6	0
143	3x	open_chromatin_state_1	15598.9	52481.3	0
144	3x	open_chromatin_state_1	27432.7	101483.7	0
145	3x	open_chromatin_state_1	21661.6	66837.4	0
