Run	Copy_number	Feature	Average_distance_to_nearest_feature	Standard_deviation	#_of_times_shuffled_average_was_below_real_average
0	3x	open_chromatin_state_7	12624.1	14778.4	.
1	3x	open_chromatin_state_7	50370.8	140303.7	0
2	3x	open_chromatin_state_7	47364.6	131249.2	0
3	3x	open_chromatin_state_7	31632.4	134913.6	0
4	3x	open_chromatin_state_7	44123.8	108965.3	0
5	3x	open_chromatin_state_7	46971.8	170528.2	0
6	3x	open_chromatin_state_7	14844.9	26309.5	0
7	3x	open_chromatin_state_7	19979.0	44868.8	0
8	3x	open_chromatin_state_7	76427.6	173105.7	0
9	3x	open_chromatin_state_7	24181.8	61262.5	0
10	3x	open_chromatin_state_7	55029.0	153542.4	0
11	3x	open_chromatin_state_7	52252.0	159447.3	0
12	3x	open_chromatin_state_7	77498.1	193302.0	0
13	3x	open_chromatin_state_7	42910.3	151926.8	0
14	3x	open_chromatin_state_7	30166.2	84951.2	0
15	3x	open_chromatin_state_7	39265.7	118392.9	0
16	3x	open_chromatin_state_7	34521.0	114383.7	0
17	3x	open_chromatin_state_7	43433.7	156145.9	0
18	3x	open_chromatin_state_7	47333.9	152018.1	0
19	3x	open_chromatin_state_7	64165.9	164829.7	0
20	3x	open_chromatin_state_7	52758.6	142600.8	0
21	3x	open_chromatin_state_7	43293.1	136191.6	0
22	3x	open_chromatin_state_7	46256.3	152905.4	0
23	3x	open_chromatin_state_7	74493.6	194793.9	0
24	3x	open_chromatin_state_7	15875.6	43831.9	0
25	3x	open_chromatin_state_7	33380.9	124997.3	0
26	3x	open_chromatin_state_7	18272.6	37331.8	0
27	3x	open_chromatin_state_7	48349.7	160186.0	0
28	3x	open_chromatin_state_7	68263.0	166347.5	0
29	3x	open_chromatin_state_7	39513.2	144118.6	0
30	3x	open_chromatin_state_7	45510.5	136388.6	0
31	3x	open_chromatin_state_7	58780.4	162557.3	0
32	3x	open_chromatin_state_7	50121.3	158305.0	0
33	3x	open_chromatin_state_7	52352.1	158322.7	0
34	3x	open_chromatin_state_7	28122.4	122069.6	0
35	3x	open_chromatin_state_7	44020.5	138367.5	0
36	3x	open_chromatin_state_7	25584.4	79433.6	0
37	3x	open_chromatin_state_7	63813.8	205423.5	0
38	3x	open_chromatin_state_7	42499.8	139404.5	0
39	3x	open_chromatin_state_7	50551.2	179302.4	0
40	3x	open_chromatin_state_7	53878.0	170522.0	0
