Run	Real_ratio	Feature	Breakpoint_region_bp	Non_breakpoint_region_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Shuffled_ratio	Above	Same	Below
0	1.1875	CDS	712076	29647395	246139	34.57	8630195	29.11	1.1875	0	0	0	
0	1.1112	DNAseI_hypersensitive_site	712076	29647395	103391	14.52	3873935	13.07	1.1112	0	0	0	
0	2.0184	DNA_replication_origin	712076	29647395	49030	6.89	1011360	3.41	2.0184	0	0	0	
0	1.1144	exon	712076	29647395	328589	46.15	12276294	41.41	1.1144	0	0	0	
0	1.2447	five_prime_UTR	712076	29647395	24649	3.46	824478	2.78	1.2447	0	0	0	
0	1.1632	gene	712076	29647395	434957	61.08	15568812	52.51	1.1632	0	0	0	
0	1.1222	mRNA	712076	29647395	461376	64.79	17117049	57.74	1.1222	0	0	0	
0	1.4204	miRNA	712076	29647395	308	0.04	9028	0.03	1.4204	0	0	0	
0	0.4984	ncRNA	712076	29647395	2173	0.31	181523	0.61	0.4984	0	0	0	
0	1.1703	protein	712076	29647395	371829	52.22	13227950	44.62	1.1703	0	0	0	
0	0.8143	pseudogene	712076	29647395	4326	0.61	221177	0.75	0.8143	0	0	0	
0	0.6716	pseudogenic_exon	712076	29647395	3294	0.46	204193	0.69	0.6716	0	0	0	
0	0.8143	pseudogenic_transcript	712076	29647395	4326	0.61	221177	0.75	0.8143	0	0	0	
0	0.7473	satellite	712076	29647395	33569	4.71	1870353	6.31	0.7473	0	0	0	
0	0.0000	snoRNA	712076	29647395	0	0.00	2174	0.01	0.0000	0	0	0	
0	0.1963	tRNA	712076	29647395	72	0.01	15268	0.05	0.1963	0	0	0	
0	1.1320	three_prime_UTR	712076	29647395	34880	4.90	1282864	4.33	1.1320	0	0	0	
0	0.5945	transposable_element	712076	29647395	71388	10.03	4999857	16.86	0.5945	0	0	0	
0	0.6963	transposable_element_gene	712076	29647395	27936	3.92	1670474	5.63	0.6963	0	0	0	
0	0.6002	transposon_fragment	712076	29647395	70232	9.86	4872145	16.43	0.6002	0	0	0	
0	1.1426	open_chromatin_state_1	712076	29647395	92087	12.93	3355513	11.32	1.1426	0	0	0	
0	1.3460	open_chromatin_state_2	712076	29647395	96901	13.61	2997413	10.11	1.3460	0	0	0	
0	1.3854	open_chromatin_state_3	712076	29647395	100482	14.11	3019668	10.19	1.3854	0	0	0	
0	0.9294	open_chromatin_state_4	712076	29647395	104070	14.62	4661880	15.72	0.9294	0	0	0	
0	1.0310	open_chromatin_state_5	712076	29647395	106770	14.99	4311630	14.54	1.0310	0	0	0	
0	0.9789	open_chromatin_state_6	712076	29647395	75974	10.67	3231376	10.90	0.9789	0	0	0	
0	1.0785	open_chromatin_state_7	712076	29647395	78979	11.09	3048971	10.28	1.0785	0	0	0	
0	0.5491	open_chromatin_state_8	712076	29647395	31247	4.39	2369203	7.99	0.5491	0	0	0	
0	0.4014	open_chromatin_state_9	712076	29647395	25566	3.59	2651634	8.94	0.4014	0	0	0	
1	1.1875	CDS	864829	29494642	242926	28.09	8633408	29.27	0.9596	0	0	1	*****
1	1.1112	DNAseI_hypersensitive_site	864829	29494642	122885	14.21	3854441	13.07	1.0873	0	0	1	*****
1	2.0184	DNA_replication_origin	864829	29494642	36047	4.17	1024343	3.47	1.2002	0	0	1	*****
1	1.1144	exon	864829	29494642	359564	41.58	12245319	41.52	1.0014	0	0	1	*****
1	1.2447	five_prime_UTR	864829	29494642	27487	3.18	821640	2.79	1.1409	0	0	1	*****
1	1.1632	gene	864829	29494642	461333	53.34	15542436	52.70	1.0123	0	0	1	*****
1	1.1222	mRNA	864829	29494642	518366	59.94	17060059	57.84	1.0363	0	0	1	*****
