Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-50000	-48000	-49000	86384	30275087	44432	51.44	17533993	57.92	0.8881	
-49800	-47800	-48800	86384	30275087	45333	52.48	17533092	57.91	0.9062	
-49600	-47600	-48600	86384	30275087	45961	53.21	17532464	57.91	0.9188	
-49400	-47400	-48400	86384	30275087	46228	53.51	17532197	57.91	0.9241	
-49200	-47200	-48200	86384	30275087	46517	53.85	17531908	57.91	0.9299	
-49000	-47000	-48000	86384	30275087	46229	53.52	17532196	57.91	0.9241	
-48800	-46800	-47800	86384	30275087	45744	52.95	17532681	57.91	0.9144	
-48600	-46600	-47600	86384	30275087	44912	51.99	17533513	57.91	0.8977	
-48400	-46400	-47400	86384	30275087	44209	51.18	17534216	57.92	0.8836	
-48200	-46200	-47200	86384	30275087	43854	50.77	17534571	57.92	0.8765	
-48000	-46000	-47000	86384	30275087	44285	51.27	17534140	57.92	0.8852	
-47800	-45800	-46800	86384	30275087	45219	52.35	17533206	57.91	0.9039	
-47600	-45600	-46600	86384	30275087	46074	53.34	17532351	57.91	0.9210	
-47400	-45400	-46400	86384	30275087	46689	54.05	17531736	57.91	0.9333	
-47200	-45200	-46200	86384	30275087	47084	54.51	17531341	57.91	0.9413	
-47000	-45000	-46000	86384	30275087	47528	55.02	17530897	57.91	0.9502	
-46800	-44800	-45800	86384	30275087	47922	55.48	17530503	57.90	0.9581	
-46600	-44600	-45600	86384	30275087	47945	55.50	17530480	57.90	0.9585	
-46400	-44400	-45400	86384	30275087	47611	55.12	17530814	57.91	0.9518	
-46200	-44200	-45200	86384	30275087	47389	54.86	17531036	57.91	0.9474	
-46000	-44000	-45000	86384	30275087	47139	54.57	17531286	57.91	0.9424	
-45800	-43800	-44800	86384	30275087	46774	54.15	17531651	57.91	0.9350	
-45600	-43600	-44600	86384	30275087	46607	53.95	17531818	57.91	0.9317	
-45400	-43400	-44400	86384	30275087	47031	54.44	17531394	57.91	0.9402	
-45200	-43200	-44200	86384	30275087	48021	55.59	17530404	57.90	0.9600	
-45000	-43000	-44000	86384	30275087	49083	56.82	17529342	57.90	0.9813	
-44800	-42800	-43800	86384	30275087	49815	57.67	17528610	57.90	0.9960	
-44600	-42600	-43600	86384	30275087	50666	58.65	17527759	57.89	1.0131	
-44400	-42400	-43400	86384	30275087	51295	59.38	17527130	57.89	1.0257	
-44200	-42200	-43200	86384	30275087	51814	59.98	17526611	57.89	1.0361	
-44000	-42000	-43000	86384	30275087	52143	60.36	17526282	57.89	1.0427	
-43800	-41800	-42800	86384	30275087	51876	60.05	17526549	57.89	1.0373	
-43600	-41600	-42600	86384	30275087	51180	59.25	17527245	57.89	1.0234	
-43400	-41400	-42400	86384	30275087	50352	58.29	17528073	57.90	1.0068	
-43200	-41200	-42200	86384	30275087	49049	56.78	17529376	57.90	0.9807	
-43000	-41000	-42000	86384	30275087	48217	55.82	17530208	57.90	0.9640	
-42800	-40800	-41800	86384	30275087	47716	55.24	17530709	57.90	0.9539	
