Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-50000	-48000	-49000	86384	30275087	134	0.16	225369	0.74	0.2084	
-49800	-47800	-48800	86384	30275087	134	0.16	225369	0.74	0.2084	
-49600	-47600	-48600	86384	30275087	117	0.14	225386	0.74	0.1819	
-49400	-47400	-48400	86384	30275087	0	0.00	225503	0.74	0.0000	
-49200	-47200	-48200	86384	30275087	0	0.00	225503	0.74	0.0000	
-49000	-47000	-48000	86384	30275087	0	0.00	225503	0.74	0.0000	
-48800	-46800	-47800	86384	30275087	53	0.06	225450	0.74	0.0824	
-48600	-46600	-47600	86384	30275087	253	0.29	225250	0.74	0.3936	
-48400	-46400	-47400	86384	30275087	453	0.52	225050	0.74	0.7055	
-48200	-46200	-47200	86384	30275087	653	0.76	224850	0.74	1.0178	
-48000	-46000	-47000	86384	30275087	853	0.99	224650	0.74	1.3307	
-47800	-45800	-46800	86384	30275087	1080	1.25	224423	0.74	1.6866	
-47600	-45600	-46600	86384	30275087	1149	1.33	224354	0.74	1.7949	
-47400	-45400	-46400	86384	30275087	1149	1.33	224354	0.74	1.7949	
-47200	-45200	-46200	86384	30275087	1149	1.33	224354	0.74	1.7949	
-47000	-45000	-46000	86384	30275087	1149	1.33	224354	0.74	1.7949	
-46800	-44800	-45800	86384	30275087	1096	1.27	224407	0.74	1.7117	
-46600	-44600	-45600	86384	30275087	896	1.04	224607	0.74	1.3981	
-46400	-44400	-45400	86384	30275087	696	0.81	224807	0.74	1.0851	
-46200	-44200	-45200	86384	30275087	496	0.57	225007	0.74	0.7726	
-46000	-44000	-45000	86384	30275087	296	0.34	225207	0.74	0.4606	
-45800	-43800	-44800	86384	30275087	69	0.08	225434	0.74	0.1073	
-45600	-43600	-44600	86384	30275087	0	0.00	225503	0.74	0.0000	
-45400	-43400	-44400	86384	30275087	92	0.11	225411	0.74	0.1430	
-45200	-43200	-44200	86384	30275087	258	0.30	225245	0.74	0.4014	
-45000	-43000	-44000	86384	30275087	258	0.30	225245	0.74	0.4014	
-44800	-42800	-43800	86384	30275087	258	0.30	225245	0.74	0.4014	
-44600	-42600	-43600	86384	30275087	258	0.30	225245	0.74	0.4014	
-44400	-42400	-43400	86384	30275087	258	0.30	225245	0.74	0.4014	
-44200	-42200	-43200	86384	30275087	258	0.30	225245	0.74	0.4014	
-44000	-42000	-43000	86384	30275087	258	0.30	225245	0.74	0.4014	
-43800	-41800	-42800	86384	30275087	258	0.30	225245	0.74	0.4014	
-43600	-41600	-42600	86384	30275087	258	0.30	225245	0.74	0.4014	
-43400	-41400	-42400	86384	30275087	166	0.19	225337	0.74	0.2582	
-43200	-41200	-42200	86384	30275087	0	0.00	225503	0.74	0.0000	
-43000	-41000	-42000	86384	30275087	0	0.00	225503	0.74	0.0000	
-42800	-40800	-41800	86384	30275087	0	0.00	225503	0.74	0.0000	
-42600	-40600	-41600	86384	30275087	0	0.00	225503	0.74	0.0000	
-42400	-40400	-41400	86384	30275087	68	0.08	225435	0.74	0.1057	
-42200	-40200	-41200	86384	30275087	268	0.31	225235	0.74	0.4170	
-42000	-40000	-41000	86384	30275087	468	0.54	225035	0.74	0.7289	
-41800	-39800	-40800	86384	30275087	668	0.77	224835	0.74	1.0413	
-41600	-39600	-40600	86384	30275087	684	0.79	224819	0.74	1.0663	
-41400	-39400	-40400	86384	30275087	684	0.79	224819	0.74	1.0663	
-41200	-39200	-40200	86384	30275087	684	0.79	224819	0.74	1.0663	
-41000	-39000	-40000	86384	30275087	684	0.79	224819	0.74	1.0663	
-40800	-38800	-39800	86384	30275087	684	0.79	224819	0.74	1.0663	
-40600	-38600	-39600	86384	30275087	684	0.79	224819	0.74	1.0663	
-40400	-38400	-39400	86384	30275087	616	0.71	224887	0.74	0.9600	
-40200	-38200	-39200	86384	30275087	416	0.48	225087	0.74	0.6477	
-40000	-38000	-39000	86384	30275087	216	0.25	225287	0.74	0.3360	
-39800	-37800	-38800	86384	30275087	16	0.02	225487	0.74	0.0249	
-39600	-37600	-38600	86384	30275087	0	0.00	225503	0.74	0.0000	
-39400	-37400	-38400	86384	30275087	0	0.00	225503	0.74	0.0000	
-39200	-37200	-38200	86384	30275087	0	0.00	225503	0.74	0.0000	
-39000	-37000	-38000	86384	30275087	0	0.00	225503	0.74	0.0000	
-38800	-36800	-37800	86384	30275087	0	0.00	225503	0.74	0.0000	
-38600	-36600	-37600	86384	30275087	0	0.00	225503	0.74	0.0000	
-38400	-36400	-37400	86384	30275087	153	0.18	225350	0.74	0.2380	
-38200	-36200	-37200	86384	30275087	353	0.41	225150	0.74	0.5495	
-38000	-36000	-37000	86384	30275087	553	0.64	224950	0.74	0.8616	
-37800	-35800	-36800	86384	30275087	753	0.87	224750	0.74	1.1742	
-37600	-35600	-36600	86384	30275087	953	1.10	224550	0.74	1.4874	
-37400	-35400	-36400	86384	30275087	1153	1.33	224350	0.74	1.8012	
-37200	-35200	-36200	86384	30275087	1353	1.57	224150	0.74	2.1155	
-37000	-35000	-36000	86384	30275087	1553	1.80	223950	0.74	2.4304	
-36800	-34800	-35800	86384	30275087	1753	2.03	223750	0.74	2.7458	
-36600	-34600	-35600	86384	30275087	1835	2.12	223668	0.74	2.8753	
-36400	-34400	-35400	86384	30275087	1682	1.95	223821	0.74	2.6338	
-36200	-34200	-35200	86384	30275087	1482	1.72	224021	0.74	2.3185	
-36000	-34000	-35000	86384	30275087	1282	1.48	224221	0.74	2.0038	
-35800	-33800	-34800	86384	30275087	1082	1.25	224421	0.74	1.6897	
-35600	-33600	-34600	86384	30275087	882	1.02	224621	0.74	1.3762	
-35400	-33400	-34400	86384	30275087	682	0.79	224821	0.74	1.0632	
-35200	-33200	-34200	86384	30275087	482	0.56	225021	0.74	0.7507	
-35000	-33000	-34000	86384	30275087	282	0.33	225221	0.74	0.4388	
-34800	-32800	-33800	86384	30275087	82	0.09	225421	0.74	0.1275	
-34600	-32600	-33600	86384	30275087	0	0.00	225503	0.74	0.0000	
-34400	-32400	-33400	86384	30275087	0	0.00	225503	0.74	0.0000	
