Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-50000	-48000	-49000	86384	30275087	3474	4.02	1900448	6.28	0.6407	
-49800	-47800	-48800	86384	30275087	3495	4.05	1900427	6.28	0.6445	
-49600	-47600	-48600	86384	30275087	3358	3.89	1900564	6.28	0.6192	
-49400	-47400	-48400	86384	30275087	3304	3.82	1900618	6.28	0.6093	
-49200	-47200	-48200	86384	30275087	3470	4.02	1900452	6.28	0.6399	
-49000	-47000	-48000	86384	30275087	3575	4.14	1900347	6.28	0.6593	
-48800	-46800	-47800	86384	30275087	3704	4.29	1900218	6.28	0.6832	
-48600	-46600	-47600	86384	30275087	3689	4.27	1900233	6.28	0.6804	
-48400	-46400	-47400	86384	30275087	4068	4.71	1899854	6.28	0.7504	
-48200	-46200	-47200	86384	30275087	4264	4.94	1899658	6.27	0.7867	
-48000	-46000	-47000	86384	30275087	4307	4.99	1899615	6.27	0.7946	
-47800	-45800	-46800	86384	30275087	4287	4.96	1899635	6.27	0.7909	
-47600	-45600	-46600	86384	30275087	4276	4.95	1899646	6.27	0.7889	
-47400	-45400	-46400	86384	30275087	4267	4.94	1899655	6.27	0.7872	
-47200	-45200	-46200	86384	30275087	4257	4.93	1899665	6.27	0.7854	
-47000	-45000	-46000	86384	30275087	4218	4.88	1899704	6.27	0.7782	
-46800	-44800	-45800	86384	30275087	4085	4.73	1899837	6.28	0.7536	
-46600	-44600	-45600	86384	30275087	3813	4.41	1900109	6.28	0.7033	
-46400	-44400	-45400	86384	30275087	3778	4.37	1900144	6.28	0.6968	
-46200	-44200	-45200	86384	30275087	3447	3.99	1900475	6.28	0.6357	
-46000	-44000	-45000	86384	30275087	3346	3.87	1900576	6.28	0.6170	
-45800	-43800	-44800	86384	30275087	3491	4.04	1900431	6.28	0.6438	
-45600	-43600	-44600	86384	30275087	3654	4.23	1900268	6.28	0.6739	
-45400	-43400	-44400	86384	30275087	3709	4.29	1900213	6.28	0.6841	
-45200	-43200	-44200	86384	30275087	3668	4.25	1900254	6.28	0.6765	
-45000	-43000	-44000	86384	30275087	3628	4.20	1900294	6.28	0.6691	
-44800	-42800	-43800	86384	30275087	3988	4.62	1899934	6.28	0.7356	
-44600	-42600	-43600	86384	30275087	4248	4.92	1899674	6.27	0.7837	
-44400	-42400	-43400	86384	30275087	4242	4.91	1899680	6.27	0.7826	
-44200	-42200	-43200	86384	30275087	4253	4.92	1899669	6.27	0.7846	
-44000	-42000	-43000	86384	30275087	4173	4.83	1899749	6.27	0.7698	
-43800	-41800	-42800	86384	30275087	4248	4.92	1899674	6.27	0.7837	
-43600	-41600	-42600	86384	30275087	4428	5.13	1899494	6.27	0.8170	
-43400	-41400	-42400	86384	30275087	4603	5.33	1899319	6.27	0.8494	
-43200	-41200	-42200	86384	30275087	4918	5.69	1899004	6.27	0.9076	
-43000	-41000	-42000	86384	30275087	5159	5.97	1898763	6.27	0.9522	
-42800	-40800	-41800	86384	30275087	4960	5.74	1898962	6.27	0.9154	
-42600	-40600	-41600	86384	30275087	4944	5.72	1898978	6.27	0.9125	
-42400	-40400	-41400	86384	30275087	4723	5.47	1899199	6.27	0.8716	
-42200	-40200	-41200	86384	30275087	4700	5.44	1899222	6.27	0.8673	
-42000	-40000	-41000	86384	30275087	4913	5.69	1899009	6.27	0.9067	
-41800	-39800	-40800	86384	30275087	4749	5.50	1899173	6.27	0.8764	
-41600	-39600	-40600	86384	30275087	4521	5.23	1899401	6.27	0.8342	
-41400	-39400	-40400	86384	30275087	4383	5.07	1899539	6.27	0.8087	
-41200	-39200	-40200	86384	30275087	4047	4.68	1899875	6.28	0.7466	
-41000	-39000	-40000	86384	30275087	3820	4.42	1900102	6.28	0.7046	
-40800	-38800	-39800	86384	30275087	3981	4.61	1899941	6.28	0.7344	
-40600	-38600	-39600	86384	30275087	4129	4.78	1899793	6.28	0.7617	
-40400	-38400	-39400	86384	30275087	4282	4.96	1899640	6.27	0.7900	
-40200	-38200	-39200	86384	30275087	4566	5.29	1899356	6.27	0.8425	
-40000	-38000	-39000	86384	30275087	4623	5.35	1899299	6.27	0.8531	
-39800	-37800	-38800	86384	30275087	4760	5.51	1899162	6.27	0.8784	
-39600	-37600	-38600	86384	30275087	4854	5.62	1899068	6.27	0.8958	
-39400	-37400	-38400	86384	30275087	4945	5.72	1898977	6.27	0.9126	
-39200	-37200	-38200	86384	30275087	5071	5.87	1898851	6.27	0.9360	
-39000	-37000	-38000	86384	30275087	5181	6.00	1898741	6.27	0.9563	
-38800	-36800	-37800	86384	30275087	5204	6.02	1898718	6.27	0.9606	
-38600	-36600	-37600	86384	30275087	5166	5.98	1898756	6.27	0.9535	
-38400	-36400	-37400	86384	30275087	5174	5.99	1898748	6.27	0.9550	
-38200	-36200	-37200	86384	30275087	5113	5.92	1898809	6.27	0.9437	
-38000	-36000	-37000	86384	30275087	4990	5.78	1898932	6.27	0.9210	
-37800	-35800	-36800	86384	30275087	5069	5.87	1898853	6.27	0.9356	
-37600	-35600	-36600	86384	30275087	5031	5.82	1898891	6.27	0.9286	
-37400	-35400	-36400	86384	30275087	5285	6.12	1898637	6.27	0.9756	
-37200	-35200	-36200	86384	30275087	5585	6.47	1898337	6.27	1.0311	
-37000	-35000	-36000	86384	30275087	5519	6.39	1898403	6.27	1.0189	
-36800	-34800	-35800	86384	30275087	5381	6.23	1898541	6.27	0.9933	
-36600	-34600	-35600	86384	30275087	5294	6.13	1898628	6.27	0.9772	
-36400	-34400	-35400	86384	30275087	5397	6.25	1898525	6.27	0.9963	
-36200	-34200	-35200	86384	30275087	5704	6.60	1898218	6.27	1.0531	
-36000	-34000	-35000	86384	30275087	6215	7.19	1897707	6.27	1.1478	
-35800	-33800	-34800	86384	30275087	6255	7.24	1897667	6.27	1.1552	
-35600	-33600	-34600	86384	30275087	6452	7.47	1897470	6.27	1.1917	
-35400	-33400	-34400	86384	30275087	6173	7.15	1897749	6.27	1.1400	
-35200	-33200	-34200	86384	30275087	5934	6.87	1897988	6.27	1.0957	
-35000	-33000	-34000	86384	30275087	5908	6.84	1898014	6.27	1.0909	
-34800	-32800	-33800	86384	30275087	5714	6.61	1898208	6.27	1.0550	
-34600	-32600	-33600	86384	30275087	5562	6.44	1898360	6.27	1.0268	
-34400	-32400	-33400	86384	30275087	5278	6.11	1898644	6.27	0.9743	
-34200	-32200	-33200	86384	30275087	4946	5.73	1898976	6.27	0.9128	
-34000	-32000	-33000	86384	30275087	4495	5.20	1899427	6.27	0.8294	
-33800	-31800	-32800	86384	30275087	4300	4.98	1899622	6.27	0.7933	
-33600	-31600	-32600	86384	30275087	4186	4.85	1899736	6.27	0.7723	
-33400	-31400	-32400	86384	30275087	4282	4.96	1899640	6.27	0.7900	
-33200	-31200	-32200	86384	30275087	4433	5.13	1899489	6.27	0.8179	
-33000	-31000	-32000	86384	30275087	4566	5.29	1899356	6.27	0.8425	
-32800	-30800	-31800	86384	30275087	4556	5.27	1899366	6.27	0.8407	
