Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-50000	-49500	-49750	21884	30338087	1821	8.32	3305529	10.90	0.7637	
-49950	-49450	-49700	21884	30338087	1812	8.28	3305538	10.90	0.7599	
-49900	-49400	-49650	21884	30338087	1850	8.45	3305500	10.90	0.7759	
-49850	-49350	-49600	21884	30338087	1869	8.54	3305481	10.90	0.7839	
-49800	-49300	-49550	21884	30338087	1869	8.54	3305481	10.90	0.7839	
-49750	-49250	-49500	21884	30338087	1869	8.54	3305481	10.90	0.7839	
-49700	-49200	-49450	21884	30338087	1869	8.54	3305481	10.90	0.7839	
-49650	-49150	-49400	21884	30338087	1898	8.67	3305452	10.90	0.7960	
-49600	-49100	-49350	21884	30338087	1948	8.90	3305402	10.90	0.8170	
-49550	-49050	-49300	21884	30338087	1998	9.13	3305352	10.90	0.8380	
-49500	-49000	-49250	21884	30338087	2048	9.36	3305302	10.89	0.8590	
-49450	-48950	-49200	21884	30338087	2057	9.40	3305293	10.89	0.8628	
-49400	-48900	-49150	21884	30338087	2019	9.23	3305331	10.89	0.8468	
-49350	-48850	-49100	21884	30338087	2000	9.14	3305350	10.90	0.8388	
-49300	-48800	-49050	21884	30338087	2000	9.14	3305350	10.90	0.8388	
-49250	-48750	-49000	21884	30338087	1951	8.92	3305399	10.90	0.8183	
-49200	-48700	-48950	21884	30338087	1901	8.69	3305449	10.90	0.7973	
-49150	-48650	-48900	21884	30338087	1811	8.28	3305539	10.90	0.7595	
-49100	-48600	-48850	21884	30338087	1711	7.82	3305639	10.90	0.7176	
-49050	-48550	-48800	21884	30338087	1611	7.36	3305739	10.90	0.6756	
-49000	-48500	-48750	21884	30338087	1511	6.90	3305839	10.90	0.6336	
-48950	-48450	-48700	21884	30338087	1411	6.45	3305939	10.90	0.5917	
-48900	-48400	-48650	21884	30338087	1311	5.99	3306039	10.90	0.5497	
-48850	-48350	-48600	21884	30338087	1211	5.53	3306139	10.90	0.5078	
-48800	-48300	-48550	21884	30338087	1111	5.08	3306239	10.90	0.4658	
-48750	-48250	-48500	21884	30338087	1060	4.84	3306290	10.90	0.4445	
-48700	-48200	-48450	21884	30338087	1037	4.74	3306313	10.90	0.4348	
-48650	-48150	-48400	21884	30338087	1120	5.12	3306230	10.90	0.4696	
-48600	-48100	-48350	21884	30338087	1220	5.57	3306130	10.90	0.5116	
-48550	-48050	-48300	21884	30338087	1293	5.91	3306057	10.90	0.5422	
-48500	-48000	-48250	21884	30338087	1343	6.14	3306007	10.90	0.5632	
-48450	-47950	-48200	21884	30338087	1393	6.37	3305957	10.90	0.5841	
-48400	-47900	-48150	21884	30338087	1443	6.59	3305907	10.90	0.6051	
-48350	-47850	-48100	21884	30338087	1493	6.82	3305857	10.90	0.6261	
-48300	-47800	-48050	21884	30338087	1543	7.05	3305807	10.90	0.6471	
-48250	-47750	-48000	21884	30338087	1593	7.28	3305757	10.90	0.6680	
-48200	-47700	-47950	21884	30338087	1616	7.38	3305734	10.90	0.6777	
-48150	-47650	-47900	21884	30338087	1573	7.19	3305777	10.90	0.6597	
-48100	-47600	-47850	21884	30338087	1513	6.91	3305837	10.90	0.6345	
-48050	-47550	-47800	21884	30338087	1440	6.58	3305910	10.90	0.6039	
-48000	-47500	-47750	21884	30338087	1390	6.35	3305960	10.90	0.5829	
-47950	-47450	-47700	21884	30338087	1340	6.12	3306010	10.90	0.5619	
-47900	-47400	-47650	21884	30338087	1290	5.89	3306060	10.90	0.5409	
-47850	-47350	-47600	21884	30338087	1240	5.67	3306110	10.90	0.5200	
-47800	-47300	-47550	21884	30338087	1190	5.44	3306160	10.90	0.4990	
-47750	-47250	-47500	21884	30338087	1140	5.21	3306210	10.90	0.4780	
-47700	-47200	-47450	21884	30338087	1090	4.98	3306260	10.90	0.4570	
-47650	-47150	-47400	21884	30338087	1064	4.86	3306286	10.90	0.4461	
-47600	-47100	-47350	21884	30338087	1074	4.91	3306276	10.90	0.4503	
-47550	-47050	-47300	21884	30338087	1124	5.14	3306226	10.90	0.4713	
-47500	-47000	-47250	21884	30338087	1174	5.36	3306176	10.90	0.4923	
-47450	-46950	-47200	21884	30338087	1224	5.59	3306126	10.90	0.5132	
-47400	-46900	-47150	21884	30338087	1274	5.82	3306076	10.90	0.5342	
-47350	-46850	-47100	21884	30338087	1324	6.05	3306026	10.90	0.5552	
-47300	-46800	-47050	21884	30338087	1374	6.28	3305976	10.90	0.5762	
-47250	-46750	-47000	21884	30338087	1424	6.51	3305926	10.90	0.5971	
-47200	-46700	-46950	21884	30338087	1450	6.63	3305900	10.90	0.6081	
-47150	-46650	-46900	21884	30338087	1452	6.63	3305898	10.90	0.6089	
-47100	-46600	-46850	21884	30338087	1411	6.45	3305939	10.90	0.5917	
-47050	-46550	-46800	21884	30338087	1361	6.22	3305989	10.90	0.5707	
-47000	-46500	-46750	21884	30338087	1268	5.79	3306082	10.90	0.5317	
-46950	-46450	-46700	21884	30338087	1168	5.34	3306182	10.90	0.4898	
-46900	-46400	-46650	21884	30338087	1068	4.88	3306282	10.90	0.4478	
-46850	-46350	-46600	21884	30338087	968	4.42	3306382	10.90	0.4059	
-46800	-46300	-46550	21884	30338087	868	3.97	3306482	10.90	0.3639	
-46750	-46250	-46500	21884	30338087	768	3.51	3306582	10.90	0.3220	
-46700	-46200	-46450	21884	30338087	703	3.21	3306647	10.90	0.2947	
-46650	-46150	-46400	21884	30338087	726	3.32	3306624	10.90	0.3044	
-46600	-46100	-46350	21884	30338087	767	3.50	3306583	10.90	0.3216	
-46550	-46050	-46300	21884	30338087	791	3.61	3306559	10.90	0.3316	
-46500	-46000	-46250	21884	30338087	834	3.81	3306516	10.90	0.3497	
-46450	-45950	-46200	21884	30338087	884	4.04	3306466	10.90	0.3706	
-46400	-45900	-46150	21884	30338087	934	4.27	3306416	10.90	0.3916	
-46350	-45850	-46100	21884	30338087	984	4.50	3306366	10.90	0.4126	
-46300	-45800	-46050	21884	30338087	1034	4.72	3306316	10.90	0.4335	
-46250	-45750	-46000	21884	30338087	1084	4.95	3306266	10.90	0.4545	
-46200	-45700	-45950	21884	30338087	1123	5.13	3306227	10.90	0.4709	
-46150	-45650	-45900	21884	30338087	1074	4.91	3306276	10.90	0.4503	
-46100	-45600	-45850	21884	30338087	1024	4.68	3306326	10.90	0.4294	
-46050	-45550	-45800	21884	30338087	1000	4.57	3306350	10.90	0.4193	
-46000	-45500	-45750	21884	30338087	1000	4.57	3306350	10.90	0.4193	
