Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-50000	-48000	-49000	84000	30277471	10282	12.24	3967044	13.10	0.9342	
-49800	-47800	-48800	84000	30277471	10399	12.38	3966927	13.10	0.9449	
-49600	-47600	-48600	84000	30277471	10752	12.80	3966574	13.10	0.9770	
-49400	-47400	-48400	84000	30277471	10815	12.88	3966511	13.10	0.9828	
-49200	-47200	-48200	84000	30277471	10912	12.99	3966414	13.10	0.9916	
-49000	-47000	-48000	84000	30277471	11171	13.30	3966155	13.10	1.0152	
-48800	-46800	-47800	84000	30277471	11248	13.39	3966078	13.10	1.0222	
-48600	-46600	-47600	84000	30277471	11118	13.24	3966208	13.10	1.0104	
-48400	-46400	-47400	84000	30277471	11582	13.79	3965744	13.10	1.0527	
-48200	-46200	-47200	84000	30277471	12138	14.45	3965188	13.10	1.1034	
-48000	-46000	-47000	84000	30277471	12245	14.58	3965081	13.10	1.1131	
-47800	-45800	-46800	84000	30277471	12128	14.44	3965198	13.10	1.1025	
-47600	-45600	-46600	84000	30277471	12174	14.49	3965152	13.10	1.1067	
-47400	-45400	-46400	84000	30277471	12096	14.40	3965230	13.10	1.0995	
-47200	-45200	-46200	84000	30277471	12073	14.37	3965253	13.10	1.0974	
-47000	-45000	-46000	84000	30277471	12233	14.56	3965093	13.10	1.1120	
-46800	-44800	-45800	84000	30277471	12259	14.59	3965067	13.10	1.1144	
-46600	-44600	-45600	84000	30277471	12029	14.32	3965297	13.10	1.0934	
-46400	-44400	-45400	84000	30277471	12224	14.55	3965102	13.10	1.1112	
-46200	-44200	-45200	84000	30277471	13046	15.53	3964280	13.09	1.1862	
-46000	-44000	-45000	84000	30277471	13312	15.85	3964014	13.09	1.2105	
-45800	-43800	-44800	84000	30277471	13421	15.98	3963905	13.09	1.2204	
-45600	-43600	-44600	84000	30277471	13322	15.86	3964004	13.09	1.2114	
-45400	-43400	-44400	84000	30277471	13376	15.92	3963950	13.09	1.2163	
-45200	-43200	-44200	84000	30277471	13663	16.27	3963663	13.09	1.2425	
-45000	-43000	-44000	84000	30277471	14029	16.70	3963297	13.09	1.2759	
-44800	-42800	-43800	84000	30277471	14846	17.67	3962480	13.09	1.3505	
-44600	-42600	-43600	84000	30277471	15192	18.09	3962134	13.09	1.3821	
-44400	-42400	-43400	84000	30277471	15228	18.13	3962098	13.09	1.3853	
-44200	-42200	-43200	84000	30277471	15007	17.87	3962319	13.09	1.3652	
-44000	-42000	-43000	84000	30277471	15195	18.09	3962131	13.09	1.3823	
-43800	-41800	-42800	84000	30277471	16016	19.07	3961310	13.08	1.4573	
-43600	-41600	-42600	84000	30277471	15999	19.05	3961327	13.08	1.4558	
-43400	-41400	-42400	84000	30277471	16349	19.46	3960977	13.08	1.4877	
-43200	-41200	-42200	84000	30277471	16445	19.58	3960881	13.08	1.4965	
-43000	-41000	-42000	84000	30277471	16423	19.55	3960903	13.08	1.4945	
-42800	-40800	-41800	84000	30277471	16487	19.63	3960839	13.08	1.5004	
-42600	-40600	-41600	84000	30277471	16930	20.15	3960396	13.08	1.5408	
-42400	-40400	-41400	84000	30277471	17336	20.64	3959990	13.08	1.5780	
-42200	-40200	-41200	84000	30277471	17570	20.92	3959756	13.08	1.5994	
-42000	-40000	-41000	84000	30277471	17641	21.00	3959685	13.08	1.6058	
-41800	-39800	-40800	84000	30277471	17187	20.46	3960139	13.08	1.5643	
-41600	-39600	-40600	84000	30277471	17707	21.08	3959619	13.08	1.6119	
-41400	-39400	-40400	84000	30277471	18278	21.76	3959048	13.08	1.6641	
-41200	-39200	-40200	84000	30277471	18223	21.69	3959103	13.08	1.6591	
-41000	-39000	-40000	84000	30277471	18136	21.59	3959190	13.08	1.6511	
