Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-50000	-48000	-49000	84000	30277471	51469	61.27	15952300	52.69	1.1630	
-49800	-47800	-48800	84000	30277471	51061	60.79	15952708	52.69	1.1537	
-49600	-47600	-48600	84000	30277471	50794	60.47	15952975	52.69	1.1477	
-49400	-47400	-48400	84000	30277471	50152	59.70	15953617	52.69	1.1331	
-49200	-47200	-48200	84000	30277471	50406	60.01	15953363	52.69	1.1389	
-49000	-47000	-48000	84000	30277471	50596	60.23	15953173	52.69	1.1432	
-48800	-46800	-47800	84000	30277471	50854	60.54	15952915	52.69	1.1490	
-48600	-46600	-47600	84000	30277471	51258	61.02	15952511	52.69	1.1582	
-48400	-46400	-47400	84000	30277471	51848	61.72	15951921	52.69	1.1715	
-48200	-46200	-47200	84000	30277471	52804	62.86	15950965	52.68	1.1932	
-48000	-46000	-47000	84000	30277471	53428	63.60	15950341	52.68	1.2074	
-47800	-45800	-46800	84000	30277471	54615	65.02	15949154	52.68	1.2343	
-47600	-45600	-46600	84000	30277471	55616	66.21	15948153	52.67	1.2570	
-47400	-45400	-46400	84000	30277471	56714	67.52	15947055	52.67	1.2819	
-47200	-45200	-46200	84000	30277471	57364	68.29	15946405	52.67	1.2966	
-47000	-45000	-46000	84000	30277471	57977	69.02	15945792	52.67	1.3105	
-46800	-44800	-45800	84000	30277471	58588	69.75	15945181	52.66	1.3244	
-46600	-44600	-45600	84000	30277471	59086	70.34	15944683	52.66	1.3357	
-46400	-44400	-45400	84000	30277471	58743	69.93	15945026	52.66	1.3279	
-46200	-44200	-45200	84000	30277471	57615	68.59	15946154	52.67	1.3023	
-46000	-44000	-45000	84000	30277471	56981	67.83	15946788	52.67	1.2879	
-45800	-43800	-44800	84000	30277471	55929	66.58	15947840	52.67	1.2641	
-45600	-43600	-44600	84000	30277471	54658	65.07	15949111	52.68	1.2353	
-45400	-43400	-44400	84000	30277471	53184	63.31	15950585	52.68	1.2018	
