Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-50000	-49500	-49750	21000	30338971	0	0.00	1060390	3.50	0.0000	
-49950	-49450	-49700	21000	30338971	0	0.00	1060390	3.50	0.0000	
-49900	-49400	-49650	21000	30338971	0	0.00	1060390	3.50	0.0000	
-49850	-49350	-49600	21000	30338971	0	0.00	1060390	3.50	0.0000	
-49800	-49300	-49550	21000	30338971	0	0.00	1060390	3.50	0.0000	
-49750	-49250	-49500	21000	30338971	0	0.00	1060390	3.50	0.0000	
-49700	-49200	-49450	21000	30338971	0	0.00	1060390	3.50	0.0000	
-49650	-49150	-49400	21000	30338971	0	0.00	1060390	3.50	0.0000	
-49600	-49100	-49350	21000	30338971	0	0.00	1060390	3.50	0.0000	
-49550	-49050	-49300	21000	30338971	0	0.00	1060390	3.50	0.0000	
-49500	-49000	-49250	21000	30338971	0	0.00	1060390	3.50	0.0000	
-49450	-48950	-49200	21000	30338971	0	0.00	1060390	3.50	0.0000	
-49400	-48900	-49150	21000	30338971	0	0.00	1060390	3.50	0.0000	
-49350	-48850	-49100	21000	30338971	0	0.00	1060390	3.50	0.0000	
-49300	-48800	-49050	21000	30338971	0	0.00	1060390	3.50	0.0000	
-49250	-48750	-49000	21000	30338971	45	0.21	1060345	3.49	0.0613	
-49200	-48700	-48950	21000	30338971	95	0.45	1060295	3.49	0.1294	
-49150	-48650	-48900	21000	30338971	145	0.69	1060245	3.49	0.1976	
-49100	-48600	-48850	21000	30338971	195	0.93	1060195	3.49	0.2657	
-49050	-48550	-48800	21000	30338971	245	1.17	1060145	3.49	0.3339	
-49000	-48500	-48750	21000	30338971	295	1.40	1060095	3.49	0.4020	
-48950	-48450	-48700	21000	30338971	345	1.64	1060045	3.49	0.4702	
-48900	-48400	-48650	21000	30338971	395	1.88	1059995	3.49	0.5384	
-48850	-48350	-48600	21000	30338971	445	2.12	1059945	3.49	0.6065	
-48800	-48300	-48550	21000	30338971	495	2.36	1059895	3.49	0.6747	
-48750	-48250	-48500	21000	30338971	500	2.38	1059890	3.49	0.6815	
-48700	-48200	-48450	21000	30338971	500	2.38	1059890	3.49	0.6815	
-48650	-48150	-48400	21000	30338971	500	2.38	1059890	3.49	0.6815	
-48600	-48100	-48350	21000	30338971	500	2.38	1059890	3.49	0.6815	
-48550	-48050	-48300	21000	30338971	500	2.38	1059890	3.49	0.6815	
-48500	-48000	-48250	21000	30338971	500	2.38	1059890	3.49	0.6815	
-48450	-47950	-48200	21000	30338971	500	2.38	1059890	3.49	0.6815	
-48400	-47900	-48150	21000	30338971	500	2.38	1059890	3.49	0.6815	
-48350	-47850	-48100	21000	30338971	500	2.38	1059890	3.49	0.6815	
-48300	-47800	-48050	21000	30338971	500	2.38	1059890	3.49	0.6815	
-48250	-47750	-48000	21000	30338971	500	2.38	1059890	3.49	0.6815	
-48200	-47700	-47950	21000	30338971	500	2.38	1059890	3.49	0.6815	
-48150	-47650	-47900	21000	30338971	490	2.33	1059900	3.49	0.6679	
-48100	-47600	-47850	21000	30338971	440	2.10	1059950	3.49	0.5997	
-48050	-47550	-47800	21000	30338971	390	1.86	1060000	3.49	0.5315	
-48000	-47500	-47750	21000	30338971	340	1.62	1060050	3.49	0.4634	
-47950	-47450	-47700	21000	30338971	290	1.38	1060100	3.49	0.3952	
-47900	-47400	-47650	21000	30338971	240	1.14	1060150	3.49	0.3271	
-47850	-47350	-47600	21000	30338971	190	0.90	1060200	3.49	0.2589	
-47800	-47300	-47550	21000	30338971	140	0.67	1060250	3.49	0.1908	
-47750	-47250	-47500	21000	30338971	90	0.43	1060300	3.49	0.1226	
