Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-50000	-48000	-49000	84000	30277471	10788	12.84	5060457	16.71	0.7684	
-49800	-47800	-48800	84000	30277471	10189	12.13	5061056	16.72	0.7257	
-49600	-47600	-48600	84000	30277471	10002	11.91	5061243	16.72	0.7123	
-49400	-47400	-48400	84000	30277471	9996	11.90	5061249	16.72	0.7119	
-49200	-47200	-48200	84000	30277471	10260	12.21	5060985	16.72	0.7307	
-49000	-47000	-48000	84000	30277471	10134	12.06	5061111	16.72	0.7217	
-48800	-46800	-47800	84000	30277471	9707	11.56	5061538	16.72	0.6913	
-48600	-46600	-47600	84000	30277471	9385	11.17	5061860	16.72	0.6683	
-48400	-46400	-47400	84000	30277471	9606	11.44	5061639	16.72	0.6841	
-48200	-46200	-47200	84000	30277471	9397	11.19	5061848	16.72	0.6691	
-48000	-46000	-47000	84000	30277471	9165	10.91	5062080	16.72	0.6526	
-47800	-45800	-46800	84000	30277471	9136	10.88	5062109	16.72	0.6505	
-47600	-45600	-46600	84000	30277471	8916	10.61	5062329	16.72	0.6348	
-47400	-45400	-46400	84000	30277471	8834	10.52	5062411	16.72	0.6290	
-47200	-45200	-46200	84000	30277471	8370	9.96	5062875	16.72	0.5959	
-47000	-45000	-46000	84000	30277471	8471	10.08	5062774	16.72	0.6031	
-46800	-44800	-45800	84000	30277471	9037	10.76	5062208	16.72	0.6435	
-46600	-44600	-45600	84000	30277471	9208	10.96	5062037	16.72	0.6557	
-46400	-44400	-45400	84000	30277471	9078	10.81	5062167	16.72	0.6464	
-46200	-44200	-45200	84000	30277471	9066	10.79	5062179	16.72	0.6455	
-46000	-44000	-45000	84000	30277471	9000	10.71	5062245	16.72	0.6408	
-45800	-43800	-44800	84000	30277471	9319	11.09	5061926	16.72	0.6636	
-45600	-43600	-44600	84000	30277471	9867	11.75	5061378	16.72	0.7027	
-45400	-43400	-44400	84000	30277471	10235	12.18	5061010	16.72	0.7289	
-45200	-43200	-44200	84000	30277471	10490	12.49	5060755	16.71	0.7471	
-45000	-43000	-44000	84000	30277471	10294	12.25	5060951	16.72	0.7331	
-44800	-42800	-43800	84000	30277471	9756	11.61	5061489	16.72	0.6948	
-44600	-42600	-43600	84000	30277471	9766	11.63	5061479	16.72	0.6955	
-44400	-42400	-43400	84000	30277471	10352	12.32	5060893	16.72	0.7373	
-44200	-42200	-43200	84000	30277471	11117	13.23	5060128	16.71	0.7919	
-44000	-42000	-43000	84000	30277471	11496	13.69	5059749	16.71	0.8190	
-43800	-41800	-42800	84000	30277471	11324	13.48	5059921	16.71	0.8067	
