Run	Real_ratio	Feature	Breakpoint_region_bp	Non_breakpoint_region_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Shuffled_ratio	Above	Same	Below
0	1.1275	CDS	150000	30209471	49415	32.94	8826919	29.22	1.1275	0	0	0	
0	1.1502	DNAseI_hypersensitive_site	150000	30209471	22586	15.06	3954740	13.09	1.1502	0	0	0	
0	1.4082	DNA_replication_origin	150000	30209471	7363	4.91	1053027	3.49	1.4082	0	0	0	
0	1.0644	exon	150000	30209471	66265	44.18	12538618	41.51	1.0644	0	0	0	
0	1.2854	five_prime_UTR	150000	30209471	5385	3.59	843742	2.79	1.2854	0	0	0	
0	1.0977	gene	150000	30209471	86752	57.83	15917017	52.69	1.0977	0	0	0	
0	1.0606	mRNA	150000	30209471	92088	61.39	17486337	57.88	1.0606	0	0	0	
0	0.0000	miRNA	150000	30209471	0	0.00	9336	0.03	0.0000	0	0	0	
0	1.3376	ncRNA	150000	30209471	1212	0.81	182484	0.60	1.3376	0	0	0	
0	1.0966	protein	150000	30209471	73649	49.10	13526130	44.77	1.0966	0	0	0	
0	0.0000	pseudogene	150000	30209471	0	0.00	225503	0.75	0.0000	0	0	0	
0	0.0000	pseudogenic_exon	150000	30209471	0	0.00	207487	0.69	0.0000	0	0	0	
0	0.0000	pseudogenic_transcript	150000	30209471	0	0.00	225503	0.75	0.0000	0	0	0	
0	0.8355	satellite	150000	30209471	7866	5.24	1896056	6.28	0.8355	0	0	0	
0	0.0000	snoRNA	150000	30209471	0	0.00	2174	0.01	0.0000	0	0	0	
0	0.0000	tRNA	150000	30209471	0	0.00	15340	0.05	0.0000	0	0	0	
0	1.2761	three_prime_UTR	150000	30209471	8297	5.53	1309447	4.33	1.2761	0	0	0	
0	0.5628	transposable_element	150000	30209471	14133	9.42	5057112	16.74	0.5628	0	0	0	
0	0.6347	transposable_element_gene	150000	30209471	5336	3.56	1693074	5.60	0.6347	0	0	0	
0	0.5776	transposon_fragment	150000	30209471	14133	9.42	4928244	16.31	0.5776	0	0	0	
0	0.9636	open_chromatin_state_1	150000	30209471	16416	10.94	3431184	11.36	0.9636	0	0	0	
0	1.3683	open_chromatin_state_2	150000	30209471	20881	13.92	3073433	10.17	1.3683	0	0	0	
0	1.4097	open_chromatin_state_3	150000	30209471	21688	14.46	3098462	10.26	1.4097	0	0	0	
0	1.0036	open_chromatin_state_4	150000	30209471	23632	15.75	4742318	15.70	1.0036	0	0	0	
0	1.5275	open_chromatin_state_5	150000	30209471	33260	22.17	4385140	14.52	1.5275	0	0	0	
0	0.6586	open_chromatin_state_6	150000	30209471	10781	7.19	3296569	10.91	0.6586	0	0	0	
0	0.6344	open_chromatin_state_7	150000	30209471	9822	6.55	3118128	10.32	0.6344	0	0	0	
0	0.5163	open_chromatin_state_8	150000	30209471	6138	4.09	2394312	7.93	0.5163	0	0	0	
0	0.5569	open_chromatin_state_9	150000	30209471	7382	4.92	2669818	8.84	0.5569	0	0	0	
1	1.1275	CDS	150000	30209471	57468	38.31	8818866	29.19	1.3124	1	0	0	
1	1.1502	DNAseI_hypersensitive_site	150000	30209471	22002	14.67	3955324	13.09	1.1203	0	0	1	*****
1	1.4082	DNA_replication_origin	150000	30209471	4338	2.89	1056052	3.50	0.8273	0	0	1	*****
1	1.0644	exon	150000	30209471	71528	47.69	12533355	41.49	1.1494	1	0	0	
1	1.2854	five_prime_UTR	150000	30209471	4089	2.73	845038	2.80	0.9745	0	0	1	*****
1	1.0977	gene	150000	30209471	96300	64.20	15907469	52.66	1.2192	1	0	0	
1	1.0606	mRNA	150000	30209471	97650	65.10	17480775	57.87	1.1250	1	0	0	
1	0.0000	miRNA	150000	30209471	95	0.06	9241	0.03	2.0704	1	0	0	
1	1.3376	ncRNA	150000	30209471	2765	1.84	180931	0.60	3.0778	1	0	0	
1	1.0966	protein	150000	30209471	82127	54.75	13517652	44.75	1.2236	1	0	0	
1	0.0000	pseudogene	150000	30209471	1248	0.83	224255	0.74	1.1208	1	0	0	
1	0.0000	pseudogenic_exon	150000	30209471	1248	0.83	206239	0.68	1.2187	1	0	0	
1	0.0000	pseudogenic_transcript	150000	30209471	1248	0.83	224255	0.74	1.1208	1	0	0	
1	0.8355	satellite	150000	30209471	8297	5.53	1895625	6.27	0.8815	1	0	0	*****
1	0.0000	snoRNA	150000	30209471	0	0.00	2174	0.01	0.0000	0	1	0	
1	0.0000	tRNA	150000	30209471	0	0.00	15340	0.05	0.0000	0	1	0	
1	1.2761	three_prime_UTR	150000	30209471	6960	4.64	1310784	4.34	1.0694	0	0	1	*****
1	0.5628	transposable_element	150000	30209471	13559	9.04	5057686	16.74	0.5399	0	0	1	
1	0.6347	transposable_element_gene	150000	30209471	3054	2.04	1695356	5.61	0.3628	0	0	1	
1	0.5776	transposon_fragment	150000	30209471	13559	9.04	4928818	16.32	0.5540	0	0	1	
1	0.9636	open_chromatin_state_1	150000	30209471	20960	13.97	3426640	11.34	1.2319	1	0	0	*****
1	1.3683	open_chromatin_state_2	150000	30209471	15011	10.01	3079303	10.19	0.9818	0	0	1	*****
1	1.4097	open_chromatin_state_3	150000	30209471	15418	10.28	3104732	10.28	1.0001	0	0	1	*****
1	1.0036	open_chromatin_state_4	150000	30209471	14603	9.74	4751347	15.73	0.6190	0	0	1	*****
1	1.5275	open_chromatin_state_5	150000	30209471	25540	17.03	4392860	14.54	1.1709	0	0	1	*****
1	0.6586	open_chromatin_state_6	150000	30209471	20780	13.85	3286570	10.88	1.2734	1	0	0	*****
1	0.6344	open_chromatin_state_7	150000	30209471	21574	14.38	3106376	10.28	1.3987	1	0	0	*****
1	0.5163	open_chromatin_state_8	150000	30209471	8686	5.79	2391764	7.92	0.7314	1	0	0	*****
1	0.5569	open_chromatin_state_9	150000	30209471	7428	4.95	2669772	8.84	0.5603	1	0	0	*****
2	1.1275	CDS	150000	30209471	41629	27.75	8834705	29.24	0.9490	1	0	1	
2	1.1502	DNAseI_hypersensitive_site	150000	30209471	24881	16.59	3952445	13.08	1.2678	1	0	1	
2	1.4082	DNA_replication_origin	150000	30209471	1768	1.18	1058622	3.50	0.3364	0	0	2	*****
2	1.0644	exon	150000	30209471	61648	41.10	12543235	41.52	0.9898	1	0	1	
2	1.2854	five_prime_UTR	150000	30209471	4391	2.93	844736	2.80	1.0469	0	0	2	*****
2	1.0977	gene	150000	30209471	78922	52.61	15924847	52.71	0.9981	1	0	1	
2	1.0606	mRNA	150000	30209471	88154	58.77	17490271	57.90	1.0151	1	0	1	
2	0.0000	miRNA	150000	30209471	0	0.00	9336	0.03	0.0000	1	1	0	
2	1.3376	ncRNA	150000	30209471	0	0.00	183696	0.61	0.0000	1	0	1	
2	1.0966	protein	150000	30209471	64170	42.78	13535609	44.81	0.9548	1	0	1	
2	0.0000	pseudogene	150000	30209471	923	0.62	224580	0.74	0.8277	2	0	0	
2	0.0000	pseudogenic_exon	150000	30209471	743	0.50	206744	0.68	0.7238	2	0	0	
2	0.0000	pseudogenic_transcript	150000	30209471	923	0.62	224580	0.74	0.8277	2	0	0	
2	0.8355	satellite	150000	30209471	11175	7.45	1892747	6.27	1.1891	2	0	0	*****
2	0.0000	snoRNA	150000	30209471	0	0.00	2174	0.01	0.0000	0	2	0	
2	0.0000	tRNA	150000	30209471	74	0.05	15266	0.05	0.9762	1	1	0	
2	1.2761	three_prime_UTR	150000	30209471	8410	5.61	1309334	4.33	1.2936	1	0	1	
2	0.5628	transposable_element	150000	30209471	22472	14.98	5048773	16.71	0.8964	1	0	1	
2	0.6347	transposable_element_gene	150000	30209471	9306	6.20	1689104	5.59	1.1096	1	0	1	
2	0.5776	transposon_fragment	150000	30209471	21305	14.20	4921072	16.29	0.8719	1	0	1	
2	0.9636	open_chromatin_state_1	150000	30209471	21508	14.34	3426092	11.34	1.2643	2	0	0	*****
2	1.3683	open_chromatin_state_2	150000	30209471	14510	9.67	3079804	10.19	0.9488	0	0	2	*****
2	1.4097	open_chromatin_state_3	150000	30209471	19628	13.09	3100522	10.26	1.2749	0	0	2	*****
2	1.0036	open_chromatin_state_4	150000	30209471	22491	14.99	4743459	15.70	0.9549	0	0	2	*****
2	1.5275	open_chromatin_state_5	150000	30209471	12066	8.04	4406334	14.59	0.5515	0	0	2	*****
2	0.6586	open_chromatin_state_6	150000	30209471	12911	8.61	3294439	10.91	0.7893	2	0	0	*****
2	0.6344	open_chromatin_state_7	150000	30209471	18850	12.57	3109100	10.29	1.2210	2	0	0	*****
2	0.5163	open_chromatin_state_8	150000	30209471	8169	5.45	2392281	7.92	0.6877	2	0	0	*****
2	0.5569	open_chromatin_state_9	150000	30209471	19867	13.24	2657333	8.80	1.5057	2	0	0	*****
3	1.1275	CDS	150000	30209471	46789	31.19	8829545	29.23	1.0672	1	0	2	
3	1.1502	DNAseI_hypersensitive_site	150000	30209471	20501	13.67	3956825	13.10	1.0435	1	0	2	
3	1.4082	DNA_replication_origin	150000	30209471	7277	4.85	1053113	3.49	1.3916	0	0	3	*****
3	1.0644	exon	150000	30209471	66730	44.49	12538153	41.50	1.0719	2	0	1	
3	1.2854	five_prime_UTR	150000	30209471	3554	2.37	845573	2.80	0.8465	0	0	3	*****
3	1.0977	gene	150000	30209471	81897	54.60	15921872	52.70	1.0359	1	0	2	
3	1.0606	mRNA	150000	30209471	94690	63.13	17483735	57.88	1.0907	2	0	1	
3	0.0000	miRNA	150000	30209471	0	0.00	9336	0.03	0.0000	1	2	0	
3	1.3376	ncRNA	150000	30209471	1895	1.26	181801	0.60	2.0993	2	0	1	
3	1.0966	protein	150000	30209471	72643	48.43	13527136	44.78	1.0815	1	0	2	
3	0.0000	pseudogene	150000	30209471	0	0.00	225503	0.75	0.0000	2	1	0	
3	0.0000	pseudogenic_exon	150000	30209471	0	0.00	207487	0.69	0.0000	2	1	0	
3	0.0000	pseudogenic_transcript	150000	30209471	0	0.00	225503	0.75	0.0000	2	1	0	
3	0.8355	satellite	150000	30209471	11964	7.98	1891958	6.26	1.2736	3	0	0	*****
3	0.0000	snoRNA	150000	30209471	0	0.00	2174	0.01	0.0000	0	3	0	
3	0.0000	tRNA	150000	30209471	72	0.05	15268	0.05	0.9497	2	1	0	
3	1.2761	three_prime_UTR	150000	30209471	6696	4.46	1311048	4.34	1.0286	1	0	2	
3	0.5628	transposable_element	150000	30209471	33707	22.47	5037538	16.68	1.3476	2	0	1	
3	0.6347	transposable_element_gene	150000	30209471	12865	8.58	1685545	5.58	1.5372	2	0	1	
3	0.5776	transposon_fragment	150000	30209471	33293	22.20	4909084	16.25	1.3659	2	0	1	
3	0.9636	open_chromatin_state_1	150000	30209471	16645	11.10	3430955	11.36	0.9771	3	0	0	*****
3	1.3683	open_chromatin_state_2	150000	30209471	14734	9.82	3079580	10.19	0.9636	0	0	3	*****
3	1.4097	open_chromatin_state_3	150000	30209471	13590	9.06	3106560	10.28	0.8810	0	0	3	*****
3	1.0036	open_chromatin_state_4	150000	30209471	19540	13.03	4746410	15.71	0.8291	0	0	3	*****
3	1.5275	open_chromatin_state_5	150000	30209471	20439	13.63	4397961	14.56	0.9360	0	0	3	*****
3	0.6586	open_chromatin_state_6	150000	30209471	14121	9.41	3293229	10.90	0.8636	3	0	0	*****
3	0.6344	open_chromatin_state_7	150000	30209471	16220	10.81	3111730	10.30	1.0498	3	0	0	*****
3	0.5163	open_chromatin_state_8	150000	30209471	11483	7.66	2388967	7.91	0.9680	3	0	0	*****
3	0.5569	open_chromatin_state_9	150000	30209471	23228	15.49	2653972	8.79	1.7627	3	0	0	*****
4	1.1275	CDS	145769	30213702	39919	27.39	8836415	29.25	0.9364	1	0	3	
4	1.1502	DNAseI_hypersensitive_site	145769	30213702	25255	17.33	3952071	13.08	1.3245	2	0	2	
4	1.4082	DNA_replication_origin	145769	30213702	7273	4.99	1053117	3.49	1.4314	1	0	3	
4	1.0644	exon	145769	30213702	53272	36.55	12551611	41.54	0.8797	2	0	2	
4	1.2854	five_prime_UTR	145769	30213702	4589	3.15	844538	2.80	1.1263	0	0	4	*****
4	1.0977	gene	145769	30213702	78065	53.55	15925704	52.71	1.0160	1	0	3	
4	1.0606	mRNA	145769	30213702	80332	55.11	17498093	57.91	0.9516	2	0	2	
4	0.0000	miRNA	145769	30213702	0	0.00	9336	0.03	0.0000	1	3	0	
4	1.3376	ncRNA	145769	30213702	0	0.00	183696	0.61	0.0000	2	0	2	
4	1.0966	protein	145769	30213702	66033	45.30	13533746	44.79	1.0113	1	0	3	
4	0.0000	pseudogene	145769	30213702	676	0.46	224827	0.74	0.6232	3	1	0	
4	0.0000	pseudogenic_exon	145769	30213702	676	0.46	206811	0.68	0.6775	3	1	0	
4	0.0000	pseudogenic_transcript	145769	30213702	676	0.46	224827	0.74	0.6232	3	1	0	
4	0.8355	satellite	145769	30213702	6739	4.62	1897183	6.28	0.7362	3	0	1	
4	0.0000	snoRNA	145769	30213702	0	0.00	2174	0.01	0.0000	0	4	0	
4	0.0000	tRNA	145769	30213702	0	0.00	15340	0.05	0.0000	2	2	0	
4	1.2761	three_prime_UTR	145769	30213702	7180	4.93	1310564	4.34	1.1355	1	0	3	
4	0.5628	transposable_element	145769	30213702	17259	11.84	5053986	16.73	0.7078	3	0	1	
4	0.6347	transposable_element_gene	145769	30213702	2267	1.56	1696143	5.61	0.2770	2	0	2	
4	0.5776	transposon_fragment	145769	30213702	15705	10.77	4926672	16.31	0.6607	3	0	1	
