Run	Real_ratio	Feature	Breakpoint_region_bp	Non_breakpoint_region_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Shuffled_ratio	Above	Same	Below
0	1.1372	CDS	8957	30350564	2978	33.25	8873356	29.24	1.1372	0	0	0	
0	1.4907	DNAseI_hypersensitive_site	8957	30350564	1749	19.53	3975577	13.10	1.4907	0	0	0	
0	0.9589	DNA_replication_origin	8957	30350564	300	3.35	1060090	3.49	0.9589	0	0	0	
0	1.1628	exon	8957	30350564	4324	48.28	12600559	41.52	1.1628	0	0	0	
0	1.4412	five_prime_UTR	8957	30350564	361	4.03	848766	2.80	1.4412	0	0	0	
0	1.1497	gene	8957	30350564	5428	60.60	15998341	52.71	1.1497	0	0	0	
0	1.0995	mRNA	8957	30350564	5702	63.66	17572723	57.90	1.0995	0	0	0	
0	0.0000	miRNA	8957	30350564	0	0.00	9336	0.03	0.0000	0	0	0	
0	0.0000	ncRNA	8957	30350564	0	0.00	183696	0.61	0.0000	0	0	0	
0	1.0635	protein	8957	30350564	4267	47.64	13595512	44.79	1.0635	0	0	0	
0	0.0000	pseudogene	8957	30350564	0	0.00	225503	0.74	0.0000	0	0	0	
0	0.0000	pseudogenic_exon	8957	30350564	0	0.00	207487	0.68	0.0000	0	0	0	
0	0.0000	pseudogenic_transcript	8957	30350564	0	0.00	225503	0.74	0.0000	0	0	0	
0	0.7886	satellite	8957	30350564	443	4.95	1903479	6.27	0.7886	0	0	0	
0	0.0000	snoRNA	8957	30350564	0	0.00	2174	0.01	0.0000	0	0	0	
0	5.7529	tRNA	8957	30350564	26	0.29	15314	0.05	5.7529	0	0	0	
0	1.8473	three_prime_UTR	8957	30350564	718	8.02	1317026	4.34	1.8473	0	0	0	
0	0.5152	transposable_element	8957	30350564	771	8.61	5070474	16.71	0.5152	0	0	0	
0	0.5986	transposable_element_gene	8957	30350564	300	3.35	1698110	5.59	0.5986	0	0	0	
0	0.4601	transposon_fragment	8957	30350564	671	7.49	4941706	16.28	0.4601	0	0	0	
