Run	Real_ratio	Bp	Feature	Breakpoint_region_bp	Non_breakpoint_region_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Shuffled_ratio	Above	Same	Below
0	1.1276	10000	CDS	759948	29604523	249705	32.86	8626629	29.14	1.1276	0	0	0	
0	1.2774	10000	DNA_replication_origin	759948	29604523	33668	4.43	1026722	3.47	1.2774	0	0	0	
0	1.0771	10000	DNAseI_hypersensitive_site	759948	29604523	107007	14.08	3870319	13.07	1.0771	0	0	0	
0	1.0223	10000	exon	759948	29604523	322310	42.41	12282573	41.49	1.0223	0	0	0	
0	1.0341	10000	five_prime_UTR	759948	29604523	21958	2.89	827169	2.79	1.0341	0	0	0	
0	1.1447	10000	gene	759948	29604523	456841	60.11	15546928	52.52	1.1447	0	0	0	
0	1.0783	10000	mRNA	759948	29604523	473476	62.30	17104949	57.78	1.0783	0	0	0	
0	1.2578	10000	miRNA	759948	29604523	292	0.04	9044	0.03	1.2578	0	0	0	
0	0.5390	10000	ncRNA	759948	29604523	2507	0.33	181189	0.61	0.5390	0	0	0	
0	1.0382	10000	open_chromatin_state_1	759948	29604523	89499	11.78	3358101	11.34	1.0382	0	0	0	
0	1.2968	10000	open_chromatin_state_2	759948	29604523	99686	13.12	2994628	10.12	1.2968	0	0	0	
0	1.2202	10000	open_chromatin_state_3	759948	29604523	94761	12.47	3025389	10.22	1.2202	0	0	0	
0	1.0334	10000	open_chromatin_state_4	759948	29604523	123158	16.21	4642792	15.68	1.0334	0	0	0	
0	1.0076	10000	open_chromatin_state_5	759948	29604523	111400	14.66	4307000	14.55	1.0076	0	0	0	
0	1.0748	10000	open_chromatin_state_6	759948	29604523	88799	11.68	3218551	10.87	1.0748	0	0	0	
0	1.1448	10000	open_chromatin_state_7	759948	29604523	89296	11.75	3038654	10.26	1.1448	0	0	0	
0	0.7367	10000	open_chromatin_state_8	759948	29604523	44551	5.86	2355899	7.96	0.7367	0	0	0	
0	0.2011	10000	open_chromatin_state_9	759948	29604523	13747	1.81	2663453	9.00	0.2011	0	0	0	
0	1.1566	10000	protein	759948	29604523	392120	51.60	13207659	44.61	1.1566	0	0	0	
0	0.8835	10000	pseudogene	759948	29604523	5001	0.66	220502	0.74	0.8835	0	0	0	
0	0.9621	10000	pseudogenic_exon	759948	29604523	5001	0.66	202486	0.68	0.9621	0	0	0	
0	0.8835	10000	pseudogenic_transcript	759948	29604523	5001	0.66	220502	0.74	0.8835	0	0	0	
0	0.7181	10000	satellite	759948	29604523	34461	4.53	1869461	6.31	0.7181	0	0	0	
0	0.0000	10000	snRNA	759948	29604523	0	0.00	337	0.00	0.0000	0	0	0	
0	0.0000	10000	snoRNA	759948	29604523	0	0.00	2174	0.01	0.0000	0	0	0	
0	0.1837	10000	tRNA	759948	29604523	72	0.01	15268	0.05	0.1837	0	0	0	
