Run	Real_ratio	Feature	Breakpoint_region_bp	Non_breakpoint_region_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Shuffled_ratio	Above	Same	Below
0	0.9572	CDS	22000	30337471	6157	27.99	8870177	29.24	0.9572	0	0	0	
0	1.7201	DNAseI_hypersensitive_site	22000	30337471	4955	22.52	3972371	13.09	1.7201	0	0	0	
0	1.8882	DNA_replication_origin	22000	30337471	1450	6.59	1058940	3.49	1.8882	0	0	0	
0	0.9926	exon	22000	30337471	9067	41.21	12595816	41.52	0.9926	0	0	0	
0	0.9068	five_prime_UTR	22000	30337471	558	2.54	848569	2.80	0.9068	0	0	0	
0	0.9880	gene	22000	30337471	11458	52.08	15992311	52.71	0.9880	0	0	0	
0	1.0116	mRNA	22000	30337471	12886	58.57	17565539	57.90	1.0116	0	0	0	
0	0.0000	miRNA	22000	30337471	0	0.00	9336	0.03	0.0000	0	0	0	
0	0.0000	ncRNA	22000	30337471	0	0.00	183696	0.61	0.0000	0	0	0	
0	1.0081	protein	22000	30337471	9935	45.16	13589844	44.80	1.0081	0	0	0	
0	0.0000	pseudogene	22000	30337471	0	0.00	225503	0.74	0.0000	0	0	0	
0	0.0000	pseudogenic_exon	22000	30337471	0	0.00	207487	0.68	0.0000	0	0	0	
0	0.0000	pseudogenic_transcript	22000	30337471	0	0.00	225503	0.74	0.0000	0	0	0	
0	0.8668	satellite	22000	30337471	1196	5.44	1902726	6.27	0.8668	0	0	0	
0	0.0000	snoRNA	22000	30337471	0	0.00	2174	0.01	0.0000	0	0	0	
0	6.5029	tRNA	22000	30337471	72	0.33	15268	0.05	6.5029	0	0	0	
0	1.4142	three_prime_UTR	22000	30337471	1350	6.14	1316394	4.34	1.4142	0	0	0	
0	0.7588	transposable_element	22000	30337471	2789	12.68	5068456	16.71	0.7588	0	0	0	
0	1.2190	transposable_element_gene	22000	30337471	1500	6.82	1696910	5.59	1.2190	0	0	0	
0	0.6669	transposon_fragment	22000	30337471	2389	10.86	4939988	16.28	0.6669	0	0	0	
0	1.1461	open_chromatin_state_1	22000	30337471	2863	13.01	3444737	11.35	1.1461	0	0	0	
0	2.0830	open_chromatin_state_2	22000	30337471	4667	21.21	3089647	10.18	2.0830	0	0	0	
0	0.8601	open_chromatin_state_3	22000	30337471	1945	8.84	3118205	10.28	0.8601	0	0	0	
0	1.0696	open_chromatin_state_4	22000	30337471	3694	16.79	4762256	15.70	1.0696	0	0	0	
0	0.8413	open_chromatin_state_5	22000	30337471	2694	12.25	4415706	14.56	0.8413	0	0	0	
0	0.8344	open_chromatin_state_6	22000	30337471	2000	9.09	3305350	10.90	0.8344	0	0	0	
0	0.7803	open_chromatin_state_7	22000	30337471	1769	8.04	3126181	10.30	0.7803	0	0	0	
0	1.0308	open_chromatin_state_8	22000	30337471	1793	8.15	2398657	7.91	1.0308	0	0	0	
0	0.2962	open_chromatin_state_9	22000	30337471	575	2.61	2676625	8.82	0.2962	0	0	0	
1	0.9572	CDS	22000	30337471	8888	40.40	8867446	29.23	1.3822	1	0	0	*****
1	1.7201	DNAseI_hypersensitive_site	22000	30337471	1703	7.74	3975623	13.10	0.5907	0	0	1	*****
1	1.8882	DNA_replication_origin	22000	30337471	0	0.00	1060390	3.50	0.0000	0	0	1	*****
1	0.9926	exon	22000	30337471	11365	51.66	12593518	41.51	1.2445	1	0	0	*****
1	0.9068	five_prime_UTR	22000	30337471	300	1.36	848827	2.80	0.4874	0	0	1	
1	0.9880	gene	22000	30337471	15308	69.58	15988461	52.70	1.3203	1	0	0	*****
1	1.0116	mRNA	22000	30337471	16117	73.26	17562308	57.89	1.2655	1	0	0	
1	0.0000	miRNA	22000	30337471	0	0.00	9336	0.03	0.0000	0	1	0	
1	0.0000	ncRNA	22000	30337471	500	2.27	183196	0.60	3.7637	1	0	0	
1	1.0081	protein	22000	30337471	13444	61.11	13586335	44.78	1.3645	1	0	0	
1	0.0000	pseudogene	22000	30337471	0	0.00	225503	0.74	0.0000	0	1	0	
1	0.0000	pseudogenic_exon	22000	30337471	0	0.00	207487	0.68	0.0000	0	1	0	
1	0.0000	pseudogenic_transcript	22000	30337471	0	0.00	225503	0.74	0.0000	0	1	0	
1	0.8668	satellite	22000	30337471	1123	5.10	1902799	6.27	0.8138	0	0	1	
1	0.0000	snoRNA	22000	30337471	0	0.00	2174	0.01	0.0000	0	1	0	
1	6.5029	tRNA	22000	30337471	0	0.00	15340	0.05	0.0000	0	0	1	*****
1	1.4142	three_prime_UTR	22000	30337471	1164	5.29	1316580	4.34	1.2192	0	0	1	*****
1	0.7588	transposable_element	22000	30337471	3504	15.93	5067741	16.70	0.9535	1	0	0	*****
1	1.2190	transposable_element_gene	22000	30337471	1075	4.89	1697335	5.59	0.8734	0	0	1	*****
1	0.6669	transposon_fragment	22000	30337471	3504	15.93	4938873	16.28	0.9783	1	0	0	*****
1	1.1461	open_chromatin_state_1	22000	30337471	2550	11.59	3445050	11.36	1.0207	0	0	1	*****
1	2.0830	open_chromatin_state_2	22000	30337471	688	3.13	3093626	10.20	0.3067	0	0	1	*****
1	0.8601	open_chromatin_state_3	22000	30337471	4674	21.25	3115476	10.27	2.0688	1	0	0	*****
1	1.0696	open_chromatin_state_4	22000	30337471	1812	8.24	4764138	15.70	0.5245	0	0	1	*****
1	0.8413	open_chromatin_state_5	22000	30337471	2403	10.92	4415997	14.56	0.7504	0	0	1	
1	0.8344	open_chromatin_state_6	22000	30337471	3057	13.90	3304293	10.89	1.2758	1	0	0	*****
1	0.7803	open_chromatin_state_7	22000	30337471	3316	15.07	3124634	10.30	1.4634	1	0	0	*****
1	1.0308	open_chromatin_state_8	22000	30337471	1329	6.04	2399121	7.91	0.7639	0	0	1	*****
1	0.2962	open_chromatin_state_9	22000	30337471	2171	9.87	2675029	8.82	1.1191	1	0	0	*****
2	0.9572	CDS	22000	30337471	4881	22.19	8871453	29.24	0.7587	1	0	1	
2	1.7201	DNAseI_hypersensitive_site	22000	30337471	2823	12.83	3974503	13.10	0.9795	0	0	2	*****
2	1.8882	DNA_replication_origin	22000	30337471	933	4.24	1059457	3.49	1.2144	0	0	2	*****
2	0.9926	exon	22000	30337471	8148	37.04	12596735	41.52	0.8920	1	0	1	
2	0.9068	five_prime_UTR	22000	30337471	507	2.30	848620	2.80	0.8239	0	0	2	
2	0.9880	gene	22000	30337471	10106	45.94	15993663	52.72	0.8713	1	0	1	
2	1.0116	mRNA	22000	30337471	11882	54.01	17566543	57.90	0.9327	1	0	1	
2	0.0000	miRNA	22000	30337471	0	0.00	9336	0.03	0.0000	0	2	0	
2	0.0000	ncRNA	22000	30337471	500	2.27	183196	0.60	3.7637	2	0	0	
2	1.0081	protein	22000	30337471	8749	39.77	13591030	44.80	0.8877	1	0	1	
2	0.0000	pseudogene	22000	30337471	500	2.27	225003	0.74	3.0644	1	1	0	
2	0.0000	pseudogenic_exon	22000	30337471	500	2.27	206987	0.68	3.3311	1	1	0	
2	0.0000	pseudogenic_transcript	22000	30337471	500	2.27	225003	0.74	3.0644	1	1	0	
2	0.8668	satellite	22000	30337471	892	4.05	1903030	6.27	0.6464	0	0	2	
2	0.0000	snoRNA	22000	30337471	0	0.00	2174	0.01	0.0000	0	2	0	
2	6.5029	tRNA	22000	30337471	0	0.00	15340	0.05	0.0000	0	0	2	*****
2	1.4142	three_prime_UTR	22000	30337471	313	1.42	1317431	4.34	0.3276	0	0	2	*****
2	0.7588	transposable_element	22000	30337471	4733	21.51	5066512	16.70	1.2882	2	0	0	*****
2	1.2190	transposable_element_gene	22000	30337471	2276	10.35	1696134	5.59	1.8504	1	0	1	
2	0.6669	transposon_fragment	22000	30337471	4187	19.03	4938190	16.28	1.1692	2	0	0	*****
2	1.1461	open_chromatin_state_1	22000	30337471	2394	10.88	3445206	11.36	0.9582	0	0	2	*****
2	2.0830	open_chromatin_state_2	22000	30337471	1970	8.95	3092344	10.19	0.8785	0	0	2	*****
2	0.8601	open_chromatin_state_3	22000	30337471	1452	6.60	3118698	10.28	0.6420	1	0	1	
2	1.0696	open_chromatin_state_4	22000	30337471	1139	5.18	4764811	15.71	0.3296	0	0	2	*****
2	0.8413	open_chromatin_state_5	22000	30337471	2482	11.28	4415918	14.56	0.7751	0	0	2	
2	0.8344	open_chromatin_state_6	22000	30337471	3092	14.05	3304258	10.89	1.2904	2	0	0	*****
2	0.7803	open_chromatin_state_7	22000	30337471	3971	18.05	3123979	10.30	1.7529	2	0	0	*****
2	1.0308	open_chromatin_state_8	22000	30337471	1500	6.82	2398950	7.91	0.8622	0	0	2	*****
2	0.2962	open_chromatin_state_9	22000	30337471	4000	18.18	2673200	8.81	2.0634	2	0	0	*****
3	0.9572	CDS	22000	30337471	6845	31.11	8869489	29.24	1.0642	2	0	1	
3	1.7201	DNAseI_hypersensitive_site	22000	30337471	2415	10.98	3974911	13.10	0.8378	0	0	3	*****
3	1.8882	DNA_replication_origin	22000	30337471	445	2.02	1059945	3.49	0.5789	0	0	3	*****
3	0.9926	exon	22000	30337471	10362	47.10	12594521	41.51	1.1345	2	0	1	
3	0.9068	five_prime_UTR	22000	30337471	540	2.45	848587	2.80	0.8775	0	0	3	
3	0.9880	gene	22000	30337471	11819	53.72	15991950	52.71	1.0191	2	0	1	
3	1.0116	mRNA	22000	30337471	13403	60.92	17565022	57.90	1.0522	2	0	1	
3	0.0000	miRNA	22000	30337471	0	0.00	9336	0.03	0.0000	0	3	0	
3	0.0000	ncRNA	22000	30337471	0	0.00	183696	0.61	0.0000	2	1	0	
3	1.0081	protein	22000	30337471	9905	45.02	13589874	44.80	1.0051	1	0	2	
3	0.0000	pseudogene	22000	30337471	19	0.09	225484	0.74	0.1162	2	1	0	
3	0.0000	pseudogenic_exon	22000	30337471	19	0.09	207468	0.68	0.1263	2	1	0	
3	0.0000	pseudogenic_transcript	22000	30337471	19	0.09	225484	0.74	0.1162	2	1	0	
3	0.8668	satellite	22000	30337471	1403	6.38	1902519	6.27	1.0169	1	0	2	
3	0.0000	snoRNA	22000	30337471	0	0.00	2174	0.01	0.0000	0	3	0	
3	6.5029	tRNA	22000	30337471	0	0.00	15340	0.05	0.0000	0	0	3	*****
3	1.4142	three_prime_UTR	22000	30337471	1482	6.74	1316262	4.34	1.5526	1	0	2	
3	0.7588	transposable_element	22000	30337471	2875	13.07	5068370	16.71	0.7822	3	0	0	*****
3	1.2190	transposable_element_gene	22000	30337471	1584	7.20	1696826	5.59	1.2873	2	0	1	
3	0.6669	transposon_fragment	22000	30337471	2875	13.07	4939502	16.28	0.8026	3	0	0	*****
3	1.1461	open_chromatin_state_1	22000	30337471	2521	11.46	3445079	11.36	1.0091	0	0	3	*****
3	2.0830	open_chromatin_state_2	22000	30337471	2477	11.26	3091837	10.19	1.1048	0	0	3	*****
3	0.8601	open_chromatin_state_3	22000	30337471	3447	15.67	3116703	10.27	1.5251	2	0	1	
3	1.0696	open_chromatin_state_4	22000	30337471	513	2.33	4765437	15.71	0.1484	0	0	3	*****
3	0.8413	open_chromatin_state_5	22000	30337471	2000	9.09	4416400	14.56	0.6245	0	0	3	
3	0.8344	open_chromatin_state_6	22000	30337471	3587	16.30	3303763	10.89	1.4972	3	0	0	*****
3	0.7803	open_chromatin_state_7	22000	30337471	3455	15.70	3124495	10.30	1.5248	3	0	0	*****
3	1.0308	open_chromatin_state_8	22000	30337471	1138	5.17	2399312	7.91	0.6541	0	0	3	*****
3	0.2962	open_chromatin_state_9	22000	30337471	2862	13.01	2674338	8.82	1.4757	3	0	0	*****
4	0.9572	CDS	22000	30337471	4305	19.57	8872029	29.24	0.6691	2	0	2	
4	1.7201	DNAseI_hypersensitive_site	22000	30337471	2650	12.05	3974676	13.10	0.9194	0	0	4	*****
4	1.8882	DNA_replication_origin	22000	30337471	855	3.89	1059535	3.49	1.1128	0	0	4	*****
4	0.9926	exon	22000	30337471	8633	39.24	12596250	41.52	0.9451	2	0	2	
4	0.9068	five_prime_UTR	22000	30337471	226	1.03	848901	2.80	0.3671	0	0	4	
4	0.9880	gene	22000	30337471	9001	40.91	15994768	52.72	0.7760	2	0	2	
4	1.0116	mRNA	22000	30337471	11688	53.13	17566737	57.90	0.9175	2	0	2	
4	0.0000	miRNA	22000	30337471	0	0.00	9336	0.03	0.0000	0	4	0	
4	0.0000	ncRNA	22000	30337471	500	2.27	183196	0.60	3.7637	3	1	0	
4	1.0081	protein	22000	30337471	7630	34.68	13592149	44.80	0.7741	1	0	3	
4	0.0000	pseudogene	22000	30337471	0	0.00	225503	0.74	0.0000	2	2	0	
4	0.0000	pseudogenic_exon	22000	30337471	0	0.00	207487	0.68	0.0000	2	2	0	
4	0.0000	pseudogenic_transcript	22000	30337471	0	0.00	225503	0.74	0.0000	2	2	0	
4	0.8668	satellite	22000	30337471	1956	8.89	1901966	6.27	1.4182	2	0	2	
4	0.0000	snoRNA	22000	30337471	0	0.00	2174	0.01	0.0000	0	4	0	
4	6.5029	tRNA	22000	30337471	0	0.00	15340	0.05	0.0000	0	0	4	*****
4	1.4142	three_prime_UTR	22000	30337471	844	3.84	1316900	4.34	0.8838	1	0	3	
4	0.7588	transposable_element	22000	30337471	5921	26.91	5065324	16.70	1.6119	4	0	0	*****
4	1.2190	transposable_element_gene	22000	30337471	3187	14.49	1695223	5.59	2.5925	3	0	1	
4	0.6669	transposon_fragment	22000	30337471	5844	26.56	4936533	16.27	1.6325	4	0	0	*****
4	1.1461	open_chromatin_state_1	22000	30337471	1695	7.70	3445905	11.36	0.6783	0	0	4	*****
4	2.0830	open_chromatin_state_2	22000	30337471	2413	10.97	3091901	10.19	1.0762	0	0	4	*****
4	0.8601	open_chromatin_state_3	22000	30337471	2904	13.20	3117246	10.28	1.2846	3	0	1	
4	1.0696	open_chromatin_state_4	22000	30337471	3039	13.81	4762911	15.70	0.8799	0	0	4	*****
4	0.8413	open_chromatin_state_5	22000	30337471	1060	4.82	4417340	14.56	0.3309	0	0	4	
4	0.8344	open_chromatin_state_6	22000	30337471	1108	5.04	3306242	10.90	0.4621	3	0	1	
4	0.7803	open_chromatin_state_7	22000	30337471	3000	13.64	3124950	10.30	1.3238	4	0	0	*****
4	1.0308	open_chromatin_state_8	22000	30337471	1376	6.25	2399074	7.91	0.7909	0	0	4	*****
4	0.2962	open_chromatin_state_9	22000	30337471	5405	24.57	2671795	8.81	2.7896	4	0	0	*****
5	0.9572	CDS	22000	30337471	6377	28.99	8869957	29.24	0.9914	3	0	2	
5	1.7201	DNAseI_hypersensitive_site	22000	30337471	2714	12.34	3974612	13.10	0.9416	0	0	5	*****
5	1.8882	DNA_replication_origin	22000	30337471	1000	4.55	1059390	3.49	1.3017	0	0	5	*****
5	0.9926	exon	22000	30337471	9504	43.20	12595379	41.52	1.0405	3	0	2	
5	0.9068	five_prime_UTR	22000	30337471	225	1.02	848902	2.80	0.3655	0	0	5	
5	0.9880	gene	22000	30337471	11873	53.97	15991896	52.71	1.0238	3	0	2	
5	1.0116	mRNA	22000	30337471	13707	62.30	17564718	57.90	1.0761	3	0	2	
5	0.0000	miRNA	22000	30337471	0	0.00	9336	0.03	0.0000	0	5	0	
5	0.0000	ncRNA	22000	30337471	500	2.27	183196	0.60	3.7637	4	1	0	
5	1.0081	protein	22000	30337471	10849	49.31	13588930	44.79	1.1009	2	0	3	
5	0.0000	pseudogene	22000	30337471	0	0.00	225503	0.74	0.0000	2	3	0	
5	0.0000	pseudogenic_exon	22000	30337471	0	0.00	207487	0.68	0.0000	2	3	0	
5	0.0000	pseudogenic_transcript	22000	30337471	0	0.00	225503	0.74	0.0000	2	3	0	
5	0.8668	satellite	22000	30337471	1310	5.95	1902612	6.27	0.9495	3	0	2	
5	0.0000	snoRNA	22000	30337471	0	0.00	2174	0.01	0.0000	0	5	0	
5	6.5029	tRNA	22000	30337471	0	0.00	15340	0.05	0.0000	0	0	5	*****
5	1.4142	three_prime_UTR	22000	30337471	814	3.70	1316930	4.34	0.8524	1	0	4	
5	0.7588	transposable_element	22000	30337471	3933	17.88	5067312	16.70	1.0703	5	0	0	*****
5	1.2190	transposable_element_gene	22000	30337471	1834	8.34	1696576	5.59	1.4907	4	0	1	
5	0.6669	transposon_fragment	22000	30337471	3822	17.37	4938555	16.28	1.0672	5	0	0	*****
5	1.1461	open_chromatin_state_1	22000	30337471	1630	7.41	3445970	11.36	0.6523	0	0	5	*****
5	2.0830	open_chromatin_state_2	22000	30337471	2020	9.18	3092294	10.19	0.9008	0	0	5	*****
5	0.8601	open_chromatin_state_3	22000	30337471	2000	9.09	3118150	10.28	0.8845	4	0	1	
5	1.0696	open_chromatin_state_4	22000	30337471	4002	18.19	4761948	15.70	1.1589	1	0	4	
5	0.8413	open_chromatin_state_5	22000	30337471	4567	20.76	4413833	14.55	1.4268	1	0	4	
5	0.8344	open_chromatin_state_6	22000	30337471	2435	11.07	3304915	10.89	1.0160	4	0	1	
5	0.7803	open_chromatin_state_7	22000	30337471	1500	6.82	3126450	10.31	0.6616	4	0	1	
5	1.0308	open_chromatin_state_8	22000	30337471	1346	6.12	2399104	7.91	0.7737	0	0	5	*****
5	0.2962	open_chromatin_state_9	22000	30337471	2500	11.36	2674700	8.82	1.2889	5	0	0	*****
6	0.9572	CDS	22000	30337471	5381	24.46	8870953	29.24	0.8365	3	0	3	
6	1.7201	DNAseI_hypersensitive_site	22000	30337471	2566	11.66	3974760	13.10	0.8902	0	0	6	*****
6	1.8882	DNA_replication_origin	22000	30337471	500	2.27	1059890	3.49	0.6505	0	0	6	*****
6	0.9926	exon	22000	30337471	8473	38.51	12596410	41.52	0.9276	3	0	3	
6	0.9068	five_prime_UTR	22000	30337471	183	0.83	848944	2.80	0.2973	0	0	6	
6	0.9880	gene	22000	30337471	8550	38.86	15995219	52.72	0.7371	3	0	3	
6	1.0116	mRNA	22000	30337471	10419	47.36	17568006	57.91	0.8178	3	0	3	
6	0.0000	miRNA	22000	30337471	0	0.00	9336	0.03	0.0000	0	6	0	
6	0.0000	ncRNA	22000	30337471	623	2.83	183073	0.60	4.6927	5	1	0	
6	1.0081	protein	22000	30337471	7686	34.94	13592093	44.80	0.7798	2	0	4	
6	0.0000	pseudogene	22000	30337471	0	0.00	225503	0.74	0.0000	2	4	0	
6	0.0000	pseudogenic_exon	22000	30337471	0	0.00	207487	0.68	0.0000	2	4	0	
6	0.0000	pseudogenic_transcript	22000	30337471	0	0.00	225503	0.74	0.0000	2	4	0	
6	0.8668	satellite	22000	30337471	1470	6.68	1902452	6.27	1.0655	4	0	2	
6	0.0000	snoRNA	22000	30337471	0	0.00	2174	0.01	0.0000	0	6	0	
6	6.5029	tRNA	22000	30337471	0	0.00	15340	0.05	0.0000	0	0	6	*****
6	1.4142	three_prime_UTR	22000	30337471	555	2.52	1317189	4.34	0.5810	1	0	5	
6	0.7588	transposable_element	22000	30337471	6585	29.93	5064660	16.69	1.7929	6	0	0	*****
6	1.2190	transposable_element_gene	22000	30337471	2192	9.96	1696218	5.59	1.7820	5	0	1	
6	0.6669	transposon_fragment	22000	30337471	6585	29.93	4935792	16.27	1.8397	6	0	0	*****
6	1.1461	open_chromatin_state_1	22000	30337471	646	2.94	3446954	11.36	0.2584	0	0	6	*****
6	2.0830	open_chromatin_state_2	22000	30337471	2233	10.15	3092081	10.19	0.9959	0	0	6	*****
6	0.8601	open_chromatin_state_3	22000	30337471	1974	8.97	3118176	10.28	0.8730	5	0	1	
6	1.0696	open_chromatin_state_4	22000	30337471	3030	13.77	4762920	15.70	0.8773	1	0	5	
6	0.8413	open_chromatin_state_5	22000	30337471	2328	10.58	4416072	14.56	0.7269	1	0	5	
6	0.8344	open_chromatin_state_6	22000	30337471	2106	9.57	3305244	10.89	0.8786	5	0	1	
6	0.7803	open_chromatin_state_7	22000	30337471	1683	7.65	3126267	10.30	0.7424	4	0	2	
6	1.0308	open_chromatin_state_8	22000	30337471	2209	10.04	2398241	7.91	1.2702	1	0	5	
6	0.2962	open_chromatin_state_9	22000	30337471	5791	26.32	2671409	8.81	2.9893	6	0	0	*****
7	0.9572	CDS	22000	30337471	6436	29.25	8869898	29.24	1.0006	4	0	3	
7	1.7201	DNAseI_hypersensitive_site	22000	30337471	2419	11.00	3974907	13.10	0.8392	0	0	7	*****
7	1.8882	DNA_replication_origin	22000	30337471	1171	5.32	1059219	3.49	1.5245	0	0	7	*****
7	0.9926	exon	22000	30337471	10491	47.69	12594392	41.51	1.1487	4	0	3	
7	0.9068	five_prime_UTR	22000	30337471	747	3.40	848380	2.80	1.2142	1	0	6	
7	0.9880	gene	22000	30337471	11735	53.34	15992034	52.71	1.0119	4	0	3	
7	1.0116	mRNA	22000	30337471	14007	63.67	17564418	57.90	1.0997	4	0	3	
7	0.0000	miRNA	22000	30337471	0	0.00	9336	0.03	0.0000	0	7	0	
7	0.0000	ncRNA	22000	30337471	0	0.00	183696	0.61	0.0000	5	2	0	
7	1.0081	protein	22000	30337471	9733	44.24	13590046	44.80	0.9876	2	0	5	
7	0.0000	pseudogene	22000	30337471	223	1.01	225280	0.74	1.3650	3	4	0	
